섹터,기업,구분,항목,21-Dec,22-Dec,23-Dec,24-Dec,2025/12(E),2026/12(E),2024/12(E),2027/12(E)
반도체,3S,연결,매출액(억원),,,,,,,,
반도체,3S,연결,  전년동기대비(%),,,,,,,,
반도체,3S,연결,  컨센서스대비(%),,,,,,,,
반도체,3S,연결,영업이익(억원),,,,,,,,
반도체,3S,연결,  전년동기대비(%),,,,,,,,
반도체,3S,연결,  컨센서스대비(%),,,,,,,,
전문서비스,AJ네트웍스,연결,매출액(억원),9819,11937,10020,10116,10694,11211,,
전문서비스,AJ네트웍스,연결,  전년동기대비(%),13,22,-16,1,6,5,,
전문서비스,AJ네트웍스,연결,  컨센서스대비(%),,,-3,-2,,,,
전문서비스,AJ네트웍스,연결,영업이익(억원),481,764,784,725,916,1032,,
전문서비스,AJ네트웍스,연결,  전년동기대비(%),128,59,3,-8,26,13,,
전문서비스,AJ네트웍스,연결,  컨센서스대비(%),,,3,-14,,,,
지주사,AK홀딩스,연결,매출액(억원),31677,37880,44797,44773,,,,
지주사,AK홀딩스,연결,  전년동기대비(%),21,20,18,0,,,,
지주사,AK홀딩스,연결,  컨센서스대비(%),,,,,,,,
지주사,AK홀딩스,연결,영업이익(억원),-1657,-218,2791,1352,,,,
지주사,AK홀딩스,연결,  전년동기대비(%),적지,적지,흑전,-52,,,,
지주사,AK홀딩스,연결,  컨센서스대비(%),,,,,,,,
지주사,APS,연결,매출액(억원),394,408,410,940,,,,
지주사,APS,연결,  전년동기대비(%),56,4,1,129,,,,
지주사,APS,연결,  컨센서스대비(%),,17,,,,,,
지주사,APS,연결,영업이익(억원),-40,-153,-186,-225,,,,
지주사,APS,연결,  전년동기대비(%),적지,적지,적지,적지,,,,
지주사,APS,연결,  컨센서스대비(%),,적지,,,,,,
디스플레이,AP시스템,연결,매출액(억원),5287,4866,5336,5167,,,,
디스플레이,AP시스템,연결,  전년동기대비(%),-11,-8,10,-3,,,,
디스플레이,AP시스템,연결,  컨센서스대비(%),,,,,,,,
디스플레이,AP시스템,연결,영업이익(억원),643,905,601,472,,,,
디스플레이,AP시스템,연결,  전년동기대비(%),39,41,-34,-22,,,,
디스플레이,AP시스템,연결,  컨센서스대비(%),,,,,,,,
우주항공,AP위성,연결,매출액(억원),402,536,494,,,,,
우주항공,AP위성,연결,  전년동기대비(%),-11,33,-8,,,,,
우주항공,AP위성,연결,  컨센서스대비(%),,,,,,,,
우주항공,AP위성,연결,영업이익(억원),8,45,101,,,,,
우주항공,AP위성,연결,  전년동기대비(%),-81,434,124,,,,,
우주항공,AP위성,연결,  컨센서스대비(%),,,,,,,,
게임,AP헬스케어,연결,매출액(억원),,96,160,164,,,,
게임,AP헬스케어,연결,  전년동기대비(%),,14,67,2,,,,
게임,AP헬스케어,연결,  컨센서스대비(%),,,,,,,,
게임,AP헬스케어,연결,영업이익(억원),,-9,2,10,,,,
게임,AP헬스케어,연결,  전년동기대비(%),,적지,흑전,412,,,,
게임,AP헬스케어,연결,  컨센서스대비(%),,,,,,,,
#N/A,BF랩스,연결,매출액(억원),278,284,288,,,,,
#N/A,BF랩스,연결,  전년동기대비(%),-25,2,2,,,,,
#N/A,BF랩스,연결,  컨센서스대비(%),,,,,,,,
#N/A,BF랩스,연결,영업이익(억원),-41,-61,-19,,,,,
#N/A,BF랩스,연결,  전년동기대비(%),적지,적지,적지,,,,,
#N/A,BF랩스,연결,  컨센서스대비(%),,,,,,,,
지주사,BGF,연결,매출액(억원),,4350,3564,4341,4410,4510,,
지주사,BGF,연결,  전년동기대비(%),,190,-18,22,2,2,,
지주사,BGF,연결,  컨센서스대비(%),,0,-18,,,,,
지주사,BGF,연결,영업이익(억원),,612,606,552,590,660,,
지주사,BGF,연결,  전년동기대비(%),,61,-1,-9,7,12,,
지주사,BGF,연결,  컨센서스대비(%),,-4,-15,,,,,
유통,BGF리테일,연결,매출액(억원),,76158,81948,86988,91453,96191,,101840
유통,BGF리테일,연결,  전년동기대비(%),,12,8,6,5,5,,6
유통,BGF리테일,연결,  컨센서스대비(%),,0,-1,1,,,,
유통,BGF리테일,연결,영업이익(억원),,2524,2532,2516,2737,2923,,3190
유통,BGF리테일,연결,  전년동기대비(%),,27,0,-1,9,7,,9
유통,BGF리테일,연결,  컨센서스대비(%),,-4,-1,-1,,,,
자동차,BGF에코머티리얼즈,연결,매출액(억원),,2633,2857,3643,,,,
자동차,BGF에코머티리얼즈,연결,  전년동기대비(%),,29,8,28,,,,
자동차,BGF에코머티리얼즈,연결,  컨센서스대비(%),,,,,,,,
자동차,BGF에코머티리얼즈,연결,영업이익(억원),,159,172,140,,,,
자동차,BGF에코머티리얼즈,연결,  전년동기대비(%),,-28,8,-19,,,,
자동차,BGF에코머티리얼즈,연결,  컨센서스대비(%),,,,,,,,
금융,BNK금융지주,연결,이자수익(억원),35520,47790,66917,,69539,71357,,
금융,BNK금융지주,연결,  전년동기대비(%),8,35,40,,,3,,
금융,BNK금융지주,연결,  컨센서스대비(%),1,2,1,-,,,,
금융,BNK금융지주,연결,영업이익(억원),10920,11561,8012,8759,10730,11324,,
금융,BNK금융지주,연결,  전년동기대비(%),46,6,-31,9,23,6,,
금융,BNK금융지주,연결,  컨센서스대비(%),-3,-3,-17,-9,,,,
패션,BYC,연결,매출액(억원),1644,1697,1684,,,,,
패션,BYC,연결,  전년동기대비(%),2,3,-1,,,,,
패션,BYC,연결,  컨센서스대비(%),,,,,,,,
패션,BYC,연결,영업이익(억원),267,253,275,,,,,
패션,BYC,연결,  전년동기대비(%),16,-5,9,,,,,
패션,BYC,연결,  컨센서스대비(%),,,,,,,,
자동차,CBI,연결,매출액(억원),,360,314,244,,,,
자동차,CBI,연결,  전년동기대비(%),,45,-13,-22,,,,
자동차,CBI,연결,  컨센서스대비(%),,,,,,,,
자동차,CBI,연결,영업이익(억원),,4,8,14,,,,
자동차,CBI,연결,  전년동기대비(%),,흑전,100,79,,,,
자동차,CBI,연결,  컨센서스대비(%),,,,,,,,
헬스케어,CG인바이츠,연결,매출액(억원),424,43,49,73,,,,
헬스케어,CG인바이츠,연결,  전년동기대비(%),40,-90,13,49,,,,
헬스케어,CG인바이츠,연결,  컨센서스대비(%),,,,,,,,
헬스케어,CG인바이츠,연결,영업이익(억원),-51,-230,-309,-388,,,,
헬스케어,CG인바이츠,연결,  전년동기대비(%),적지,적지,적지,적지,,,,
헬스케어,CG인바이츠,연결,  컨센서스대비(%),,,,,,,,
지주사,CJ,연결,매출액(억원),344840,409249,413527,436467,451457,471310,,
지주사,CJ,연결,  전년동기대비(%),8,19,1,6,3,4,,
지주사,CJ,연결,  컨센서스대비(%),2,0,-1,0,,,,
지주사,CJ,연결,영업이익(억원),18818,21542,20391,25475,29580,29807,,
지주사,CJ,연결,  전년동기대비(%),35,14,-5,25,16,1,,
지주사,CJ,연결,  컨센서스대비(%),-6,-6,2,-2,,,,
방송미디어,CJ CGV,연결,매출액(억원),7363,12732,15458,19579,24468,25592,,
방송미디어,CJ CGV,연결,  전년동기대비(%),26,73,21,27,25,5,,
방송미디어,CJ CGV,연결,  컨센서스대비(%),-6,-3,-2,1,,,,
방송미디어,CJ CGV,연결,영업이익(억원),-2414,-702,491,759,1295,1512,,
방송미디어,CJ CGV,연결,  전년동기대비(%),적지,적지,흑전,55,71,17,,
방송미디어,CJ CGV,연결,  컨센서스대비(%),적지,적지,-1,-28,,,,
방송미디어,CJ ENM,연결,매출액(억원),35524,47922,43684,52314,53756,57060,,
방송미디어,CJ ENM,연결,  전년동기대비(%),5,35,-9,20,3,6,,
방송미디어,CJ ENM,연결,  컨센서스대비(%),1,4,-1,10,,,,
방송미디어,CJ ENM,연결,영업이익(억원),2969,1374,-146,1045,2060,2658,,
방송미디어,CJ ENM,연결,  전년동기대비(%),9,-54,적전,흑전,97,29,,
방송미디어,CJ ENM,연결,  컨센서스대비(%),-18,-16,적지,-22,,,,
헬스케어,CJ 바이오사이언스,연결,매출액(억원),44,41,56,35,,,,
헬스케어,CJ 바이오사이언스,연결,  전년동기대비(%),-18,-7,37,-38,,,,
헬스케어,CJ 바이오사이언스,연결,  컨센서스대비(%),,,,,,,,
헬스케어,CJ 바이오사이언스,연결,영업이익(억원),-101,-332,-321,-356,,,,
헬스케어,CJ 바이오사이언스,연결,  전년동기대비(%),적지,적지,적지,적지,,,,
헬스케어,CJ 바이오사이언스,연결,  컨센서스대비(%),,,,,,,,
운송,CJ대한통운,연결,매출액(억원),113437,121307,117679,121168,127339,132083,,
운송,CJ대한통운,연결,  전년동기대비(%),5,7,-3,3,5,4,,
운송,CJ대한통운,연결,  컨센서스대비(%),1,-2,0,0,,,,
운송,CJ대한통운,연결,영업이익(억원),3439,4118,4802,5307,5627,6032,,
운송,CJ대한통운,연결,  전년동기대비(%),6,20,17,11,6,7,,
운송,CJ대한통운,연결,  컨센서스대비(%),-3,-1,3,1,,,,
음식료,CJ씨푸드,연결,매출액(억원),,1527,1483,1937,,,,
음식료,CJ씨푸드,연결,  전년동기대비(%),,-6,-3,31,,,,
음식료,CJ씨푸드,연결,  컨센서스대비(%),,,,,,,,
음식료,CJ씨푸드,연결,영업이익(억원),,41,41,44,,,,
음식료,CJ씨푸드,연결,  전년동기대비(%),,-8,0,5,,,,
음식료,CJ씨푸드,연결,  컨센서스대비(%),,,,,,,,
음식료,CJ제일제당,연결,매출액(억원),262892,300795,290235,293591,303601,315109,,
음식료,CJ제일제당,연결,  전년동기대비(%),8,14,-4,1,3,4,,
음식료,CJ제일제당,연결,  컨센서스대비(%),1,-1,0,0,,,,
음식료,CJ제일제당,연결,영업이익(억원),15244,16647,12916,15530,16570,17986,,
음식료,CJ제일제당,연결,  전년동기대비(%),12,9,-22,20,7,9,,
음식료,CJ제일제당,연결,  컨센서스대비(%),-6,-5,0,0,,,,
음식료,CJ프레시웨이,연결,매출액(억원),22914,27477,30742,32248,34656,37093,,
음식료,CJ프레시웨이,연결,  전년동기대비(%),-8,20,12,5,7,7,,
음식료,CJ프레시웨이,연결,  컨센서스대비(%),1,-1,0,0,,,,
음식료,CJ프레시웨이,연결,영업이익(억원),556,978,993,940,1085,1206,,
음식료,CJ프레시웨이,연결,  전년동기대비(%),흑전,76,1,-5,15,11,,
음식료,CJ프레시웨이,연결,  컨센서스대비(%),-4,-7,0,-1,,,,
헬스케어,CMG제약,연결,매출액(억원),695,822,939,991,,,,
헬스케어,CMG제약,연결,  전년동기대비(%),8,18,14,6,,,,
헬스케어,CMG제약,연결,  컨센서스대비(%),,,,,,,,
헬스케어,CMG제약,연결,영업이익(억원),17,30,30,10,,,,
헬스케어,CMG제약,연결,  전년동기대비(%),-9,80,2,-66,,,,
헬스케어,CMG제약,연결,  컨센서스대비(%),,,,,,,,
#N/A,CNH,연결,순영업수익(억원),389,-42,237,,,,,
#N/A,CNH,연결,  전년동기대비(%),-56,적전,흑전,,,,,
#N/A,CNH,연결,  컨센서스대비(%),,,,,,,,
#N/A,CNH,연결,영업이익(억원),44,-418,-98,,,,,
#N/A,CNH,연결,  전년동기대비(%),-92,적전,적지,,,,,
#N/A,CNH,연결,  컨센서스대비(%),,,,,,,,
플랜트,CNT85,연결,매출액(억원),386,321,502,,,,,
플랜트,CNT85,연결,  전년동기대비(%),4206,-17,56,,,,,
플랜트,CNT85,연결,  컨센서스대비(%),,,,,,,,
플랜트,CNT85,연결,영업이익(억원),-2,15,9,,,,,
플랜트,CNT85,연결,  전년동기대비(%),적지,흑전,-42,,,,,
플랜트,CNT85,연결,  컨센서스대비(%),,,,,,,,
지주사,CR홀딩스,연결,매출액(억원),,7980,8169,8108,,,,
지주사,CR홀딩스,연결,  전년동기대비(%),,7,2,-1,,,,
지주사,CR홀딩스,연결,  컨센서스대비(%),,,,,,,,
지주사,CR홀딩스,연결,영업이익(억원),,226,394,174,,,,
지주사,CR홀딩스,연결,  전년동기대비(%),,-32,74,-56,,,,
지주사,CR홀딩스,연결,  컨센서스대비(%),,,,,,,,
통신,CS,연결,매출액(억원),,352,337,372,,,,
통신,CS,연결,  전년동기대비(%),,-14,-4,10,,,,
통신,CS,연결,  컨센서스대비(%),,,,,,,,
통신,CS,연결,영업이익(억원),,-41,-16,-2,,,,
통신,CS,연결,  전년동기대비(%),,적전,적지,적지,,,,
통신,CS,연결,  컨센서스대비(%),,,,,,,,
화장품,CSA 코스믹,연결,매출액(억원),,612,446,364,,,,
화장품,CSA 코스믹,연결,  전년동기대비(%),,2,-27,-18,,,,
화장품,CSA 코스믹,연결,  컨센서스대비(%),,,,,,,,
화장품,CSA 코스믹,연결,영업이익(억원),,-93,-59,-38,,,,
화장품,CSA 코스믹,연결,  전년동기대비(%),,적전,적지,적지,,,,
화장품,CSA 코스믹,연결,  컨센서스대비(%),,,,,,,,
지주사,CS홀딩스,연결,매출액(억원),1590,1753,1720,1424,,,,
지주사,CS홀딩스,연결,  전년동기대비(%),21,10,-2,-17,,,,
지주사,CS홀딩스,연결,  컨센서스대비(%),,,,,,,,
지주사,CS홀딩스,연결,영업이익(억원),196,156,191,218,,,,
지주사,CS홀딩스,연결,  전년동기대비(%),24,-20,22,14,,,,
지주사,CS홀딩스,연결,  컨센서스대비(%),,,,,,,,
인터넷,DB,연결,매출액(억원),3269,4013,4586,5874,,,,
인터넷,DB,연결,  전년동기대비(%),20,23,14,28,,,,
인터넷,DB,연결,  컨센서스대비(%),,,,,,,,
인터넷,DB,연결,영업이익(억원),235,236,370,296,,,,
인터넷,DB,연결,  전년동기대비(%),-13,1,57,-20,,,,
인터넷,DB,연결,  컨센서스대비(%),,,,,,,,
#N/A,DB금융스팩11호,연결,영업수익(억원),,,,,,,,
#N/A,DB금융스팩11호,연결,  전년동기대비(%),,,,,,,,
#N/A,DB금융스팩11호,연결,  컨센서스대비(%),,,,,,,,
#N/A,DB금융스팩11호,연결,영업이익(억원),,,0,,,,,
#N/A,DB금융스팩11호,연결,  전년동기대비(%),,,,,,,,
#N/A,DB금융스팩11호,연결,  컨센서스대비(%),,,,,,,,
#N/A,DB금융스팩12호,연결,영업수익(억원),,,,,,,,
#N/A,DB금융스팩12호,연결,  전년동기대비(%),,,,,,,,
#N/A,DB금융스팩12호,연결,  컨센서스대비(%),,,,,,,,
#N/A,DB금융스팩12호,연결,영업이익(억원),,,,,,,,
#N/A,DB금융스팩12호,연결,  전년동기대비(%),,,,,,,,
#N/A,DB금융스팩12호,연결,  컨센서스대비(%),,,,,,,,
금융,DB금융투자,연결,순영업수익(억원),4275,2505,2661,,,,,
금융,DB금융투자,연결,  전년동기대비(%),12,-41,6,,,,,
금융,DB금융투자,연결,  컨센서스대비(%),,,,-,,,,
금융,DB금융투자,연결,영업이익(억원),1696,238,213,619,,,,
금융,DB금융투자,연결,  전년동기대비(%),24,-86,-11,190,,,,
금융,DB금융투자,연결,  컨센서스대비(%),,,,,,,,
금융,DB손해보험,연결,보험료수익(억원),163895,139619,147562,,,,,
금융,DB손해보험,연결,  전년동기대비(%),6,-15,6,,,,,
금융,DB손해보험,연결,  컨센서스대비(%),12,,,-,,,,
금융,DB손해보험,연결,영업이익(억원),11084,27260,22350,24334,,,,
금융,DB손해보험,연결,  전년동기대비(%),53,146,-18,9,,,,
금융,DB손해보험,연결,  컨센서스대비(%),7,,,,,,,
반도체,DB하이텍,연결,매출액(억원),,16695,11542,11312,,,,
반도체,DB하이텍,연결,  전년동기대비(%),,37,-31,-2,,,,
반도체,DB하이텍,연결,  컨센서스대비(%),,-3,0,0,,,,
반도체,DB하이텍,연결,영업이익(억원),,7619,2654,1908,,,,
반도체,DB하이텍,연결,  전년동기대비(%),,91,-65,-28,,,,
반도체,DB하이텍,연결,  컨센서스대비(%),,-6,-6,-4,,,,
금융,DGB금융지주,연결,이자수익(억원),21399,29024,40274,,41870,43560,,
금융,DGB금융지주,연결,  전년동기대비(%),3,36,39,,,4,,
금융,DGB금융지주,연결,  컨센서스대비(%),1,3,0,-,,,,
금융,DGB금융지주,연결,영업이익(억원),7486,6220,5343,2711,5550,6106,,
금융,DGB금융지주,연결,  전년동기대비(%),49,-17,-14,-49,105,10,,
금융,DGB금융지주,연결,  컨센서스대비(%),5,-6,-16,-20,,,,
#N/A,DGI,연결,매출액(억원),,259,134,214,,,,
#N/A,DGI,연결,  전년동기대비(%),,-6,-48,60,,,,
#N/A,DGI,연결,  컨센서스대비(%),,,,,,,,
#N/A,DGI,연결,영업이익(억원),,4,-44,5,,,,
#N/A,DGI,연결,  전년동기대비(%),,흑전,적전,흑전,,,,
#N/A,DGI,연결,  컨센서스대비(%),,,,,,,,
신재생_기타,DGP,연결,매출액(억원),218,335,182,118,,,,
신재생_기타,DGP,연결,  전년동기대비(%),338,54,-46,-35,,,,
신재생_기타,DGP,연결,  컨센서스대비(%),,,,,,,,
신재생_기타,DGP,연결,영업이익(억원),31,-28,-48,-42,,,,
신재생_기타,DGP,연결,  전년동기대비(%),흑전,적전,적지,적지,,,,
신재생_기타,DGP,연결,  컨센서스대비(%),,,,,,,,
#N/A,DH오토넥스,연결,매출액(억원),4645,502,353,324,,,,
#N/A,DH오토넥스,연결,  전년동기대비(%),3,-89,-30,-8,,,,
#N/A,DH오토넥스,연결,  컨센서스대비(%),,,,,,,,
#N/A,DH오토넥스,연결,영업이익(억원),79,-23,-328,14,,,,
#N/A,DH오토넥스,연결,  전년동기대비(%),-46,적전,적지,흑전,,,,
#N/A,DH오토넥스,연결,  컨센서스대비(%),,,,,,,,
자동차,DH오토리드,연결,매출액(억원),1790,2260,2356,2712,,,,
자동차,DH오토리드,연결,  전년동기대비(%),4,26,4,15,,,,
자동차,DH오토리드,연결,  컨센서스대비(%),,,,,,,,
자동차,DH오토리드,연결,영업이익(억원),114,223,158,165,,,,
자동차,DH오토리드,연결,  전년동기대비(%),-19,96,-29,5,,,,
자동차,DH오토리드,연결,  컨센서스대비(%),,,,,,,,
자동차,DH오토웨어,연결,매출액(억원),3331,3818,3931,3719,,,,
자동차,DH오토웨어,연결,  전년동기대비(%),10,15,3,-5,,,,
자동차,DH오토웨어,연결,  컨센서스대비(%),,,,,,,,
자동차,DH오토웨어,연결,영업이익(억원),-45,23,28,19,,,,
자동차,DH오토웨어,연결,  전년동기대비(%),적전,흑전,20,-32,,,,
자동차,DH오토웨어,연결,  컨센서스대비(%),,,,,,,,
패션,DI동일,연결,매출액(억원),8131,8299,6829,6517,,,,
패션,DI동일,연결,  전년동기대비(%),20,2,-18,-5,,,,
패션,DI동일,연결,  컨센서스대비(%),,,-10,-1,,,,
패션,DI동일,연결,영업이익(억원),486,448,63,78,,,,
패션,DI동일,연결,  전년동기대비(%),84,-8,-86,24,,,,
패션,DI동일,연결,  컨센서스대비(%),,,-31,-26,,,,
건설,DL,연결,매출액(억원),23588,51737,50178,56170,58259,58649,,
건설,DL,연결,  전년동기대비(%),51,119,-3,12,4,1,,
건설,DL,연결,  컨센서스대비(%),0,0,-2,0,,,,
건설,DL,연결,영업이익(억원),1932,2845,1507,4141,3409,4337,,
건설,DL,연결,  전년동기대비(%),62,47,-47,175,-18,27,,
건설,DL,연결,  컨센서스대비(%),-22,-22,25,-10,,,,
건설,DL이앤씨,연결,매출액(억원),76317,74968,79911,83184,78580,81849,,
건설,DL이앤씨,연결,  전년동기대비(%),,-2,7,4,-6,4,,
건설,DL이앤씨,연결,  컨센서스대비(%),0,0,2,2,,,,
건설,DL이앤씨,연결,영업이익(억원),9573,4970,3307,2709,4695,5473,,
건설,DL이앤씨,연결,  전년동기대비(%),,-48,-33,-18,73,17,,
건설,DL이앤씨,연결,  컨센서스대비(%),3,-5,-7,0,,,,
디스플레이,DMS,연결,매출액(억원),2254,3170,1645,,,,,
디스플레이,DMS,연결,  전년동기대비(%),-1,41,-48,,,,,
디스플레이,DMS,연결,  컨센서스대비(%),,,,,,,,
디스플레이,DMS,연결,영업이익(억원),320,535,289,,,,,
디스플레이,DMS,연결,  전년동기대비(%),-5,67,-46,,,,,
디스플레이,DMS,연결,  컨센서스대비(%),,,,,,,,
자동차,DN오토모티브,연결,매출액(억원),,31564,32692,34345,,,,
자동차,DN오토모티브,연결,  전년동기대비(%),,239,4,5,,,,
자동차,DN오토모티브,연결,  컨센서스대비(%),,0,,,,,,
자동차,DN오토모티브,연결,영업이익(억원),,4215,4904,5229,,,,
자동차,DN오토모티브,연결,  전년동기대비(%),,370,16,7,,,,
자동차,DN오토모티브,연결,  컨센서스대비(%),,8,,,,,,
자동차,DRB동일,연결,매출액(억원),,6618,7378,7527,,,,
자동차,DRB동일,연결,  전년동기대비(%),,20,11,2,,,,
자동차,DRB동일,연결,  컨센서스대비(%),,,,,,,,
자동차,DRB동일,연결,영업이익(억원),,121,358,219,,,,
자동차,DRB동일,연결,  전년동기대비(%),,1995,196,-39,,,,
자동차,DRB동일,연결,  컨센서스대비(%),,,,,,,,
금융,DSC인베스트먼트,연결,영업수익(억원),309,338,336,,,,,
금융,DSC인베스트먼트,연결,  전년동기대비(%),-20,9,-1,,,,,
금융,DSC인베스트먼트,연결,  컨센서스대비(%),-39,,,,,,,
금융,DSC인베스트먼트,연결,영업이익(억원),166,188,175,,,,,
금융,DSC인베스트먼트,연결,  전년동기대비(%),-43,13,-7,,,,,
금융,DSC인베스트먼트,연결,  컨센서스대비(%),-54,,,,,,,
철강,DSR,연결,매출액(억원),,3675,2911,2998,,,,
철강,DSR,연결,  전년동기대비(%),,35,-21,3,,,,
철강,DSR,연결,  컨센서스대비(%),,,,,,,,
철강,DSR,연결,영업이익(억원),,358,243,153,,,,
철강,DSR,연결,  전년동기대비(%),,166,-32,-37,,,,
철강,DSR,연결,  컨센서스대비(%),,,,,,,,
철강,DSR제강,연결,매출액(억원),,2617,2130,2156,,,,
철강,DSR제강,연결,  전년동기대비(%),,26,-19,1,,,,
철강,DSR제강,연결,  컨센서스대비(%),,,,,,,,
철강,DSR제강,연결,영업이익(억원),,264,235,195,,,,
철강,DSR제강,연결,  전년동기대비(%),,514,-11,-17,,,,
철강,DSR제강,연결,  컨센서스대비(%),,,,,,,,
신재생_기타,DS단석,연결,매출액(억원),9005,11337,10704,9617,,,,
신재생_기타,DS단석,연결,  전년동기대비(%),50,26,-6,-10,,,,
신재생_기타,DS단석,연결,  컨센서스대비(%),,,2,,,,,
신재생_기타,DS단석,연결,영업이익(억원),725,740,762,127,,,,
신재생_기타,DS단석,연결,  전년동기대비(%),192,2,3,-83,,,,
신재생_기타,DS단석,연결,  컨센서스대비(%),,,-14,,,,,
헬스케어,DXVX,연결,매출액(억원),75,322,467,,,,,
헬스케어,DXVX,연결,  전년동기대비(%),-3,331,45,,,,,
헬스케어,DXVX,연결,  컨센서스대비(%),,,,,,,,
헬스케어,DXVX,연결,영업이익(억원),-37,26,-121,,,,,
헬스케어,DXVX,연결,  전년동기대비(%),적지,흑전,적전,,,,,
헬스케어,DXVX,연결,  컨센서스대비(%),,,,,,,,
에너지_가스,E1,연결,매출액(억원),51523,79908,78277,111924,,,,
에너지_가스,E1,연결,  전년동기대비(%),31,55,-2,43,,,,
에너지_가스,E1,연결,  컨센서스대비(%),,,1,,,,,
에너지_가스,E1,연결,영업이익(억원),56,2787,932,2176,,,,
에너지_가스,E1,연결,  전년동기대비(%),-86,4900,-67,134,,,,
에너지_가스,E1,연결,  컨센서스대비(%),,,-13,,,,,
#N/A,EDGC,연결,매출액(억원),893,942,885,,,,,
#N/A,EDGC,연결,  전년동기대비(%),-4,6,-6,,,,,
#N/A,EDGC,연결,  컨센서스대비(%),,,,,,,,
#N/A,EDGC,연결,영업이익(억원),-156,-95,-94,,,,,
#N/A,EDGC,연결,  전년동기대비(%),적지,적지,적지,,,,,
#N/A,EDGC,연결,  컨센서스대비(%),,,,,,,,
비철금속,EG,연결,매출액(억원),957,702,618,652,,,,
비철금속,EG,연결,  전년동기대비(%),112,-27,-12,6,,,,
비철금속,EG,연결,  컨센서스대비(%),,,,,,,,
비철금속,EG,연결,영업이익(억원),76,-86,-144,-55,,,,
비철금속,EG,연결,  전년동기대비(%),흑전,적전,적지,적지,,,,
비철금속,EG,연결,  컨센서스대비(%),,,,,,,,
#N/A,EMB,연결,매출액(억원),233,243,243,,,,,
#N/A,EMB,연결,  전년동기대비(%),-20,4,0,,,,,
#N/A,EMB,연결,  컨센서스대비(%),,,,,,,,
#N/A,EMB,연결,영업이익(억원),14,18,8,,,,,
#N/A,EMB,연결,  전년동기대비(%),-20,26,-56,,,,,
#N/A,EMB,연결,  컨센서스대비(%),,,,,,,,
내수,ES큐브,연결,매출액(억원),517,752,633,162,,,,
내수,ES큐브,연결,  전년동기대비(%),-36,45,-16,-74,,,,
내수,ES큐브,연결,  컨센서스대비(%),,,,,,,,
내수,ES큐브,연결,영업이익(억원),68,153,108,-37,,,,
내수,ES큐브,연결,  전년동기대비(%),-34,126,-30,적전,,,,
내수,ES큐브,연결,  컨센서스대비(%),,,,,,,,
패션,F&F,연결,매출액(억원),10892,18089,19785,18960,19811,20899,,
패션,F&F,연결,  전년동기대비(%),,66,9,-4,4,5,,
패션,F&F,연결,  컨센서스대비(%),-19,-4,-1,0,,,,
패션,F&F,연결,영업이익(억원),3227,5249,5518,4507,4718,5140,,
패션,F&F,연결,  전년동기대비(%),,63,5,-18,5,9,,
패션,F&F,연결,  컨센서스대비(%),-12,-7,-4,1,,,,
지주사,F&F홀딩스,연결,매출액(억원),7271,18168,19863,18983,,,,
지주사,F&F홀딩스,연결,  전년동기대비(%),3421,150,9,-4,,,,
지주사,F&F홀딩스,연결,  컨센서스대비(%),,,,,,,,
지주사,F&F홀딩스,연결,영업이익(억원),2092,4862,5144,4164,,,,
지주사,F&F홀딩스,연결,  전년동기대비(%),흑전,132,6,-19,,,,
지주사,F&F홀딩스,연결,  컨센서스대비(%),,,,,,,,
광고,FSN,연결,매출액(억원),2118,1765,1756,2656,,,,
광고,FSN,연결,  전년동기대비(%),30,-17,-1,51,,,,
광고,FSN,연결,  컨센서스대비(%),,,-17,,,,,
광고,FSN,연결,영업이익(억원),102,-21,-60,8,,,,
광고,FSN,연결,  전년동기대비(%),134,적전,적지,흑전,,,,
광고,FSN,연결,  컨센서스대비(%),,,적전,,,,,
자동차,GH신소재,연결,매출액(억원),,869,828,837,,,,
자동차,GH신소재,연결,  전년동기대비(%),,30,-5,1,,,,
자동차,GH신소재,연결,  컨센서스대비(%),,,,,,,,
자동차,GH신소재,연결,영업이익(억원),,32,45,77,,,,
자동차,GH신소재,연결,  전년동기대비(%),,46,39,72,,,,
자동차,GH신소재,연결,  컨센서스대비(%),,,,,,,,
내수,GKL,연결,매출액(억원),851,2621,3967,3964,4440,4887,,
내수,GKL,연결,  전년동기대비(%),-54,208,51,0,12,10,,
내수,GKL,연결,  컨센서스대비(%),-6,0,-4,0,,,,
내수,GKL,연결,영업이익(억원),-1458,-139,510,383,635,792,,
내수,GKL,연결,  전년동기대비(%),적지,적지,흑전,-25,66,25,,
내수,GKL,연결,  컨센서스대비(%),적지,적지,-25,-15,,,,
외국계,GRT,연결,매출액(억원),,,,,,,,
외국계,GRT,연결,  전년동기대비(%),,,,,,,,
외국계,GRT,연결,  컨센서스대비(%),,,,,,,,
외국계,GRT,연결,영업이익(억원),,,,,,,,
외국계,GRT,연결,  전년동기대비(%),,,,,,,,
외국계,GRT,연결,  컨센서스대비(%),,,,,,,,
석유화학,GS,연결,매출액(억원),201650,285825,259785,252975,252452,257897,,
석유화학,GS,연결,  전년동기대비(%),31,42,-9,-3,0,2,,
석유화학,GS,연결,  컨센서스대비(%),6,0,-1,0,,,,
석유화학,GS,연결,영업이익(억원),26513,51202,37218,30602,30439,31255,,
석유화학,GS,연결,  전년동기대비(%),188,93,-27,-18,-1,3,,
석유화학,GS,연결,  컨센서스대비(%),8,3,0,0,,,,
반도체,GST,연결,매출액(억원),3045,3128,2792,3462,3460,3810,,
