기업	구분	항목	"44,896 "	"45,261 "	"45,627 "	2025/12(E)	2026/12(E)	2027/12(E)	ㅁ	ㅇ
3S	연결	매출액(억원)								
3S	연결	  전년동기대비(%)								
3S	연결	  컨센서스대비(%)								
3S	연결	영업이익(억원)								
3S	연결	  전년동기대비(%)								
3S	연결	  컨센서스대비(%)								
3S	연결	당기순이익(억원)								
3S	연결	  전년동기대비(%)								
3S	연결	  컨센서스대비(%)								
AJ네트웍스	연결	매출액(억원)	"11,937 "	"9,365 "	"10,142 "	"11,070 "	"11,690 "	"12,320 "		
AJ네트웍스	연결	  전년동기대비(%)	22 	-22 	8 	9 	6 	5 		
AJ네트웍스	연결	  컨센서스대비(%)		-10 	-2 	-	-	-		
AJ네트웍스	연결	영업이익(억원)	764 	785 	728 	690 	850 	940 		
AJ네트웍스	연결	  전년동기대비(%)	59 	3 	-7 	-5 	23 	11 		
AJ네트웍스	연결	  컨센서스대비(%)		3 	-14 	-	-	-		
AJ네트웍스	연결	당기순이익(억원)	87 	165 	216 	200 	190 	270 		
AJ네트웍스	연결	  전년동기대비(%)	-89 	90 	31 	-7 	-5 	42 		
AJ네트웍스	연결	  컨센서스대비(%)		44 	-25 	-	-	-		
AK홀딩스	연결	매출액(억원)	"37,880 "	"44,797 "	"44,883 "					
AK홀딩스	연결	  전년동기대비(%)	20 	18 	0 					
AK홀딩스	연결	  컨센서스대비(%)				-	-	-		
AK홀딩스	연결	영업이익(억원)	-218 	"2,791 "	"1,303 "					
AK홀딩스	연결	  전년동기대비(%)	적지	흑전	-53 					
AK홀딩스	연결	  컨센서스대비(%)				-	-	-		
AK홀딩스	연결	당기순이익(억원)	"-1,249 "	"1,304 "	-166 					
AK홀딩스	연결	  전년동기대비(%)	적지	흑전	적전					
AK홀딩스	연결	  컨센서스대비(%)				-	-	-		
APS	연결	매출액(억원)	408 	410 	940 					
APS	연결	  전년동기대비(%)	4 	1 	129 					
APS	연결	  컨센서스대비(%)	17 			-	-	-		
APS	연결	영업이익(억원)	-153 	-186 	-226 					
APS	연결	  전년동기대비(%)	적지	적지	적지					
APS	연결	  컨센서스대비(%)	적지			-	-	-		
APS	연결	당기순이익(억원)	64 	140 	-34 					
APS	연결	  전년동기대비(%)	-73 	120 	적전					
APS	연결	  컨센서스대비(%)	-42 			-	-	-		
AP시스템	연결	매출액(억원)	"4,866 "	"5,336 "	"5,167 "					
AP시스템	연결	  전년동기대비(%)	-8 	10 	-3 					
AP시스템	연결	  컨센서스대비(%)				-	-	-		
AP시스템	연결	영업이익(억원)	905 	601 	472 					
AP시스템	연결	  전년동기대비(%)	41 	-34 	-22 					
AP시스템	연결	  컨센서스대비(%)				-	-	-		
AP시스템	연결	당기순이익(억원)	822 	600 	518 					
AP시스템	연결	  전년동기대비(%)	44 	-27 	-14 					
AP시스템	연결	  컨센서스대비(%)				-	-	-		
AP위성	연결	매출액(억원)	536 	494 	586 					
AP위성	연결	  전년동기대비(%)	33 	-8 	19 					
AP위성	연결	  컨센서스대비(%)				-	-	-		
AP위성	연결	영업이익(억원)	45 	101 	73 					
AP위성	연결	  전년동기대비(%)	434 	124 	-28 					
AP위성	연결	  컨센서스대비(%)				-	-	-		
AP위성	연결	당기순이익(억원)	41 	105 	104 					
AP위성	연결	  전년동기대비(%)	191 	158 	-1 					
AP위성	연결	  컨센서스대비(%)				-	-	-		
AP헬스케어	연결	매출액(억원)	96 	160 	164 					
AP헬스케어	연결	  전년동기대비(%)	14 	67 	2 					
AP헬스케어	연결	  컨센서스대비(%)				-	-	-		
AP헬스케어	연결	영업이익(억원)	-9 	2 	10 					
AP헬스케어	연결	  전년동기대비(%)	적지	흑전	412 					
AP헬스케어	연결	  컨센서스대비(%)				-	-	-		
AP헬스케어	연결	당기순이익(억원)	24 	42 	-280 					
AP헬스케어	연결	  전년동기대비(%)	-8 	72 	적전					
AP헬스케어	연결	  컨센서스대비(%)				-	-	-		
BF랩스	연결	매출액(억원)	284 	286 	172 					
BF랩스	연결	  전년동기대비(%)	2 	1 	-40 					
BF랩스	연결	  컨센서스대비(%)				-	-	-		
BF랩스	연결	영업이익(억원)	-61 	-24 	-98 					
BF랩스	연결	  전년동기대비(%)	적지	적지	적지					
BF랩스	연결	  컨센서스대비(%)				-	-	-		
BF랩스	연결	당기순이익(억원)	-193 	-3 	-234 					
BF랩스	연결	  전년동기대비(%)	적전	적지	적지					
BF랩스	연결	  컨센서스대비(%)				-	-	-		
BGF	연결	매출액(억원)	"4,350 "	"3,564 "	"4,341 "	"4,440 "	"4,550 "	"4,640 "		
BGF	연결	  전년동기대비(%)	190 	-18 	22 	2 	2 	2 		
BGF	연결	  컨센서스대비(%)	0 	-18 		-	-	-		
BGF	연결	영업이익(억원)	612 	606 	552 	500 	570 	630 		
BGF	연결	  전년동기대비(%)	61 	-1 	-9 	-9 	14 	11 		
BGF	연결	  컨센서스대비(%)	-4 	-15 		-	-	-		
BGF	연결	당기순이익(억원)	262 	691 	948 	480 	500 	550 		
BGF	연결	  전년동기대비(%)	-27 	164 	37 	-49 	4 	10 		
BGF	연결	  컨센서스대비(%)	-44 	17 		-	-	-		
BGF리테일	연결	매출액(억원)	"76,158 "	"81,948 "	"86,988 "	"90,875 "	"95,326 "	"100,261 "		
BGF리테일	연결	  전년동기대비(%)	12 	8 	6 	4 	5 	5 		
BGF리테일	연결	  컨센서스대비(%)	0 	-1 	1 	-	-	-		
BGF리테일	연결	영업이익(억원)	"2,524 "	"2,532 "	"2,516 "	"2,536 "	"2,738 "	"2,931 "		
BGF리테일	연결	  전년동기대비(%)	27 	0 	-1 	1 	8 	7 		
BGF리테일	연결	  컨센서스대비(%)	-4 	-1 	-1 	-	-	-		
BGF리테일	연결	당기순이익(억원)	"1,935 "	"1,958 "	"1,952 "	"1,908 "	"2,075 "	"2,232 "		
BGF리테일	연결	  전년동기대비(%)	31 	1 	-0 	-2 	9 	8 		
BGF리테일	연결	  컨센서스대비(%)	-1 	-0 	2 	-	-	-		
BGF에코머티리얼즈	연결	매출액(억원)	"2,633 "	"2,857 "	"3,643 "					
BGF에코머티리얼즈	연결	  전년동기대비(%)	29 	8 	28 					
BGF에코머티리얼즈	연결	  컨센서스대비(%)				-	-	-		
BGF에코머티리얼즈	연결	영업이익(억원)	159 	172 	140 					
BGF에코머티리얼즈	연결	  전년동기대비(%)	-28 	8 	-19 					
BGF에코머티리얼즈	연결	  컨센서스대비(%)				-	-	-		
BGF에코머티리얼즈	연결	당기순이익(억원)	289 	-98 	155 					
BGF에코머티리얼즈	연결	  전년동기대비(%)	"3,542 "	적전	흑전					
BGF에코머티리얼즈	연결	  컨센서스대비(%)				-	-	-		
BNK금융지주	연결	이자수익(억원)	"47,790 "	"66,917 "	"69,490 "	"68,605 "	"70,184 "	"72,656 "		
BNK금융지주	연결	  전년동기대비(%)	35 	40 	4 	-1 	2 	4 		
BNK금융지주	연결	  컨센서스대비(%)	2 	1 	0 	-	-	-		
BNK금융지주	연결	영업이익(억원)	"11,561 "	"8,012 "	"8,759 "	"9,575 "	"10,590 "	"11,258 "		
BNK금융지주	연결	  전년동기대비(%)	6 	-31 	9 	9 	11 	6 		
BNK금융지주	연결	  컨센서스대비(%)	-3 	-17 	-9 	-	-	-		
BNK금융지주	연결	당기순이익(억원)	"8,332 "	"6,789 "	"7,500 "	"7,898 "	"8,650 "	"9,193 "		
BNK금융지주	연결	  전년동기대비(%)	-0 	-19 	10 	5 	10 	6 		
BNK금융지주	연결	  컨센서스대비(%)	-4 	-9 	-9 	-	-	-		
BYC	연결	매출액(억원)	"1,697 "	"1,684 "	"1,652 "					
BYC	연결	  전년동기대비(%)	3 	-1 	-2 					
BYC	연결	  컨센서스대비(%)				-	-	-		
BYC	연결	영업이익(억원)	253 	275 	238 					
BYC	연결	  전년동기대비(%)	-5 	9 	-13 					
BYC	연결	  컨센서스대비(%)				-	-	-		
BYC	연결	당기순이익(억원)	353 	237 	184 					
BYC	연결	  전년동기대비(%)	18 	-33 	-22 					
BYC	연결	  컨센서스대비(%)				-	-	-		
CG인바이츠	연결	매출액(억원)	43 	49 	73 					
CG인바이츠	연결	  전년동기대비(%)	-90 	13 	49 					
CG인바이츠	연결	  컨센서스대비(%)				-	-	-		
CG인바이츠	연결	영업이익(억원)	-230 	-309 	-388 					
CG인바이츠	연결	  전년동기대비(%)	적지	적지	적지					
CG인바이츠	연결	  컨센서스대비(%)				-	-	-		
CG인바이츠	연결	당기순이익(억원)	-256 	-500 	-518 					
CG인바이츠	연결	  전년동기대비(%)	적지	적지	적지					
CG인바이츠	연결	  컨센서스대비(%)				-	-	-		
CJ	연결	매출액(억원)	"409,249 "	"413,527 "	"436,467 "	"454,120 "	"475,916 "	"500,544 "		
CJ	연결	  전년동기대비(%)	19 	1 	6 	4 	5 	5 		
CJ	연결	  컨센서스대비(%)	0 	-1 	0 	-	-	-		
CJ	연결	영업이익(억원)	"21,542 "	"20,391 "	"25,475 "	"27,901 "	"30,447 "	"31,714 "		
CJ	연결	  전년동기대비(%)	14 	-5 	25 	10 	9 	4 		
CJ	연결	  컨센서스대비(%)	-6 	2 	-2 	-	-	-		
CJ	연결	당기순이익(억원)	"6,868 "	"5,247 "	"1,512 "	"7,763 "	"9,542 "	"10,964 "		
CJ	연결	  전년동기대비(%)	-15 	-24 	-71 	413 	23 	15 	-391 	-8 
CJ	연결	  컨센서스대비(%)	-20 	-3 	-72 	-	-	-		
CJ CGV	연결	매출액(억원)	"12,732 "	"15,458 "	"19,579 "	"23,663 "	"25,091 "	"26,266 "		
CJ CGV	연결	  전년동기대비(%)	73 	21 	27 	21 	6 	5 	-15 	-1 
CJ CGV	연결	  컨센서스대비(%)	-3 	-2 	1 	-	-	-		
CJ CGV	연결	영업이익(억원)	-702 	491 	759 	"1,109 "	"1,363 "	"1,582 "		
CJ CGV	연결	  전년동기대비(%)	적지	흑전	55 	46 	23 	16 	-23 	-7 
CJ CGV	연결	  컨센서스대비(%)	적지	-1 	-28 	-	-	-		
CJ CGV	연결	당기순이익(억원)	"-2,145 "	"-1,234 "	"-1,755 "	-243 	111 	368 		
CJ CGV	연결	  전년동기대비(%)	적지	적지	적지	적지	흑전	232 		
CJ CGV	연결	  컨센서스대비(%)	적지	적지	적지	-	-	-		
CJ ENM	연결	매출액(억원)	"47,922 "	"43,684 "	"52,314 "	"53,848 "	"57,160 "	"61,063 "		
CJ ENM	연결	  전년동기대비(%)	35 	-9 	20 	3 	6 	7 		
CJ ENM	연결	  컨센서스대비(%)	4 	-1 	10 	-	-	-		
CJ ENM	연결	영업이익(억원)	"1,374 "	-146 	"1,045 "	"1,602 "	"2,348 "	"2,870 "		
CJ ENM	연결	  전년동기대비(%)	-54 	적전	흑전	53 	47 	22 	-7 	-24 
CJ ENM	연결	  컨센서스대비(%)	-16 	적지	-22 	-	-	-		
CJ ENM	연결	당기순이익(억원)	"-1,768 "	"-3,968 "	"-5,808 "	-432 	768 	"1,341 "		
CJ ENM	연결	  전년동기대비(%)	적전	적지	적지	적지	흑전	75 		
CJ ENM	연결	  컨센서스대비(%)	적지	적지	적지	-	-	-		
CJ 바이오사이언스	연결	매출액(억원)	41 	56 	35 					
CJ 바이오사이언스	연결	  전년동기대비(%)	-7 	37 	-38 					
CJ 바이오사이언스	연결	  컨센서스대비(%)				-	-	-		
CJ 바이오사이언스	연결	영업이익(억원)	-332 	-321 	-342 					
CJ 바이오사이언스	연결	  전년동기대비(%)	적지	적지	적지					
CJ 바이오사이언스	연결	  컨센서스대비(%)				-	-	-		
CJ 바이오사이언스	연결	당기순이익(억원)	-349 	-229 	-328 					
CJ 바이오사이언스	연결	  전년동기대비(%)	적지	적지	적지					
CJ 바이오사이언스	연결	  컨센서스대비(%)				-	-	-		
CJ대한통운	연결	매출액(억원)	"121,307 "	"117,679 "	"121,168 "	"127,295 "	"132,553 "	"137,620 "		
CJ대한통운	연결	  전년동기대비(%)	7 	-3 	3 	5 	4 	4 		
CJ대한통운	연결	  컨센서스대비(%)	-2 	0 	0 	-	-	-		
CJ대한통운	연결	영업이익(억원)	"4,118 "	"4,802 "	"5,307 "	"5,150 "	"5,774 "	"6,382 "		
CJ대한통운	연결	  전년동기대비(%)	20 	17 	11 	-3 	12 	11 		
CJ대한통운	연결	  컨센서스대비(%)	-1 	3 	1 	-	-	-		
CJ대한통운	연결	당기순이익(억원)	"1,968 "	"2,429 "	"2,683 "	"2,702 "	"3,180 "	"3,703 "		
CJ대한통운	연결	  전년동기대비(%)	24 	23 	10 	1 	18 	16 		
CJ대한통운	연결	  컨센서스대비(%)	-12 	3 	1 	-	-	-		
CJ씨푸드	연결	매출액(억원)	"1,527 "	"1,483 "	"1,937 "					
CJ씨푸드	연결	  전년동기대비(%)	-6 	-3 	31 					
CJ씨푸드	연결	  컨센서스대비(%)				-	-	-		
CJ씨푸드	연결	영업이익(억원)	41 	41 	44 					
CJ씨푸드	연결	  전년동기대비(%)	-8 	0 	5 					
CJ씨푸드	연결	  컨센서스대비(%)				-	-	-		
CJ씨푸드	연결	당기순이익(억원)	74 	44 	50 					
CJ씨푸드	연결	  전년동기대비(%)	237 	-40 	13 					
CJ씨푸드	연결	  컨센서스대비(%)				-	-	-		
CJ제일제당	연결	매출액(억원)	"300,795 "	"290,235 "	"293,591 "	"300,961 "	"312,931 "	"324,508 "		
CJ제일제당	연결	  전년동기대비(%)	14 	-4 	1 	3 	4 	4 		
CJ제일제당	연결	  컨센서스대비(%)	-1 	-0 	0 	-	-	-		
CJ제일제당	연결	영업이익(억원)	"16,647 "	"12,916 "	"15,530 "	"15,692 "	"17,170 "	"18,243 "		
CJ제일제당	연결	  전년동기대비(%)	9 	-22 	20 	1 	9 	6 		
CJ제일제당	연결	  컨센서스대비(%)	-5 	0 	-0 	-	-	-		
CJ제일제당	연결	당기순이익(억원)	"8,027 "	"5,595 "	"3,618 "	"6,612 "	"8,375 "	"9,638 "		
CJ제일제당	연결	  전년동기대비(%)	-10 	-30 	-35 	83 	27 	15 	-56 	-12 
CJ제일제당	연결	  컨센서스대비(%)	-11 	7 	-48 	-	-	-		
CJ프레시웨이	연결	매출액(억원)	"27,477 "	"30,742 "	"32,248 "	"35,058 "	"37,621 "	"40,548 "		
CJ프레시웨이	연결	  전년동기대비(%)	20 	12 	5 	9 	7 	8 		
CJ프레시웨이	연결	  컨센서스대비(%)	-1 	0 	0 	-	-	-		
CJ프레시웨이	연결	영업이익(억원)	978 	993 	940 	"1,072 "	"1,186 "	"1,293 "		
CJ프레시웨이	연결	  전년동기대비(%)	76 	1 	-5 	14 	11 	9 	-3 	-2 
CJ프레시웨이	연결	  컨센서스대비(%)	-7 	-0 	-1 	-	-	-		
CJ프레시웨이	연결	당기순이익(억원)	522 	597 	274 	666 	727 	822 		
CJ프레시웨이	연결	  전년동기대비(%)	68 	14 	-54 	143 	9 	13 	-134 	4 
CJ프레시웨이	연결	  컨센서스대비(%)	-23 	3 	-5 	-	-	-		
CMG제약	연결	매출액(억원)	822 	939 	991 					
CMG제약	연결	  전년동기대비(%)	18 	14 	6 					
CMG제약	연결	  컨센서스대비(%)				-	-	-		
CMG제약	연결	영업이익(억원)	30 	30 	10 					
CMG제약	연결	  전년동기대비(%)	80 	2 	-66 					
CMG제약	연결	  컨센서스대비(%)				-	-	-		
CMG제약	연결	당기순이익(억원)	-4 	65 	27 					
CMG제약	연결	  전년동기대비(%)	적전	흑전	-58 					
CMG제약	연결	  컨센서스대비(%)				-	-	-		
CNH	연결	순영업수익(억원)	-42 	237 	-604 					
CNH	연결	  전년동기대비(%)	적전	흑전	적전					
CNH	연결	  컨센서스대비(%)				-	-	-		
CNH	연결	영업이익(억원)	-418 	-98 	-912 					
CNH	연결	  전년동기대비(%)	적전	적지	적지					
CNH	연결	  컨센서스대비(%)				-	-	-		
CNH	연결	당기순이익(억원)	-166 	-194 	"-1,049 "					
CNH	연결	  전년동기대비(%)	적전	적지	적지					
CNH	연결	  컨센서스대비(%)				-	-	-		
CNT85	연결	매출액(억원)	321 	502 	670 					
CNT85	연결	  전년동기대비(%)	-17 	56 	34 					
CNT85	연결	  컨센서스대비(%)				-	-	-		
CNT85	연결	영업이익(억원)	15 	9 	-14 					
CNT85	연결	  전년동기대비(%)	흑전	-42 	적전					
CNT85	연결	  컨센서스대비(%)				-	-	-		
CNT85	연결	당기순이익(억원)	14 	84 	-13 					
CNT85	연결	  전년동기대비(%)	흑전	508 	적전					
CNT85	연결	  컨센서스대비(%)				-	-	-		
CR홀딩스	연결	매출액(억원)	"7,980 "	"8,169 "	"8,108 "					
CR홀딩스	연결	  전년동기대비(%)	7 	2 	-1 					
CR홀딩스	연결	  컨센서스대비(%)				-	-	-		
CR홀딩스	연결	영업이익(억원)	226 	394 	174 					
CR홀딩스	연결	  전년동기대비(%)	-32 	74 	-56 					
CR홀딩스	연결	  컨센서스대비(%)				-	-	-		
CR홀딩스	연결	당기순이익(억원)	496 	269 	25 					
CR홀딩스	연결	  전년동기대비(%)	48 	-46 	-91 					
CR홀딩스	연결	  컨센서스대비(%)				-	-	-		
CS	연결	매출액(억원)	352 	337 	372 					
CS	연결	  전년동기대비(%)	-14 	-4 	10 					
CS	연결	  컨센서스대비(%)				-	-	-		
CS	연결	영업이익(억원)	-41 	-16 	-2 					
CS	연결	  전년동기대비(%)	적전	적지	적지					
CS	연결	  컨센서스대비(%)				-	-	-		
CS	연결	당기순이익(억원)	-35 	-7 	11 					
CS	연결	  전년동기대비(%)	적지	적지	흑전					
CS	연결	  컨센서스대비(%)				-	-	-		
CSA 코스믹	연결	매출액(억원)	612 	446 	364 					
CSA 코스믹	연결	  전년동기대비(%)	2 	-27 	-18 					
CSA 코스믹	연결	  컨센서스대비(%)				-	-	-		
CSA 코스믹	연결	영업이익(억원)	-93 	-59 	-38 					
CSA 코스믹	연결	  전년동기대비(%)	적전	적지	적지					
CSA 코스믹	연결	  컨센서스대비(%)				-	-	-		
CSA 코스믹	연결	당기순이익(억원)	-123 	-66 	-60 					
CSA 코스믹	연결	  전년동기대비(%)	적지	적지	적지					
CSA 코스믹	연결	  컨센서스대비(%)				-	-	-		
CS홀딩스	연결	매출액(억원)	"1,753 "	"1,720 "	"1,420 "					
CS홀딩스	연결	  전년동기대비(%)	10 	-2 	-17 					
CS홀딩스	연결	  컨센서스대비(%)				-	-	-		
CS홀딩스	연결	영업이익(억원)	156 	191 	223 					
CS홀딩스	연결	  전년동기대비(%)	-20 	22 	17 					
CS홀딩스	연결	  컨센서스대비(%)				-	-	-		
CS홀딩스	연결	당기순이익(억원)	188 	221 	379 					
CS홀딩스	연결	  전년동기대비(%)	-11 	18 	71 					
CS홀딩스	연결	  컨센서스대비(%)				-	-	-		
DB	연결	매출액(억원)	"4,013 "	"4,586 "	"5,874 "					
DB	연결	  전년동기대비(%)	23 	14 	28 					
DB	연결	  컨센서스대비(%)				-	-	-		
DB	연결	영업이익(억원)	236 	370 	296 					
DB	연결	  전년동기대비(%)	1 	57 	-20 					
DB	연결	  컨센서스대비(%)				-	-	-		
DB	연결	당기순이익(억원)	57 	203 	928 					
DB	연결	  전년동기대비(%)	-74 	255 	357 					
DB	연결	  컨센서스대비(%)				-	-	-		
DB금융스팩12호	연결	영업수익(억원)								
DB금융스팩12호	연결	  전년동기대비(%)								
DB금융스팩12호	연결	  컨센서스대비(%)				-	-	-		
DB금융스팩12호	연결	영업이익(억원)			-1 					
DB금융스팩12호	연결	  전년동기대비(%)								
DB금융스팩12호	연결	  컨센서스대비(%)				-	-	-		
DB금융스팩12호	연결	당기순이익(억원)			1 					
DB금융스팩12호	연결	  전년동기대비(%)								
DB금융스팩12호	연결	  컨센서스대비(%)				-	-	-		
DB손해보험	연결	보험료수익(억원)	"139,619 "	"147,562 "	"158,937 "					
DB손해보험	연결	  전년동기대비(%)	-15 	6 	8 					
DB손해보험	연결	  컨센서스대비(%)				-	-	-		
DB손해보험	연결	영업이익(억원)	"27,260 "	"22,350 "	"24,249 "	"23,810 "	"25,590 "			
DB손해보험	연결	  전년동기대비(%)	146 	-18 	9 	-2 	7 			
DB손해보험	연결	  컨센서스대비(%)				-	-	-		
DB손해보험	연결	당기순이익(억원)	"20,395 "	"17,424 "	"18,532 "	"17,650 "	"18,450 "	"19,990 "		
DB손해보험	연결	  전년동기대비(%)	134 	-15 	6 	-5 	5 	8 		
DB손해보험	연결	  컨센서스대비(%)	112 		-6 	-	-	-		
DB증권	연결	순영업수익(억원)	"2,505 "	"2,661 "	"3,397 "					
DB증권	연결	  전년동기대비(%)	-41 	6 	28 					
DB증권	연결	  컨센서스대비(%)				-	-	-		
DB증권	연결	영업이익(억원)	238 	213 	619 					
DB증권	연결	  전년동기대비(%)	-86 	-11 	190 					
DB증권	연결	  컨센서스대비(%)				-	-	-		
DB증권	연결	당기순이익(억원)	108 	125 	529 					
DB증권	연결	  전년동기대비(%)	-92 	16 	323 					
DB증권	연결	  컨센서스대비(%)				-	-	-		
DB하이텍	연결	매출액(억원)	"16,695 "	"11,542 "	"11,312 "	"12,925 "	"14,091 "	"16,120 "		
DB하이텍	연결	  전년동기대비(%)	37 	-31 	-2 	14 	9 	14 	-5 	5 
DB하이텍	연결	  컨센서스대비(%)	-3 	-0 	0 	-	-	-		
DB하이텍	연결	영업이익(억원)	"7,619 "	"2,654 "	"1,908 "	"2,579 "	"3,373 "	"3,840 "		
DB하이텍	연결	  전년동기대비(%)	91 	-65 	-28 	35 	31 	14 	-4 	-17 
DB하이텍	연결	  컨센서스대비(%)	-6 	-6 	-4 	-	-	-		
DB하이텍	연결	당기순이익(억원)	"5,562 "	"2,641 "	"2,294 "	"2,577 "	"3,159 "	"3,253 "		
DB하이텍	연결	  전년동기대비(%)	76 	-53 	-13 	12 	23 	3 	10 	-20 
DB하이텍	연결	  컨센서스대비(%)	-12 	7 	5 	-	-	-		
DGI	연결	매출액(억원)	259 	134 	214 					
DGI	연결	  전년동기대비(%)	-6 	-48 	60 					
DGI	연결	  컨센서스대비(%)				-	-	-		
DGI	연결	영업이익(억원)	4 	-44 	5 					
DGI	연결	  전년동기대비(%)	흑전	적전	흑전					
DGI	연결	  컨센서스대비(%)				-	-	-		
DGI	연결	당기순이익(억원)	11 	-50 	12 					
DGI	연결	  전년동기대비(%)	흑전	적전	흑전					
DGI	연결	  컨센서스대비(%)				-	-	-		
DGP	연결	매출액(억원)	335 	182 	118 					
DGP	연결	  전년동기대비(%)	54 	-46 	-35 					
DGP	연결	  컨센서스대비(%)				-	-	-		
DGP	연결	영업이익(억원)	-28 	-48 	-50 					
DGP	연결	  전년동기대비(%)	적전	적지	적지					
DGP	연결	  컨센서스대비(%)				-	-	-		
DGP	연결	당기순이익(억원)	-178 	-74 	-135 					
DGP	연결	  전년동기대비(%)	적지	적지	적지					
DGP	연결	  컨센서스대비(%)				-	-	-		
DH오토넥스	연결	매출액(억원)	502 	328 	324 					
DH오토넥스	연결	  전년동기대비(%)	-89 	-35 	-1 					
DH오토넥스	연결	  컨센서스대비(%)				-	-	-		
DH오토넥스	연결	영업이익(억원)	-37 	-299 	-86 					
DH오토넥스	연결	  전년동기대비(%)	적전	적지	적지					
DH오토넥스	연결	  컨센서스대비(%)				-	-	-		
DH오토넥스	연결	당기순이익(억원)	-243 	"-1,772 "	"1,135 "					
DH오토넥스	연결	  전년동기대비(%)	적전	적지	흑전					
DH오토넥스	연결	  컨센서스대비(%)				-	-	-		
DH오토리드	연결	매출액(억원)	"2,260 "	"2,356 "	"2,704 "					
DH오토리드	연결	  전년동기대비(%)	26 	4 	15 					
DH오토리드	연결	  컨센서스대비(%)				-	-	-		
DH오토리드	연결	영업이익(억원)	223 	158 	165 					
DH오토리드	연결	  전년동기대비(%)	96 	-29 	5 					
DH오토리드	연결	  컨센서스대비(%)				-	-	-		
DH오토리드	연결	당기순이익(억원)	239 	-75 	23 					
DH오토리드	연결	  전년동기대비(%)	189 	적전	흑전					
DH오토리드	연결	  컨센서스대비(%)				-	-	-		
DH오토웨어	연결	매출액(억원)	"3,818 "	"3,931 "	"3,719 "					
DH오토웨어	연결	  전년동기대비(%)	15 	3 	-5 					
DH오토웨어	연결	  컨센서스대비(%)				-	-	-		
DH오토웨어	연결	영업이익(억원)	23 	28 	19 					
DH오토웨어	연결	  전년동기대비(%)	흑전	20 	-32 					
DH오토웨어	연결	  컨센서스대비(%)				-	-	-		
DH오토웨어	연결	당기순이익(억원)	-45 	7 	-24 					
DH오토웨어	연결	  전년동기대비(%)	적지	흑전	적전					
DH오토웨어	연결	  컨센서스대비(%)				-	-	-		
DI동일	연결	매출액(억원)	"8,299 "	"6,829 "	"6,517 "	"6,881 "	"8,234 "	"9,755 "		
DI동일	연결	  전년동기대비(%)	2 	-18 	-5 	6 	20 	18 		
DI동일	연결	  컨센서스대비(%)		-10 	-1 	-	-	-		
DI동일	연결	영업이익(억원)	448 	63 	78 	88 	239 	438 		
DI동일	연결	  전년동기대비(%)	-8 	-86 	24 	13 	172 	83 	159 	-88 
DI동일	연결	  컨센서스대비(%)		-31 	-26 	-	-	-		
DI동일	연결	당기순이익(억원)	575 	60 	25 	82 	239 	388 		
DI동일	연결	  전년동기대비(%)	24 	-90 	-58 	228 	191 	62 	-36 	-129 
DI동일	연결	  컨센서스대비(%)		-2 	-70 	-	-	-		
DKME	연결	매출액(억원)	"1,057 "	"1,373 "	"1,366 "					
DKME	연결	  전년동기대비(%)	31 	30 	-0 					
DKME	연결	  컨센서스대비(%)				-	-	-		
DKME	연결	영업이익(억원)	129 	129 	100 					
DKME	연결	  전년동기대비(%)	흑전	-0 	-22 					
DKME	연결	  컨센서스대비(%)				-	-	-		
DKME	연결	당기순이익(억원)	113 	128 	23 					
DKME	연결	  전년동기대비(%)	흑전	13 	-82 					
DKME	연결	  컨센서스대비(%)				-	-	-		
DL	연결	매출액(억원)	"51,737 "	"50,178 "	"56,154 "	"56,069 "	"56,917 "	"57,373 "		
DL	연결	  전년동기대비(%)	119 	-3 	12 	-0 	2 	1 		
DL	연결	  컨센서스대비(%)	-0 	-2 	0 	-	-	-		
DL	연결	영업이익(억원)	"2,845 "	"1,507 "	"4,125 "	"4,333 "	"5,088 "	"5,260 "		
DL	연결	  전년동기대비(%)	47 	-47 	174 	5 	17 	3 		
DL	연결	  컨센서스대비(%)	-22 	25 	-10 	-	-	-		
DL	연결	당기순이익(억원)	982 	"-1,210 "	948 	633 	"2,176 "	"2,460 "		
DL	연결	  전년동기대비(%)	-87 	적전	흑전	-33 	244 	13 		
DL	연결	  컨센서스대비(%)	-41 	적지	21 	-	-	-		
DL이앤씨	연결	매출액(억원)	"74,968 "	"79,911 "	"83,184 "	"77,703 "	"81,812 "	"89,159 "		
DL이앤씨	연결	  전년동기대비(%)	-2 	7 	4 	-7 	5 	9 		
DL이앤씨	연결	  컨센서스대비(%)	-0 	2 	2 	-	-	-		
DL이앤씨	연결	영업이익(억원)	"4,970 "	"3,307 "	"2,709 "	"4,619 "	"5,592 "	"6,469 "		
DL이앤씨	연결	  전년동기대비(%)	-48 	-33 	-18 	70 	21 	16 	-49 	-5 
DL이앤씨	연결	  컨센서스대비(%)	-5 	-7 	-0 	-	-	-		
DL이앤씨	연결	당기순이익(억원)	"4,316 "	"2,022 "	"2,292 "	"3,275 "	"4,260 "	"4,886 "		
DL이앤씨	연결	  전년동기대비(%)	-32 	-53 	13 	43 	30 	15 	-13 	-15 
DL이앤씨	연결	  컨센서스대비(%)	-9 	-28 	38 	-	-	-		
DMS	연결	매출액(억원)	"3,170 "	"1,645 "	"1,706 "					
DMS	연결	  전년동기대비(%)	41 	-48 	4 					
DMS	연결	  컨센서스대비(%)				-	-	-		
DMS	연결	영업이익(억원)	535 	289 	346 					
DMS	연결	  전년동기대비(%)	67 	-46 	20 					
