기업,구분,항목,2022/12,2023/12,2024/12,2025/12(E),2026/12(E),2027/12(E)
3S,연결,매출액(억원),,,,,,
3S,연결,  전년동기대비(%),,,,,,
3S,연결,  컨센서스대비(%),,,,,,
3S,연결,영업이익(억원),,,,,,
3S,연결,  전년동기대비(%),,,,,,
3S,연결,  컨센서스대비(%),,,,,,
3S,연결,당기순이익(억원),,,,,,
3S,연결,  전년동기대비(%),,,,,,
3S,연결,  컨센서스대비(%),,,,,,
AJ네트웍스,연결,매출액(억원),"11,936.52","9,365.25","10,141.56","10,596","10,927",
AJ네트웍스,연결,  전년동기대비(%),21.56,-21.54,8.29,4.48,3.12,
AJ네트웍스,연결,  컨센서스대비(%),,-9.61,-1.55,-,-,-
AJ네트웍스,연결,영업이익(억원),764.19,784.72,727.90,879,988,
AJ네트웍스,연결,  전년동기대비(%),58.97,2.69,-7.24,20.76,12.40,
AJ네트웍스,연결,  컨센서스대비(%),,2.78,-13.55,-,-,-
AJ네트웍스,연결,당기순이익(억원),86.67,164.72,216.01,311,420,
AJ네트웍스,연결,  전년동기대비(%),-88.71,90.05,31.14,43.97,34.89,
AJ네트웍스,연결,  컨센서스대비(%),,44.18,-25.17,-,-,-
AK홀딩스,연결,매출액(억원),"37,879.60","44,796.60","44,882.81",,,
AK홀딩스,연결,  전년동기대비(%),19.58,18.26,0.19,,,
AK홀딩스,연결,  컨센서스대비(%),,,,-,-,-
AK홀딩스,연결,영업이익(억원),-218.22,"2,791.24","1,303.20",,,
AK홀딩스,연결,  전년동기대비(%),적지,흑전,-53.31,,,
AK홀딩스,연결,  컨센서스대비(%),,,,-,-,-
AK홀딩스,연결,당기순이익(억원),"-1,248.58","1,303.95",-165.86,,,
AK홀딩스,연결,  전년동기대비(%),적지,흑전,적전,,,
AK홀딩스,연결,  컨센서스대비(%),,,,-,-,-
APS,연결,매출액(억원),408.22,410.47,939.65,,,
APS,연결,  전년동기대비(%),3.57,0.55,128.92,,,
APS,연결,  컨센서스대비(%),16.63,,,-,-,-
APS,연결,영업이익(억원),-152.70,-186.04,-226.38,,,
APS,연결,  전년동기대비(%),적지,적지,적지,,,
APS,연결,  컨센서스대비(%),적지,,,-,-,-
APS,연결,당기순이익(억원),63.93,140.43,-34.47,,,
APS,연결,  전년동기대비(%),-72.89,119.66,적전,,,
APS,연결,  컨센서스대비(%),-41.88,,,-,-,-
AP시스템,연결,매출액(억원),"4,866.08","5,335.79","5,166.98","5,563","6,052",
AP시스템,연결,  전년동기대비(%),-7.97,9.65,-3.16,7.66,8.79,
AP시스템,연결,  컨센서스대비(%),,,,-,-,-
AP시스템,연결,영업이익(억원),904.85,601.21,471.90,617,817,
AP시스템,연결,  전년동기대비(%),40.71,-33.56,-21.51,30.75,32.41,
AP시스템,연결,  컨센서스대비(%),,,,-,-,-
AP시스템,연결,당기순이익(억원),822.38,600.34,517.84,601,735,
AP시스템,연결,  전년동기대비(%),43.86,-27.00,-13.74,16.06,22.30,
AP시스템,연결,  컨센서스대비(%),,,,-,-,-
AP위성,연결,매출액(억원),536.04,494.34,586.32,,,
AP위성,연결,  전년동기대비(%),33.34,-7.78,18.61,,,
AP위성,연결,  컨센서스대비(%),,,,-,-,-
AP위성,연결,영업이익(억원),44.94,100.71,73.00,,,
AP위성,연결,  전년동기대비(%),433.73,124.10,-27.51,,,
AP위성,연결,  컨센서스대비(%),,,,-,-,-
AP위성,연결,당기순이익(억원),40.77,105.15,104.28,,,
AP위성,연결,  전년동기대비(%),190.80,157.91,-0.83,,,
AP위성,연결,  컨센서스대비(%),,,,-,-,-
AP헬스케어,연결,매출액(억원),95.98,160.07,164.00,,,
AP헬스케어,연결,  전년동기대비(%),14.04,66.77,2.46,,,
AP헬스케어,연결,  컨센서스대비(%),,,,-,-,-
AP헬스케어,연결,영업이익(억원),-9.30,1.89,9.67,,,
AP헬스케어,연결,  전년동기대비(%),적지,흑전,411.64,,,
AP헬스케어,연결,  컨센서스대비(%),,,,-,-,-
AP헬스케어,연결,당기순이익(억원),24.31,41.71,-280.20,,,
AP헬스케어,연결,  전년동기대비(%),-8.16,71.58,적전,,,
AP헬스케어,연결,  컨센서스대비(%),,,,-,-,-
BF랩스,연결,매출액(억원),283.55,285.65,171.98,,,
BF랩스,연결,  전년동기대비(%),2.00,0.74,-39.79,,,
BF랩스,연결,  컨센서스대비(%),,,,-,-,-
BF랩스,연결,영업이익(억원),-60.73,-23.51,-97.74,,,
BF랩스,연결,  전년동기대비(%),적지,적지,적지,,,
BF랩스,연결,  컨센서스대비(%),,,,-,-,-
BF랩스,연결,당기순이익(억원),-193.06,-2.73,-234.13,,,
BF랩스,연결,  전년동기대비(%),적전,적지,적지,,,
BF랩스,연결,  컨센서스대비(%),,,,-,-,-
BGF,연결,매출액(억원),"4,349.97","3,563.93","4,340.85","4,400","4,500","4,600"
BGF,연결,  전년동기대비(%),189.63,-18.07,21.80,1.36,2.27,2.22
BGF,연결,  컨센서스대비(%),0.46,-17.88,,-,-,-
BGF,연결,영업이익(억원),612.04,605.70,552.29,570,640,700
BGF,연결,  전년동기대비(%),61.46,-1.04,-8.82,3.21,12.28,9.38
BGF,연결,  컨센서스대비(%),-4.37,-14.69,,-,-,-
BGF,연결,당기순이익(억원),261.77,691.37,947.77,680,740,800
BGF,연결,  전년동기대비(%),-27.24,164.11,37.09,-28.25,8.82,8.11
BGF,연결,  컨센서스대비(%),-44.30,17.18,,-,-,-
BGF리테일,연결,매출액(억원),"76,157.69","81,947.54","86,987.57","91,098","95,597","99,994"
BGF리테일,연결,  전년동기대비(%),12.31,7.60,6.15,4.72,4.94,4.60
BGF리테일,연결,  컨센서스대비(%),0.15,-0.54,0.62,-,-,-
BGF리테일,연결,영업이익(억원),"2,524.08","2,531.88","2,516.41","2,679","2,854","2,957"
BGF리테일,연결,  전년동기대비(%),26.56,0.31,-0.61,6.45,6.54,3.63
BGF리테일,연결,  컨센서스대비(%),-3.88,-0.85,-1.03,-,-,-
BGF리테일,연결,당기순이익(억원),"1,935.39","1,958.45","1,952.18","2,055","2,187","2,236"
BGF리테일,연결,  전년동기대비(%),31.09,1.19,-0.32,5.26,6.43,2.25
BGF리테일,연결,  컨센서스대비(%),-1.41,-0.15,1.93,-,-,-
BGF에코머티리얼즈,연결,매출액(억원),"2,633.02","2,856.59","3,643.14",,,
BGF에코머티리얼즈,연결,  전년동기대비(%),29.42,8.49,27.53,,,
BGF에코머티리얼즈,연결,  컨센서스대비(%),,,,-,-,-
BGF에코머티리얼즈,연결,영업이익(억원),159.25,171.93,140.11,,,
BGF에코머티리얼즈,연결,  전년동기대비(%),-28.48,7.96,-18.51,,,
BGF에코머티리얼즈,연결,  컨센서스대비(%),,,,-,-,-
BGF에코머티리얼즈,연결,당기순이익(억원),288.80,-98.06,154.89,,,
BGF에코머티리얼즈,연결,  전년동기대비(%),"3,541.87",적전,흑전,,,
BGF에코머티리얼즈,연결,  컨센서스대비(%),,,,-,-,-
BNK금융지주,연결,이자수익(억원),"47,789.62","66,917.21","69,490.48","69,466","71,206","77,875"
BNK금융지주,연결,  전년동기대비(%),34.54,40.02,3.85,-0.04,2.50,9.37
BNK금융지주,연결,  컨센서스대비(%),2.45,0.91,0.24,-,-,-
BNK금융지주,연결,영업이익(억원),"11,561.41","8,011.74","8,759.20","10,319","11,009","11,680"
BNK금융지주,연결,  전년동기대비(%),5.87,-30.70,9.33,17.81,6.69,6.09
BNK금융지주,연결,  컨센서스대비(%),-2.91,-17.08,-8.84,-,-,-
BNK금융지주,연결,당기순이익(억원),"8,331.50","6,789.05","7,499.76","8,429","8,936","9,535"
BNK금융지주,연결,  전년동기대비(%),-0.13,-18.51,10.47,12.40,6.01,6.69
BNK금융지주,연결,  컨센서스대비(%),-4.40,-8.99,-8.98,-,-,-
BYC,연결,매출액(억원),"1,696.80","1,684.02","1,652.08",,,
BYC,연결,  전년동기대비(%),3.18,-0.75,-1.90,,,
BYC,연결,  컨센서스대비(%),,,,-,-,-
BYC,연결,영업이익(억원),253.26,274.98,238.33,,,
BYC,연결,  전년동기대비(%),-5.19,8.58,-13.33,,,
BYC,연결,  컨센서스대비(%),,,,-,-,-
BYC,연결,당기순이익(억원),352.87,236.67,184.05,,,
BYC,연결,  전년동기대비(%),18.19,-32.93,-22.23,,,
BYC,연결,  컨센서스대비(%),,,,-,-,-
CBI,연결,매출액(억원),360.24,313.59,244.49,,,
CBI,연결,  전년동기대비(%),45.42,-12.95,-22.04,,,
CBI,연결,  컨센서스대비(%),,,,-,-,-
CBI,연결,영업이익(억원),3.93,7.87,14.08,,,
CBI,연결,  전년동기대비(%),흑전,100.25,78.91,,,
CBI,연결,  컨센서스대비(%),,,,-,-,-
CBI,연결,당기순이익(억원),-296.96,-133.36,-147.79,,,
CBI,연결,  전년동기대비(%),적지,적지,적지,,,
CBI,연결,  컨센서스대비(%),,,,-,-,-
CG인바이츠,연결,매출액(억원),43.21,48.79,72.53,,,
CG인바이츠,연결,  전년동기대비(%),-89.80,12.91,48.66,,,
CG인바이츠,연결,  컨센서스대비(%),,,,-,-,-
CG인바이츠,연결,영업이익(억원),-230.46,-309.13,-388.13,,,
CG인바이츠,연결,  전년동기대비(%),적지,적지,적지,,,
CG인바이츠,연결,  컨센서스대비(%),,,,-,-,-
CG인바이츠,연결,당기순이익(억원),-255.68,-500.42,-518.09,,,
CG인바이츠,연결,  전년동기대비(%),적지,적지,적지,,,
CG인바이츠,연결,  컨센서스대비(%),,,,-,-,-
CJ,연결,매출액(억원),"409,248.80","413,526.88","436,466.56","455,179","479,608","503,660"
CJ,연결,  전년동기대비(%),18.68,1.05,5.55,4.29,5.37,5.01
CJ,연결,  컨센서스대비(%),0.10,-0.63,0.29,-,-,-
CJ,연결,영업이익(억원),"21,542.02","20,390.58","25,474.84","29,984","31,422","32,980"
CJ,연결,  전년동기대비(%),14.48,-5.35,24.93,17.70,4.80,4.96
CJ,연결,  컨센서스대비(%),-6.20,2.26,-2.11,-,-,-
CJ,연결,당기순이익(억원),"6,868.46","5,246.68","1,511.96","8,119","9,640","12,305"
CJ,연결,  전년동기대비(%),-14.88,-23.61,-71.18,436.97,18.74,27.64
CJ,연결,  컨센서스대비(%),-20.42,-3.37,-72.02,-,-,-
CJ CGV,연결,매출액(억원),"12,731.92","15,458.39","19,578.84","24,187","25,350","26,530"
CJ CGV,연결,  전년동기대비(%),72.91,21.41,26.66,23.54,4.81,4.65
CJ CGV,연결,  컨센서스대비(%),-2.56,-1.80,0.57,-,-,-
CJ CGV,연결,영업이익(억원),-702.36,490.66,759.34,"1,265","1,504","1,320"
CJ CGV,연결,  전년동기대비(%),적지,흑전,54.76,66.64,18.84,-12.21
CJ CGV,연결,  컨센서스대비(%),적지,-1.28,-27.87,-,-,-
CJ CGV,연결,당기순이익(억원),"-2,145.08","-1,233.53","-1,754.69",1,309,80
CJ CGV,연결,  전년동기대비(%),적지,적지,적지,흑전,"23,133.08",-74.11
CJ CGV,연결,  컨센서스대비(%),적지,적지,적지,-,-,-
CJ ENM,연결,매출액(억원),"47,922.38","43,683.61","52,313.60","53,810","56,590","59,177"
CJ ENM,연결,  전년동기대비(%),34.90,-8.85,19.76,2.86,5.17,4.57
CJ ENM,연결,  컨센서스대비(%),4.32,-0.59,10.25,-,-,-
CJ ENM,연결,영업이익(억원),"1,373.76",-146.00,"1,044.78","1,933","2,565","3,098"
CJ ENM,연결,  전년동기대비(%),-53.73,적전,흑전,84.99,32.70,20.80
CJ ENM,연결,  컨센서스대비(%),-15.51,적지,-21.53,-,-,-
CJ ENM,연결,당기순이익(억원),"-1,768.15","-3,967.75","-5,808.47",33,839,"1,678"
CJ ENM,연결,  전년동기대비(%),적전,적지,적지,흑전,"2,441.27",100.13
CJ ENM,연결,  컨센서스대비(%),적지,적지,적지,-,-,-
CJ 바이오사이언스,연결,매출액(억원),40.75,55.75,34.67,,,
CJ 바이오사이언스,연결,  전년동기대비(%),-6.60,36.81,-37.81,,,
CJ 바이오사이언스,연결,  컨센서스대비(%),,,,-,-,-
CJ 바이오사이언스,연결,영업이익(억원),-332.33,-320.57,-342.41,,,
CJ 바이오사이언스,연결,  전년동기대비(%),적지,적지,적지,,,
CJ 바이오사이언스,연결,  컨센서스대비(%),,,,-,-,-
CJ 바이오사이언스,연결,당기순이익(억원),-349.13,-229.13,-328.38,,,
CJ 바이오사이언스,연결,  전년동기대비(%),적지,적지,적지,,,
CJ 바이오사이언스,연결,  컨센서스대비(%),,,,-,-,-
CJ대한통운,연결,매출액(억원),"121,307.13","117,678.94","121,167.61","126,573","131,531","135,414"
CJ대한통운,연결,  전년동기대비(%),6.94,-2.99,2.96,4.46,3.92,2.95
CJ대한통운,연결,  컨센서스대비(%),-1.73,0.13,0.11,-,-,-
CJ대한통운,연결,영업이익(억원),"4,117.87","4,802.35","5,306.63","5,441","5,944","6,496"
CJ대한통운,연결,  전년동기대비(%),19.75,16.62,10.50,2.53,9.24,9.30
CJ대한통운,연결,  컨센서스대비(%),-1.38,2.62,0.94,-,-,-
CJ대한통운,연결,당기순이익(억원),"1,968.22","2,428.76","2,683.20","2,893","3,311","3,787"
CJ대한통운,연결,  전년동기대비(%),24.35,23.40,10.48,7.82,14.46,14.36
CJ대한통운,연결,  컨센서스대비(%),-12.32,2.82,1.33,-,-,-
CJ씨푸드,연결,매출액(억원),"1,527.01","1,483.49","1,937.17",,,
CJ씨푸드,연결,  전년동기대비(%),-5.82,-2.85,30.58,,,
CJ씨푸드,연결,  컨센서스대비(%),,,,-,-,-
CJ씨푸드,연결,영업이익(억원),41.35,41.39,43.58,,,
CJ씨푸드,연결,  전년동기대비(%),-8.09,0.10,5.29,,,
CJ씨푸드,연결,  컨센서스대비(%),,,,-,-,-
CJ씨푸드,연결,당기순이익(억원),74.20,44.35,50.19,,,
CJ씨푸드,연결,  전년동기대비(%),236.66,-40.23,13.17,,,
CJ씨푸드,연결,  컨센서스대비(%),,,,-,-,-
CJ제일제당,연결,매출액(억원),"300,795.13","290,234.73","293,590.82","303,441","314,562","325,990"
CJ제일제당,연결,  전년동기대비(%),14.42,-3.51,1.16,3.36,3.67,3.63
CJ제일제당,연결,  컨센서스대비(%),-0.52,-0.36,0.00,-,-,-
CJ제일제당,연결,영업이익(억원),"16,647.08","12,915.82","15,530.18","16,237","17,747","18,687"
CJ제일제당,연결,  전년동기대비(%),9.20,-22.41,20.24,4.55,9.30,5.29
CJ제일제당,연결,  컨센서스대비(%),-5.10,0.08,-0.42,-,-,-
CJ제일제당,연결,당기순이익(억원),"8,026.74","5,594.62","3,618.36","7,801","9,163","9,660"
CJ제일제당,연결,  전년동기대비(%),-10.05,-30.30,-35.32,115.59,17.46,5.43
CJ제일제당,연결,  컨센서스대비(%),-11.36,6.89,-47.78,-,-,-
CJ프레시웨이,연결,매출액(억원),"27,476.92","30,742.42","32,247.79","34,725","37,072","41,166"
CJ프레시웨이,연결,  전년동기대비(%),19.91,11.88,4.90,7.68,6.76,11.04
CJ프레시웨이,연결,  컨센서스대비(%),-0.90,0.14,0.19,-,-,-
CJ프레시웨이,연결,영업이익(억원),978.40,992.56,940.25,"1,078","1,192","1,279"
CJ프레시웨이,연결,  전년동기대비(%),75.88,1.45,-5.27,14.61,10.65,7.26
CJ프레시웨이,연결,  컨센서스대비(%),-7.00,-0.04,-1.31,-,-,-
CJ프레시웨이,연결,당기순이익(억원),522.43,597.00,274.05,673,760,766
CJ프레시웨이,연결,  전년동기대비(%),67.96,14.27,-54.10,145.73,12.92,0.73
CJ프레시웨이,연결,  컨센서스대비(%),-23.02,2.62,-4.95,-,-,-
CMG제약,연결,매출액(억원),821.97,939.07,991.00,,,
CMG제약,연결,  전년동기대비(%),18.31,14.25,5.53,,,
CMG제약,연결,  컨센서스대비(%),,,,-,-,-
CMG제약,연결,영업이익(억원),29.81,30.37,10.20,,,
CMG제약,연결,  전년동기대비(%),79.58,1.88,-66.41,,,
CMG제약,연결,  컨센서스대비(%),,,,-,-,-
CMG제약,연결,당기순이익(억원),-3.88,64.55,26.95,,,
CMG제약,연결,  전년동기대비(%),적전,흑전,-58.25,,,
CMG제약,연결,  컨센서스대비(%),,,,-,-,-
CNH,연결,순영업수익(억원),-42.35,236.60,-603.52,,,
CNH,연결,  전년동기대비(%),적전,흑전,적전,,,
CNH,연결,  컨센서스대비(%),,,,-,-,-
CNH,연결,영업이익(억원),-417.73,-97.60,-911.80,,,
CNH,연결,  전년동기대비(%),적전,적지,적지,,,
CNH,연결,  컨센서스대비(%),,,,-,-,-
CNH,연결,당기순이익(억원),-166.31,-194.02,"-1,049.46",,,
CNH,연결,  전년동기대비(%),적전,적지,적지,,,
CNH,연결,  컨센서스대비(%),,,,-,-,-
CNT85,연결,매출액(억원),320.81,501.70,670.39,,,
CNT85,연결,  전년동기대비(%),-16.94,56.39,33.62,,,
CNT85,연결,  컨센서스대비(%),,,,-,-,-
CNT85,연결,영업이익(억원),15.28,8.81,-14.07,,,
CNT85,연결,  전년동기대비(%),흑전,-42.34,적전,,,
CNT85,연결,  컨센서스대비(%),,,,-,-,-
CNT85,연결,당기순이익(억원),13.76,83.67,-13.49,,,
CNT85,연결,  전년동기대비(%),흑전,508.07,적전,,,
CNT85,연결,  컨센서스대비(%),,,,-,-,-
CR홀딩스,연결,매출액(억원),"7,980.40","8,169.04","8,108.32",,,
CR홀딩스,연결,  전년동기대비(%),6.93,2.36,-0.74,,,
CR홀딩스,연결,  컨센서스대비(%),,,,-,-,-
CR홀딩스,연결,영업이익(억원),225.98,394.15,174.38,,,
CR홀딩스,연결,  전년동기대비(%),-31.81,74.42,-55.76,,,
CR홀딩스,연결,  컨센서스대비(%),,,,-,-,-
CR홀딩스,연결,당기순이익(억원),495.76,268.58,24.71,,,
CR홀딩스,연결,  전년동기대비(%),48.45,-45.82,-90.80,,,
CR홀딩스,연결,  컨센서스대비(%),,,,-,-,-
CS,연결,매출액(억원),351.83,336.61,371.72,,,
CS,연결,  전년동기대비(%),-14.38,-4.33,10.43,,,
CS,연결,  컨센서스대비(%),,,,-,-,-
CS,연결,영업이익(억원),-41.34,-15.77,-2.00,,,
CS,연결,  전년동기대비(%),적전,적지,적지,,,
CS,연결,  컨센서스대비(%),,,,-,-,-
CS,연결,당기순이익(억원),-34.80,-6.82,10.97,,,
CS,연결,  전년동기대비(%),적지,적지,흑전,,,
CS,연결,  컨센서스대비(%),,,,-,-,-
CSA 코스믹,연결,매출액(억원),611.99,445.87,363.81,,,
CSA 코스믹,연결,  전년동기대비(%),1.50,-27.14,-18.40,,,
CSA 코스믹,연결,  컨센서스대비(%),,,,-,-,-
CSA 코스믹,연결,영업이익(억원),-92.66,-59.08,-37.74,,,
CSA 코스믹,연결,  전년동기대비(%),적전,적지,적지,,,
CSA 코스믹,연결,  컨센서스대비(%),,,,-,-,-
CSA 코스믹,연결,당기순이익(억원),-122.52,-66.03,-59.73,,,
CSA 코스믹,연결,  전년동기대비(%),적지,적지,적지,,,
CSA 코스믹,연결,  컨센서스대비(%),,,,-,-,-
CS홀딩스,연결,매출액(억원),"1,752.66","1,719.65","1,419.51",,,
CS홀딩스,연결,  전년동기대비(%),10.22,-1.88,-17.45,,,
CS홀딩스,연결,  컨센서스대비(%),,,,-,-,-
CS홀딩스,연결,영업이익(억원),156.32,191.29,223.14,,,
CS홀딩스,연결,  전년동기대비(%),-20.44,22.37,16.65,,,
CS홀딩스,연결,  컨센서스대비(%),,,,-,-,-
CS홀딩스,연결,당기순이익(억원),187.88,221.46,378.53,,,
CS홀딩스,연결,  전년동기대비(%),-10.81,17.87,70.92,,,
CS홀딩스,연결,  컨센서스대비(%),,,,-,-,-
DB,연결,매출액(억원),"4,013.46","4,585.84","5,874.36",,,
DB,연결,  전년동기대비(%),22.77,14.26,28.10,,,
DB,연결,  컨센서스대비(%),,,,-,-,-
DB,연결,영업이익(억원),236.09,370.23,296.27,,,
DB,연결,  전년동기대비(%),0.58,56.82,-19.98,,,
DB,연결,  컨센서스대비(%),,,,-,-,-
DB,연결,당기순이익(억원),57.13,203.05,927.86,,,
DB,연결,  전년동기대비(%),-73.68,255.42,356.96,,,
DB,연결,  컨센서스대비(%),,,,-,-,-
DB금융스팩11호,연결,영업수익(억원),,,,,,
DB금융스팩11호,연결,  전년동기대비(%),,,,,,
DB금융스팩11호,연결,  컨센서스대비(%),,,,-,-,-
DB금융스팩11호,연결,영업이익(억원),,-0.42,-0.31,,,
DB금융스팩11호,연결,  전년동기대비(%),,,적지,,,
DB금융스팩11호,연결,  컨센서스대비(%),,,,-,-,-
DB금융스팩11호,연결,당기순이익(억원),,0.82,2.55,,,
DB금융스팩11호,연결,  전년동기대비(%),,,210.98,,,
DB금융스팩11호,연결,  컨센서스대비(%),,,,-,-,-
DB금융스팩12호,연결,영업수익(억원),,,,,,
DB금융스팩12호,연결,  전년동기대비(%),,,,,,
DB금융스팩12호,연결,  컨센서스대비(%),,,,-,-,-
DB금융스팩12호,연결,영업이익(억원),,,-0.56,,,
DB금융스팩12호,연결,  전년동기대비(%),,,,,,
DB금융스팩12호,연결,  컨센서스대비(%),,,,-,-,-
DB금융스팩12호,연결,당기순이익(억원),,,1.03,,,
DB금융스팩12호,연결,  전년동기대비(%),,,,,,
DB금융스팩12호,연결,  컨센서스대비(%),,,,-,-,-
DB손해보험,연결,보험료수익(억원),"139,618.57","147,562.08","158,936.60",,,
DB손해보험,연결,  전년동기대비(%),-14.81,5.69,7.71,,,
DB손해보험,연결,  컨센서스대비(%),,,,-,-,-
DB손해보험,연결,영업이익(억원),"27,260.47","22,349.98","24,249.26",,,
DB손해보험,연결,  전년동기대비(%),145.94,-18.01,8.50,,,
DB손해보험,연결,  컨센서스대비(%),,,,-,-,-
DB손해보험,연결,당기순이익(억원),"20,394.82","17,423.79","18,532.17",,,
DB손해보험,연결,  전년동기대비(%),133.64,-14.57,6.36,,,
DB손해보험,연결,  컨센서스대비(%),112.00,,-6.07,-,-,-
DB증권,연결,순영업수익(억원),"2,505.25","2,660.62","3,397.04",,,
DB증권,연결,  전년동기대비(%),-41.40,6.20,27.68,,,
DB증권,연결,  컨센서스대비(%),,,,-,-,-
DB증권,연결,영업이익(억원),238.24,212.96,618.59,,,
DB증권,연결,  전년동기대비(%),-85.95,-10.61,190.47,,,
DB증권,연결,  컨센서스대비(%),,,,-,-,-
DB증권,연결,당기순이익(억원),107.70,125.26,529.38,,,
DB증권,연결,  전년동기대비(%),-91.51,16.30,322.62,,,
DB증권,연결,  컨센서스대비(%),,,,-,-,-
DB하이텍,연결,매출액(억원),"16,694.77","11,542.24","11,311.68","12,620","12,560",
DB하이텍,연결,  전년동기대비(%),37.44,-30.86,-2.00,11.57,-0.48,
DB하이텍,연결,  컨센서스대비(%),-2.84,-0.21,0.44,-,-,-
DB하이텍,연결,영업이익(억원),"7,618.85","2,654.37","1,908.39","2,290","3,140",
DB하이텍,연결,  전년동기대비(%),90.90,-65.16,-28.10,20.00,37.12,
DB하이텍,연결,  컨센서스대비(%),-6.15,-6.21,-3.86,-,-,-
DB하이텍,연결,당기순이익(억원),"5,562.27","2,641.49","2,293.86","2,445","3,460",
DB하이텍,연결,  전년동기대비(%),75.53,-52.51,-13.16,6.59,41.51,
DB하이텍,연결,  컨센서스대비(%),-11.88,7.23,4.86,-,-,-
DGI,연결,매출액(억원),258.73,133.92,213.61,,,
DGI,연결,  전년동기대비(%),-5.67,-48.24,59.51,,,
DGI,연결,  컨센서스대비(%),,,,-,-,-
DGI,연결,영업이익(억원),4.22,-43.92,5.03,,,
DGI,연결,  전년동기대비(%),흑전,적전,흑전,,,
DGI,연결,  컨센서스대비(%),,,,-,-,-
DGI,연결,당기순이익(억원),11.42,-50.35,12.00,,,
DGI,연결,  전년동기대비(%),흑전,적전,흑전,,,
DGI,연결,  컨센서스대비(%),,,,-,-,-
DGP,연결,매출액(억원),335.37,182.00,117.96,,,
DGP,연결,  전년동기대비(%),53.83,-45.73,-35.19,,,
DGP,연결,  컨센서스대비(%),,,,-,-,-
DGP,연결,영업이익(억원),-28.37,-47.55,-50.06,,,
DGP,연결,  전년동기대비(%),적전,적지,적지,,,
DGP,연결,  컨센서스대비(%),,,,-,-,-
DGP,연결,당기순이익(억원),-177.74,-74.34,-135.21,,,
DGP,연결,  전년동기대비(%),적지,적지,적지,,,
DGP,연결,  컨센서스대비(%),,,,-,-,-
DH오토넥스,연결,매출액(억원),502.06,327.90,323.80,,,
DH오토넥스,연결,  전년동기대비(%),-89.19,-34.69,-1.25,,,
DH오토넥스,연결,  컨센서스대비(%),,,,-,-,-
DH오토넥스,연결,영업이익(억원),-36.50,-299.46,-73.29,,,
DH오토넥스,연결,  전년동기대비(%),적전,적지,적지,,,
DH오토넥스,연결,  컨센서스대비(%),,,,-,-,-
DH오토넥스,연결,당기순이익(억원),-242.86,"-1,771.63","1,161.64",,,
DH오토넥스,연결,  전년동기대비(%),적전,적지,흑전,,,
DH오토넥스,연결,  컨센서스대비(%),,,,-,-,-
DH오토리드,연결,매출액(억원),"2,259.53","2,355.92","2,703.95",,,
DH오토리드,연결,  전년동기대비(%),26.26,4.27,14.77,,,
DH오토리드,연결,  컨센서스대비(%),,,,-,-,-
DH오토리드,연결,영업이익(억원),223.16,157.75,165.39,,,
DH오토리드,연결,  전년동기대비(%),96.00,-29.31,4.84,,,
DH오토리드,연결,  컨센서스대비(%),,,,-,-,-
DH오토리드,연결,당기순이익(억원),238.62,-75.46,22.99,,,
DH오토리드,연결,  전년동기대비(%),189.31,적전,흑전,,,
DH오토리드,연결,  컨센서스대비(%),,,,-,-,-
DH오토웨어,연결,매출액(억원),"3,818.10","3,931.32","3,719.31",,,
DH오토웨어,연결,  전년동기대비(%),14.62,2.97,-5.39,,,
DH오토웨어,연결,  컨센서스대비(%),,,,-,-,-
DH오토웨어,연결,영업이익(억원),23.21,27.76,18.96,,,
DH오토웨어,연결,  전년동기대비(%),흑전,19.60,-31.70,,,
DH오토웨어,연결,  컨센서스대비(%),,,,-,-,-
DH오토웨어,연결,당기순이익(억원),-44.99,6.51,-24.01,,,
DH오토웨어,연결,  전년동기대비(%),적지,흑전,적전,,,
DH오토웨어,연결,  컨센서스대비(%),,,,-,-,-
DI동일,연결,매출액(억원),"8,299.29","6,828.72","6,517.26",,,
DI동일,연결,  전년동기대비(%),2.07,-17.72,-4.56,,,
DI동일,연결,  컨센서스대비(%),,-10.03,-1.03,-,-,-
DI동일,연결,영업이익(억원),447.54,63.05,78.11,,,
DI동일,연결,  전년동기대비(%),-7.90,-85.91,23.89,,,
DI동일,연결,  컨센서스대비(%),,-30.71,-26.31,-,-,-
DI동일,연결,당기순이익(억원),574.91,59.96,25.03,,,
DI동일,연결,  전년동기대비(%),24.08,-89.57,-58.26,,,
DI동일,연결,  컨센서스대비(%),,-1.70,-70.20,-,-,-
DL,연결,매출액(억원),"51,737.07","50,178.16","56,153.68","56,376","56,129","56,690"
DL,연결,  전년동기대비(%),119.34,-3.01,11.91,0.40,-0.44,1.00
DL,연결,  컨센서스대비(%),-0.37,-1.80,0.26,-,-,-
DL,연결,영업이익(억원),"2,844.71","1,506.96","4,125.18","3,515","4,527","3,970"
DL,연결,  전년동기대비(%),47.27,-47.03,173.74,-14.78,28.79,-12.31
DL,연결,  컨센서스대비(%),-21.64,25.20,-10.18,-,-,-
DL,연결,당기순이익(억원),981.53,"-1,209.78",948.39,770,"1,319",-630
DL,연결,  전년동기대비(%),-86.53,적전,흑전,-18.81,71.34,적전
DL,연결,  컨센서스대비(%),-40.80,적지,21.20,-,-,-
DL이앤씨,연결,매출액(억원),"74,968.24","79,910.64","83,184.42","78,252","81,906","85,312"
DL이앤씨,연결,  전년동기대비(%),-1.77,6.59,4.10,-5.93,4.67,4.16
