일자,지수명,종가,대비,등락률,PER,PBR,배당수익률
20250403,비금속,3613.25,-12.96,-0.36,7.25,0.41,4.75
20250403,금속,4711.78,-31.28,-0.66,19.64,0.52,2.58
20250403,기계·장비,1277.78,-5.48,-0.43,37.69,1.65,1.4
20250403,전기전자,22536.73,-519.65,-2.25,15.85,1.19,1.54
20250403,의료·정밀기기,1297.16,-20.75,-1.57,57.16,0.68,0.48
20250403,운송장비·부품,3160.06,22.36,0.71,8.93,0.95,2.32
20250403,유통,332.58,-2.58,-0.77,13.3,0.57,2.66
20250403,전기·가스,725.25,5.85,0.81,4.08,0.34,0.33
20250403,건설,70.63,-0.01,-0.01,14.45,0.44,1.99
20250403,운송·창고,1635.03,-40.98,-2.45,6.45,0.73,2.48
20250403,통신,451.91,1.76,0.39,10.44,0.76,5.27
20250403,금융,460.16,-6.45,-1.38,7.16,0.53,3.59
20250403,증권,2174.39,-39.57,-1.79,8.19,0.46,3.45
20250403,보험,19135.42,-244.03,-1.26,5.25,0.54,4.52
20250403,일반서비스,1080.47,9.72,0.91,18.43,1.77,1.8
20250403,제조,6362.95,-54.91,-0.86,16.38,1.05,1.63
20250403,코스피 대형주,2488.69,-19.31,-0.77,13.05,0.98,1.92
20250403,코스피 중형주,2694.95,-22.55,-0.83,13.59,0.58,2.35
20250403,코스피 소형주,2092.96,-13.04,-0.62,11.72,0.44,2.64
20250403,코스피 200 비중상한 30%,332.77,-3.33,-0.99,11.98,0.86,2.16
20250403,코스피 200 비중상한 25%,333.09,-3.32,-0.99,11.98,0.86,2.16
20250403,코스피 200 비중상한 20%,326.66,-3.04,-0.92,11.97,0.86,2.14
20250403,오락·문화,1064.16,0.59,0.06,266.55,1.38,1.7
20250403,IT 서비스,1029.03,16.68,1.65,28.7,1.41,0.78
20250403,부동산,922.18,-4.75,-0.51,0.0,0.32,6.67
20250403,코스피 200 TOP 10,1205.61,-5.08,-0.42,10.94,0.89,2.23
20250402,코스피,2505.86,-15.53,-0.62,13.14,0.88,1.99
20250402,코스피 200,336.26,-1.96,-0.58,12.1,0.87,2.14
20250402,코스피 100,2534.94,-15.31,-0.6,12.04,0.89,2.13
20250402,코스피 50,2338.29,-10.16,-0.43,11.41,0.89,2.18
20250402,코스피 200 중소형주,1307.12,-4.64,-0.35,12.79,0.67,2.32
20250402,코스피 200 초대형제외 지수,257.24,-2.0,-0.77,12.02,0.85,2.03
20250402,코스피200제외 코스피지수,3154.36,-12.8,-0.4,11.57,0.59,2.32
20250402,코스피 200 커뮤니케이션서비스,1830.94,-11.49,-0.62,23.19,1.2,1.98
20250402,코스피 200 건설,292.96,-3.11,-1.05,9.37,0.53,1.09
20250402,코스피 200 중공업,606.68,-5.61,-0.92,46.59,2.43,0.38
20250402,코스피 200 철강/소재,876.52,-25.45,-2.82,29.05,0.36,2.81
20250402,코스피 200 에너지/화학,903.96,-21.54,-2.33,0.0,0.5,2.24
20250402,코스피 200 정보기술,2667.81,-18.83,-0.7,14.2,0.92,1.32
20250402,코스피 200 금융,854.84,-0.48,-0.06,6.22,0.53,4.13
20250402,코스피 200 생활소비재,882.81,0.38,0.04,11.1,0.71,1.82
20250402,코스피 200 경기소비재,1549.1,-1.74,-0.11,6.01,0.61,3.54
20250402,코스피 200 산업재,716.64,-9.72,-1.34,20.14,1.78,1.15
20250402,코스피 200 헬스케어,1929.72,-42.92,-2.18,51.94,2.82,0.26
20250402,음식료·담배,3888.55,11.66,0.3,11.76,0.99,2.55
20250402,섬유·의류,215.67,-0.79,-0.36,7.49,0.58,2.64
20250402,종이·목재,254.95,-1.4,-0.55,0.0,0.36,2.83
20250402,화학,3235.02,-57.82,-1.76,80.87,0.6,1.62
20250402,제약,15212.96,-252.68,-1.63,75.06,3.02,0.22
20250402,비금속,3626.21,-22.02,-0.6,7.27,0.41,4.73
20250402,금속,4743.06,-127.8,-2.62,19.77,0.53,2.56
20250402,기계·장비,1283.26,-8.85,-0.68,37.86,1.65,1.39
20250402,전기전자,23056.38,-44.67,-0.19,16.21,1.22,1.51
20250402,의료·정밀기기,1317.91,-8.86,-0.67,58.07,0.69,0.47
20250402,운송장비·부품,3137.7,-32.43,-1.02,8.87,0.95,2.33
20250402,유통,335.16,-0.72,-0.21,13.41,0.57,2.64
20250402,전기·가스,719.4,-6.78,-0.93,4.05,0.34,0.33
20250402,건설,70.64,-0.23,-0.32,14.44,0.44,1.99
20250402,운송·창고,1676.01,1.25,0.07,6.62,0.75,2.42
20250402,통신,450.15,-0.7,-0.16,10.39,0.76,5.29
20250402,금융,466.61,-1.57,-0.34,7.27,0.54,3.54
20250402,증권,2213.96,9.48,0.43,8.34,0.47,3.38
20250402,보험,19379.45,-149.44,-0.77,5.31,0.54,4.47
20250402,일반서비스,1070.75,0.19,0.02,18.26,1.76,1.81
20250402,제조,6417.86,-47.95,-0.74,16.53,1.06,1.62
20250402,코스피 대형주,2508.0,-15.17,-0.6,13.15,0.99,1.9
20250402,코스피 중형주,2717.5,-20.47,-0.75,13.71,0.59,2.33
20250402,코스피 소형주,2106.0,-8.82,-0.42,11.8,0.44,2.62
20250402,코스피 200 비중상한 30%,336.1,-1.97,-0.58,12.1,0.87,2.14
20250402,코스피 200 비중상한 25%,336.41,-1.97,-0.58,12.1,0.87,2.14
20250402,코스피 200 비중상한 20%,329.7,-2.05,-0.62,12.08,0.86,2.12
20250402,오락·문화,1063.57,-12.95,-1.2,266.4,1.38,1.7
20250402,IT 서비스,1012.35,-8.1,-0.79,28.23,1.39,0.79
20250402,부동산,926.93,1.92,0.21,0.0,0.32,6.55
20250402,코스피 200 TOP 10,1210.69,-9.17,-0.75,10.98,0.89,2.22
20250401,코스피,2521.39,40.27,1.62,13.22,0.88,1.98
20250401,코스피 200,338.22,5.82,1.75,12.17,0.87,2.13
20250401,코스피 100,2550.25,45.72,1.83,12.12,0.9,2.12
20250401,코스피 50,2348.45,43.73,1.9,11.46,0.89,2.17
20250401,코스피 200 중소형주,1311.76,11.77,0.91,12.83,0.67,2.31
20250401,코스피 200 초대형제외 지수,259.24,4.48,1.76,12.11,0.86,2.02
20250401,코스피200제외 코스피지수,3167.16,46.23,1.48,11.62,0.59,2.31
20250401,코스피 200 커뮤니케이션서비스,1842.43,37.66,2.09,23.33,1.2,1.97
20250401,코스피 200 건설,296.07,3.28,1.12,9.47,0.54,1.08
20250401,코스피 200 중공업,612.29,12.94,2.16,46.99,2.45,0.38
20250401,코스피 200 철강/소재,901.97,-3.94,-0.43,29.9,0.37,2.73
20250401,코스피 200 에너지/화학,925.5,7.47,0.81,0.0,0.51,2.19
20250401,코스피 200 정보기술,2686.64,42.26,1.6,14.3,0.93,1.31
20250401,코스피 200 금융,855.32,12.93,1.53,6.23,0.53,4.13
20250401,코스피 200 생활소비재,882.43,4.98,0.57,11.1,0.71,1.82
20250401,코스피 200 경기소비재,1550.84,1.14,0.07,6.01,0.61,3.54
20250401,코스피 200 산업재,726.36,19.35,2.74,20.41,1.8,1.13
20250401,코스피 200 헬스케어,1972.64,51.27,2.67,53.1,2.89,0.25
20250401,음식료·담배,3876.89,17.57,0.46,11.73,0.99,2.56
20250401,섬유·의류,216.46,1.12,0.52,7.52,0.58,2.63
20250401,종이·목재,256.35,6.58,2.63,0.0,0.36,2.82
20250401,화학,3292.84,32.44,0.99,82.33,0.61,1.6
20250401,제약,15465.64,522.04,3.49,76.31,3.07,0.21
20250401,비금속,3648.23,24.98,0.69,7.32,0.41,4.7
20250401,금속,4870.86,28.81,0.59,20.31,0.54,2.49
20250401,기계·장비,1292.11,7.74,0.6,38.11,1.66,1.38
20250401,전기전자,23101.05,345.22,1.52,16.25,1.22,1.51
20250401,의료·정밀기기,1326.77,54.08,4.25,58.46,0.69,0.47
20250401,운송장비·부품,3170.13,84.52,2.74,8.96,0.96,2.31
20250401,유통,335.88,0.45,0.13,13.43,0.57,2.63
20250401,전기·가스,726.18,-2.38,-0.33,4.08,0.34,0.33
20250401,건설,70.87,1.2,1.72,14.47,0.44,1.99
20250401,운송·창고,1674.76,52.21,3.22,6.61,0.75,2.42
20250401,통신,450.85,-3.85,-0.85,10.41,0.76,5.28
20250401,금융,468.18,5.37,1.16,7.29,0.54,3.53
20250401,증권,2204.48,8.59,0.39,8.31,0.47,3.4
20250401,보험,19528.89,149.87,0.77,5.36,0.55,4.43
20250401,일반서비스,1070.56,9.34,0.88,18.26,1.76,1.81
20250401,제조,6465.81,113.3,1.78,16.65,1.07,1.6
20250401,코스피 대형주,2523.17,43.36,1.75,13.23,0.99,1.89
20250401,코스피 중형주,2737.97,17.86,0.66,13.81,0.59,2.32
20250401,코스피 소형주,2114.82,41.72,2.01,11.85,0.44,2.61
20250401,코스피 200 비중상한 30%,338.07,5.83,1.75,12.17,0.87,2.13
20250401,코스피 200 비중상한 25%,338.38,5.83,1.75,12.17,0.87,2.13
20250401,코스피 200 비중상한 20%,331.75,5.72,1.75,12.16,0.87,2.11
20250401,오락·문화,1076.52,5.96,0.56,269.66,1.4,1.68
20250401,IT 서비스,1020.45,29.7,3.0,28.46,1.4,0.78
20250401,부동산,925.01,3.26,0.35,0.0,0.32,6.56
20250401,코스피 200 TOP 10,1219.86,21.07,1.76,11.06,0.9,2.21
