기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,비중
20250605,007110,일신석재,KOSPI,,2655,420,18.79,2235,2875,2205,85757771,2279.3,2056.0,77456610,2056.0,100.0,110.9
20250605,053580,웹케시,KOSDAQ,우량기업부,22050,1500,7.3,20400,25150,19970,14614224,3288.2,3007.0,13636248,3007.0,100.0,109.4
20250605,294570,쿠콘,KOSDAQ,우량기업부,35750,8250,30.0,27500,35750,26350,9000589,2946.0,3666.0,10254685,3666.0,100.0,80.4
20250605,304100,솔트룩스,KOSDAQ,기술성장기업부,47850,5350,12.59,42550,50200,41400,6098888,2853.4,5804.0,12130568,5804.0,100.0,49.2
20250605,052400,코나아이,KOSDAQ,우량기업부,71600,12600,21.36,61500,74900,60400,5698466,3929.2,10427.0,14563291,10427.0,100.0,37.7
20250605,241520,DSC인베스트먼트,KOSDAQ,중견기업부,7700,410,5.62,7290,8070,7070,8880200,678.4,2079.0,27000000,2557.0,81.3,32.6
20250605,452450,피아이이,KOSDAQ,벤처기업부,8950,400,4.68,9030,9430,8850,9542527,873.8,3206.0,35826000,3464.0,92.6,27.3
20250605,086390,유니테스트,KOSDAQ,중견기업부,12030,1240,11.49,14020,14020,11750,3695524,479.7,2542.0,21134126,2542.0,100.0,18.9
20250605,130660,한전산업,KOSPI,,12750,1350,11.84,13550,14100,12690,5631906,745.4,4156.0,32600000,4156.0,100.0,17.9
20250605,124500,아이티센글로벌,KOSDAQ,중견기업부,14700,2670,22.19,12290,14950,12130,3894289,546.1,3411.0,23204527,3411.0,100.0,16.0
20250605,014620,성광벤드,KOSDAQ,우량기업부,34050,6950,25.65,27800,34700,27750,4427774,1420.5,9510.0,27928547,9510.0,100.0,14.9
20250605,448280,에코아이,KOSDAQ,중견기업부,12320,1480,13.65,10980,12680,10910,4351487,531.1,3651.0,29631129,3651.0,100.0,14.5
20250605,402030,코난테크놀로지,KOSDAQ,기술성장기업부,37100,3450,10.25,34950,39400,33800,1625387,598.3,4254.0,11467288,4254.0,100.0,14.1
20250605,032820,우리기술,KOSDAQ,벤처기업부,2280,90,4.11,2415,2420,2245,19606411,453.6,3755.0,164677432,3977.0,94.4,12.1
20250605,389260,대명에너지,KOSDAQ,우량기업부,27500,3450,14.35,23500,28150,23350,2127744,564.7,4689.0,17050000,4689.0,100.0,12.0
20250605,094480,갤럭시아머니트리,KOSDAQ,중견기업부,9350,340,3.77,8900,9860,8760,4594748,432.4,3668.0,39229838,3668.0,100.0,11.8
20250605,000320,노루홀딩스,KOSPI,,21300,2340,12.34,19250,24600,19160,1428973,317.8,2831.0,13291151,2831.0,100.0,11.2
20250605,240550,동방메디컬,KOSDAQ,벤처기업부,11700,420,3.72,11270,11930,10980,2017767,233.0,2431.0,20774940,2466.0,98.6,9.6
20250605,052690,한전기술,KOSPI,,73200,12100,19.8,67300,75700,64600,2891391,2049.0,27977.0,38220000,27977.0,100.0,7.3
20250605,161580,필옵틱스,KOSDAQ,중견기업부,37600,2000,5.62,37100,38350,36700,1538703,578.6,8605.0,22885732,8605.0,100.0,6.7
20250605,096250,와이즈넛,KOSDAQ,기술성장기업부,15930,440,2.84,15490,15950,15260,883231,138.2,2086.0,13096536,2121.0,98.3,6.6
20250605,222800,심텍,KOSDAQ GLOBAL,우량기업부,21300,3230,17.87,18360,21900,18160,2152364,442.2,6785.0,31854143,6785.0,100.0,6.5
20250605,064260,다날,KOSDAQ,중견기업부,3515,60,1.74,3455,3670,3390,3915967,138.6,2424.0,68949040,2434.0,99.6,5.7
20250605,083650,비에이치아이,KOSDAQ,중견기업부,37550,750,2.04,38750,38750,35300,1759944,651.2,11620.0,30944375,11883.0,97.8,5.6
20250605,030520,한글과컴퓨터,KOSDAQ,우량기업부,26800,1300,5.1,25650,27450,25350,1332268,354.9,6480.0,24179744,6480.0,100.0,5.5
20250605,023160,태광,KOSDAQ,우량기업부,21650,2600,13.65,19370,21900,19370,1497852,312.9,5737.0,26500000,5976.0,96.0,5.5
20250605,112290,와이씨켐,KOSDAQ,기술성장기업부,26150,3250,14.19,23700,26400,23550,560624,143.1,2644.0,10110545,2644.0,100.0,5.4
20250605,093520,매커스,KOSDAQ,우량기업부,16300,2330,16.68,14080,16300,14080,899892,139.6,2635.0,16163092,2635.0,100.0,5.3
20250605,045390,대아티아이,KOSDAQ,우량기업부,4700,130,2.84,4570,4930,4565,3567813,169.6,3312.0,70473377,3312.0,100.0,5.1
