기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,거래비율
20250321,35810,이지홀딩스,KOSDAQ,우량기업부,2970,40,1.37,2930,2995,2910,259073,7.7,1935,65145845,0.003979328
20250321,1080,만호제강,KOSPI,,26050,350,1.36,26700,26700,25000,2223,0.6,1081,4150000,0.000555042
20250321,54180,메디콕스,KOSDAQ,투자주의환기종목(소속부없음),223,3,1.36,222,260,222,2746388,6.4,185,82878283,0.034594595
20250321,31510,오스템,KOSDAQ,중견기업부,1119,15,1.36,1090,1119,1084,21451,0.2,313,28000000,0.000638978
20250321,382480,지아이텍,KOSDAQ,벤처기업부,2240,30,1.36,2210,2345,2145,228439,5.1,882,39357140,0.005782313
20250321,93640,케이알엠,KOSDAQ,벤처기업부,4105,55,1.36,4080,4200,4035,44658,1.8,1339,32606724,0.001344287
20250321,109860,동일금속,KOSDAQ,우량기업부,8240,110,1.35,8300,8310,8030,1266,0.1,750,9100000,0.000133333
20250321,403870,HPSP,KOSDAQ GLOBAL,중견기업부,28900,650,2.3,28150,29450,28100,1094240,316.8,24131,83498568,0.013128341
20250321,251120,바이오에프디엔씨,KOSDAQ,기술성장기업부,13720,180,1.33,13540,13760,13470,14151,1.9,1193,8695700,0.001592624
20250321,191410,육일씨엔에쓰,KOSDAQ,중견기업부,1520,20,1.33,1539,1539,1498,20064,0.3,170,11204255,0.001764706
20250321,102710,이엔에프테크놀로지,KOSDAQ,우량기업부,26950,1000,3.85,25700,26950,25700,189804,50.4,3851,14287836,0.01308751
20250321,312610,에이에프더블류,KOSDAQ,중견기업부,1227,16,1.32,1259,1259,1200,24219,0.3,249,20256888,0.001204819
20250321,3100,선광,KOSDAQ,우량기업부,16230,210,1.31,16020,16270,15850,15817,2.5,1071,6600000,0.002334267
20250321,60280,큐렉소,KOSDAQ,중견기업부,9160,-200,-2.14,9360,9750,9090,509526,47.8,3764,41089990,0.012699256
20250321,317330,덕산테코피아,KOSDAQ,우량기업부,24800,650,2.69,23800,25650,23500,259427,64,5078,20476584,0.012603387
20250321,397030,에이프릴바이오,KOSDAQ,기술성장기업부,15270,-440,-2.8,15560,15780,15240,276504,42.7,3434,22486096,0.012434479
20250321,6910,보성파워텍,KOSDAQ,중견기업부,2740,35,1.29,2680,2775,2680,162103,4.4,1346,49129824,0.003268945
20250321,220100,퓨쳐켐,KOSDAQ,기술성장기업부,23100,-800,-3.35,23400,24300,23050,263865,62.1,5106,22102155,0.012162162
20250321,10140,삼성중공업,KOSPI,,14580,40,0.28,14450,14690,14140,10733577,1554.4,128304,880000000,0.012114977
20250321,104620,노랑풍선,KOSDAQ,중견기업부,4780,60,1.27,5010,5100,4705,126048,6.1,757,15842126,0.008058124
20250321,275630,에스에스알,KOSDAQ,벤처기업부,3195,40,1.27,3155,3220,3125,5981,0.2,192,6017989,0.001041667
20250321,239610,에이치엘사이언스,KOSDAQ,우량기업부,11200,140,1.27,11010,11270,11010,4674,0.5,604,5392115,0.000827815
20250321,46120,오르비텍,KOSDAQ,중견기업부,2395,30,1.27,2365,2430,2340,56212,1.3,657,27449486,0.001978691
