기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,비중
20250624,201490,미투온,KOSDAQ,중견기업부,7280,650,9.8,7620,8240,6630,30160510,2258.1,2212.0,30390092,2212.0,100.0,102.1
20250624,462860,더즌,KOSDAQ,중견기업부,5200,375,7.77,4760,5570,4755,28863311,1526.9,3713.0,71413257,3771.0,98.5,41.1
20250624,064260,다날,KOSDAQ,중견기업부,7020,850,13.78,6300,7250,6170,27373182,1853.5,4840.0,68949040,4840.0,100.0,38.3
20250624,205500,넥써쓰,KOSDAQ,중견기업부,4585,375,8.91,4280,4885,4100,21959126,995.3,2692.0,58717699,2692.0,100.0,37.0
20250624,241520,DSC인베스트먼트,KOSDAQ,중견기업부,8270,580,7.54,7880,8890,7800,9045492,772.7,2233.0,27000000,2233.0,100.0,34.6
20250624,234340,헥토파이낸셜,KOSDAQ,우량기업부,32400,5900,22.26,27200,34350,26050,3264291,1008.3,3063.0,9453000,3063.0,100.0,32.9
20250624,466100,클로봇,KOSDAQ,기술성장기업부,21600,2180,11.23,21700,23650,20850,7898061,1753.5,5325.0,24651339,5325.0,100.0,32.9
20250624,267320,나인테크,KOSDAQ,벤처기업부,4500,655,17.04,4050,4745,3970,16619596,748.9,2403.0,53398327,2403.0,100.0,31.2
20250624,080220,제주반도체,KOSDAQ,우량기업부,15050,1720,12.9,13910,15700,13850,8817575,1312.3,5184.0,34442833,5184.0,100.0,25.3
20250624,214180,헥토이노베이션,KOSDAQ,우량기업부,15970,990,6.61,15110,17680,14870,3120295,518.4,2096.0,13124613,2152.0,97.4,24.7
20250624,158430,아톤,KOSDAQ,벤처기업부,12720,190,1.52,12400,13520,11180,5162082,641.6,3154.0,24798851,3154.0,100.0,20.3
20250624,090360,로보스타,KOSDAQ,중견기업부,31300,500,1.62,32650,32650,30800,1560513,493.0,3052.0,9750000,3052.0,100.0,16.2
20250624,056080,유진로봇,KOSDAQ,중견기업부,11470,800,7.5,11260,12240,11100,5811545,678.3,4303.0,37512152,6099.0,70.6,15.8
20250624,456010,아이씨티케이,KOSDAQ,기술성장기업부,17210,1410,8.92,15940,17920,15940,2068119,355.8,2310.0,13420676,2652.0,87.1,15.4
20250624,090710,휴림로봇,KOSDAQ,중견기업부,2480,35,1.43,2575,2675,2450,15800230,401.3,2734.0,110237793,2734.0,100.0,14.7
20250624,475150,SK이터닉스,KOSPI,,28900,700,2.48,29350,30600,27950,4647034,1357.4,9755.0,33754042,9755.0,100.0,13.9
20250624,376900,로킷헬스케어,KOSDAQ,기술성장기업부,15110,840,5.89,14530,15390,14510,2155051,322.5,2330.0,15417639,2656.0,87.7,13.8
20250624,053300,한국정보인증,KOSDAQ,우량기업부,10090,10,0.1,10110,10310,9780,5478478,549.5,4282.0,42441361,4282.0,100.0,12.8
20250624,025980,아난티,KOSDAQ,우량기업부,11330,850,8.11,10910,11850,10730,10817088,1217.2,10042.0,88629478,10042.0,100.0,12.1
20250624,160190,하이젠알앤엠,KOSDAQ,중견기업부,45950,9450,25.89,42450,47450,42450,3420287,1579.2,14193.0,30888000,14193.0,100.0,11.1
20250624,032820,우리기술,KOSDAQ,벤처기업부,4350,20,0.46,4590,4590,4145,18345814,799.6,7201.0,165530656,7275.0,99.0,11.1
20250624,063080,컴투스홀딩스,KOSDAQ,중견기업부,34250,2750,8.73,31100,37150,29750,680048,234.4,2259.0,6595192,2341.0,96.5,10.4
