기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,f
20250422,41510,에스엠,KOSDAQ,우량기업부,113600,100,0.09,113500,115000,111900,83949,95.3,26008,22894690,26627,97.7,0%
20250422,251970,펌텍코리아,KOSDAQ,우량기업부,55200,-100,-0.18,55000,55900,54100,31360,17.2,6845,12400000,7006,97.7,0%
20250422,134380,미원화학,KOSPI,,79800,400,0.5,79600,79800,78600,150,0.1,1755,2199268,1799,97.6,0%
20250422,353810,이지바이오,KOSDAQ,우량기업부,5310,-40,-0.75,5340,5450,5270,141738,7.6,1757,33081920,1800,97.6,0%
20250422,192400,쿠쿠홀딩스,KOSPI,,24350,0,0,24200,24450,24050,10456,2.5,8659,35562185,8873,97.6,0%
20250422,18000,유니슨,KOSDAQ,중견기업부,1289,139,12.09,1140,1350,1105,24484549,312.4,2171,168391564,2171,100,14%
20250422,54300,팬스타엔터프라이즈,KOSDAQ,벤처기업부,1029,-25,-2.37,1370,1370,977,92477744,1157.5,689,67006296,706,97.6,
20250422,43710,서울리거,KOSDAQ,중견기업부,685,-17,-2.42,698,702,681,83332,0.6,593,86562510,608,97.5,
20250422,590,CS홀딩스,KOSPI,,73400,0,0,73400,73500,72900,370,0.3,847,1154482,870,97.4,
20250422,1210,금호전기,KOSPI,,1246,150,13.69,1096,1347,1070,4479975,55.3,716,57472957,735,97.4,
20250422,24090,디씨엠,KOSPI,,12390,160,1.31,12430,12430,12130,6112,0.7,1412,11400000,1450,97.4,0%
20250422,69510,에스텍,KOSDAQ,중견기업부,11630,110,0.95,11490,11740,11400,9311,1.1,1269,10910000,1303,97.4,0%
20250422,39610,화성밸브,KOSDAQ,우량기업부,11030,720,6.98,10200,11330,10170,1488556,162.5,1148,10410400,1520,75.5,14%
20250422,453450,그리드위즈,KOSDAQ,벤처기업부,20100,1390,7.43,19150,21000,18810,1118185,223.7,1596,7942750,4297,37.1,14%
20250422,16590,신대양제지,KOSPI,,7580,-70,-0.92,7620,7650,7410,15067,1.1,3055,40297820,3139,97.3,0%
20250422,100130,동국S&C,KOSDAQ,중견기업부,2495,240,10.64,2230,2770,2230,7583650,196,1426,57143000,1909,74.7,14%
20250422,81150,티플랙스,KOSDAQ,우량기업부,3250,-90,-2.69,3315,3335,3230,459795,15,789,24268402,811,97.3,
20250422,226590,엠디바이스,KOSDAQ,기술성장기업부,10900,-440,-3.88,11250,11580,10600,1381834,152.3,1152,10567784,1289,89.4,13%
20250422,30200,KT,KOSPI,,49250,-350,-0.71,49750,49750,49200,342270,171.2,124121,252021685,127775,97.1,0%
20250422,2960,한국쉘석유,KOSPI,,340000,-1500,-0.44,341500,344000,338500,1392,4.7,4420,1300000,4550,97.1,0%
20250422,211050,인카금융서비스,KOSDAQ,기술성장기업부,7490,20,0.27,7400,7570,7400,94178,7,3848,51379800,3967,97,0%
20250422,4100,태양금속,KOSPI,,4595,240,5.51,4200,4620,4180,4913928,219.8,1686,36700000,1774,95,13%
20250422,720,현대건설,KOSPI,,38300,-700,-1.79,38550,39050,38050,525891,201.7,42649,111355765,43986,97,0%
20250422,339950,아이비김영,KOSDAQ,중견기업부,2745,-120,-4.19,2865,3155,2705,5069622,149.9,1234,44946655,1378,89.6,12%
20250422,37460,삼지전자,KOSDAQ,우량기업부,9860,130,1.34,9730,9910,9550,36758,3.6,1609,16318522,1660,96.9,0%
20250422,25550,한국선재,KOSDAQ,우량기업부,4195,-155,-3.56,4300,4520,4090,2966224,126.8,1070,25514004,1345,79.6,12%
20250422,138490,코오롱ENP,KOSPI,,6330,590,10.28,5800,7020,5800,3898371,259.7,2405,38000000,3211,74.9,11%
20250422,153460,네이블,KOSDAQ,벤처기업부,7150,150,2.14,6990,7190,6820,1756,0.1,467,6530014,483,96.7,
20250422,99410,동방선기,KOSDAQ,중견기업부,3700,80,2.21,3605,3705,3575,143472,5.3,518,14000000,536,96.6,
20250422,484810,티엑스알로보틱스,KOSDAQ,중견기업부,21750,600,2.84,20900,22500,20900,1652661,362.3,3361,15450915,3778,89,11%
20250422,65500,오리엔트정공,KOSDAQ,중견기업부,12310,-890,-6.74,12870,13190,12310,3311843,418.9,3908,31742912,5044,77.5,11%
20250422,2810,삼영무역,KOSPI,,13580,130,0.97,13460,13580,13400,23867,3.2,2508,18466948,2600,96.5,0%
20250422,52710,아모텍,KOSDAQ,중견기업부,8150,160,2,7900,8230,7900,43118,3.5,1191,14615109,1235,96.4,0%
20250422,11370,서한,KOSDAQ,우량기업부,863,-5,-0.58,868,873,860,89757,0.8,871,100894865,904,96.3,
20250422,365330,에스와이스틸텍,KOSDAQ,중견기업부,5600,320,6.06,5200,5970,5200,3189145,181,1714,30610000,2792,61.4,11%
20250422,12750,에스원,KOSPI,,63300,-600,-0.94,64400,64400,63000,24424,15.5,24053,37999178,24965,96.3,0%
20250422,28100,동아지질,KOSPI,,14500,-140,-0.96,14500,14700,14280,26122,3.8,1941,13389502,2017,96.2,0%
20250422,355390,크라우드웍스,KOSDAQ,기술성장기업부,13150,610,4.86,12630,13380,12320,945778,122.8,1175,8937936,1401,83.9,10%
20250422,323990,박셀바이오,KOSDAQ,기술성장기업부,10580,2400,29.34,8160,10630,8110,2491585,254.6,2461,23257345,5794,42.5,10%
20250422,38870,에코바이오,KOSDAQ,중견기업부,5590,1290,30,4720,5590,4640,8372169,430.1,783,14014949,814,96.2,
20250422,7340,DN오토모티브,KOSPI,,23200,-100,-0.43,22950,23300,22850,52139,12,13575,58510865,14130,96.1,0%
20250422,400760,NH올원리츠,KOSPI,,3565,-35,-0.97,3590,3590,3555,19581,0.7,1560,43767888,1623,96.1,0%
20250422,5720,넥센,KOSPI,,4675,35,0.75,4630,4675,4590,12325,0.6,2503,53543977,2605,96.1,0%
20250422,7590,동방아그로,KOSPI,,6130,20,0.33,6130,6140,6120,1735,0.1,835,13617577,869,96.1,
20250422,111110,호전실업,KOSPI,,8170,50,0.62,7970,8390,7970,33219,2.7,797,9749984,829,96.1,
20250422,50120,ES큐브,KOSDAQ,중견기업부,2570,205,8.67,2365,2645,2365,34796,0.9,349,13564086,364,95.9,
20250422,5710,대원산업,KOSDAQ,우량기업부,7280,-20,-0.27,7300,7340,7170,21134,1.5,1459,20037600,1521,95.9,0%
20250422,29960,코엔텍,KOSDAQ,우량기업부,8900,0,0,8900,8920,8900,8328,0.7,4343,48795000,4530,95.9,0%
20250422,440320,오픈놀,KOSDAQ,기술성장기업부,10430,-270,-2.52,10700,11490,10340,936032,101.4,1023,9805000,1166,87.7,10%
20250422,4140,동방,KOSPI,,2530,-50,-1.94,2550,2730,2520,4560943,119.6,1214,47971766,1763,68.9,10%
20250422,2030,아세아,KOSPI,,268500,500,0.19,268000,268500,266000,597,1.6,5596,2084140,5839,95.8,0%
20250422,122870,와이지엔터테인먼트,KOSDAQ GLOBAL,우량기업부,64000,-100,-0.16,64100,64700,63400,65316,41.9,11962,18691049,12486,95.8,0%
20250422,476060,온코닉테라퓨틱스,KOSDAQ,기술성장기업부,26200,-1650,-5.92,26350,26600,25500,1062057,276.5,2851,10881960,3031,94.1,10%
20250422,356890,싸이버원,KOSDAQ,벤처기업부,4480,20,0.45,4460,4560,4345,91672,4.1,536,11953825,560,95.7,
20250422,700,유수홀딩스,KOSPI,,5500,-30,-0.54,5530,5590,5490,58216,3.2,1432,26041812,1497,95.7,0%
20250422,2200,한국수출포장,KOSPI,,2750,5,0.18,2745,2755,2725,10195,0.3,1100,40000000,1150,95.7,0%
20250422,35000,HS애드,KOSPI,,7020,10,0.14,7070,7080,6960,9531,0.7,1163,16567409,1216,95.6,0%
20250422,17670,SK텔레콤,KOSPI,,58800,800,1.38,58100,58800,57700,628806,367.6,126297,214790053,132096,95.6,0%
