기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20250703,060310,3S,KOSDAQ,벤처기업부,2195,35,1.62,2180,2215,2160,261699,5.7,1165.0,53059040
20250703,095570,AJ네트웍스,KOSPI,,4255,-65,-1.5,4360,4365,4225,395442,17.0,1926.0,45252759
20250703,006840,AK홀딩스,KOSPI,,12230,30,0.25,12080,12260,11890,26650,3.2,1620.0,13247561
20250703,054620,APS,KOSDAQ,중견기업부,5050,50,1.0,4960,5090,4940,17662,0.9,1005.0,19894221
20250703,265520,AP시스템,KOSDAQ,우량기업부,17360,460,2.72,16910,17390,16890,122102,21.0,2653.0,15281421
20250703,211270,AP위성,KOSDAQ,우량기업부,12600,50,0.4,12580,12690,12490,24674,3.1,1900.0,15082304
20250703,109960,AP헬스케어,KOSDAQ,투자주의환기종목(소속부없음),334,6,1.83,326,335,323,397443,1.3,671.0,200789269
20250703,027410,BGF,KOSPI,,4315,-30,-0.69,4365,4365,4270,187122,8.0,4130.0,95716791
20250703,282330,BGF리테일,KOSPI,,126500,-3300,-2.54,128900,129400,125800,38137,48.3,21864.0,17283906
20250703,126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,3120,100,3.31,2990,3215,2990,410532,12.9,1958.0,62766899
20250703,138930,BNK금융지주,KOSPI,,13160,280,2.17,12900,13240,12900,1066406,140.0,41899.0,318383519
20250703,001460,BYC,KOSPI,,39950,100,0.25,40250,40250,39550,3878,1.5,2495.0,6246150
20250703,083790,CG인바이츠,KOSDAQ,중견기업부,1789,1,0.06,1800,1800,1770,109280,1.9,1376.0,76894182
20250703,001040,CJ,KOSPI,,154300,-4000,-2.53,160300,161200,153700,169316,263.9,45020.0,29176998
20250703,079160,CJ CGV,KOSPI,,5240,140,2.75,5180,5240,5100,174140,9.0,8676.0,165580502
20250703,035760,CJ ENM,KOSDAQ GLOBAL,중견기업부,72300,1100,1.54,71500,72500,70300,97958,70.3,15855.0,21929154
20250703,311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,9630,80,0.84,9570,9730,9560,18372,1.8,1258.0,13065462
20250703,00104K,CJ4우(전환),KOSPI,,128000,-1300,-1.01,129300,130000,125700,16900,21.6,5410.0,4226512
20250703,000120,CJ대한통운,KOSPI,,91400,1000,1.11,91200,91800,89700,88099,80.2,20850.0,22812344
20250703,011150,CJ씨푸드,KOSPI,,3070,0,0.0,3075,3090,3045,328792,10.1,1103.0,35930773
20250703,097950,CJ제일제당,KOSPI,,269500,3000,1.13,269500,270000,262500,85369,227.4,40571.0,15054186
20250703,051500,CJ프레시웨이,KOSDAQ,우량기업부,28350,-400,-1.39,28750,29000,28100,51498,14.7,3366.0,11871586
20250703,058820,CMG제약,KOSDAQ,중견기업부,2040,44,2.2,2005,2050,1998,919932,18.6,2918.0,143056533
20250703,056730,CNT85,KOSDAQ,벤처기업부,811,5,0.62,802,832,801,12396,0.1,601.0,74111186
20250703,000480,CR홀딩스,KOSPI,,5520,50,0.91,5470,5550,5450,17469,1.0,2588.0,46890490
20250703,065770,CS,KOSDAQ,벤처기업부,1193,94,8.55,1099,1260,1098,1426126,16.9,232.0,19411130
20250703,083660,CSA 코스믹,KOSDAQ,중견기업부,2650,-105,-3.81,2755,2790,2330,1168927,29.7,1623.0,61247181
20250703,000590,CS홀딩스,KOSPI,,90700,-1300,-1.41,92000,92600,90300,738,0.7,1047.0,1154482
20250703,012030,DB,KOSPI,,1529,-18,-1.16,1550,1566,1500,631614,9.6,3076.0,201173933
20250703,005830,DB손해보험,KOSPI,,123400,-300,-0.24,123600,124400,121900,224568,276.9,87367.0,70800000
20250703,016610,DB증권,KOSPI,,8320,40,0.48,8300,8360,8200,125675,10.4,3532.0,42446389
20250703,000990,DB하이텍,KOSPI,,46250,600,1.31,46000,46700,45350,278831,128.2,20534.0,44398588
20250703,060900,DGP,KOSDAQ,중견기업부,1262,16,1.28,1266,1288,1201,259950,3.3,330.0,26124029
20250703,000300,DH오토넥스,KOSPI,,1984,0,0.0,0,0,0,0,0.0,1629.0,82129188
20250703,290120,DH오토리드,KOSDAQ,우량기업부,2710,5,0.18,2680,2730,2665,20020,0.5,429.0,15824249
20250703,025440,DH오토웨어,KOSDAQ,중견기업부,800,2,0.25,798,808,792,151396,1.2,390.0,48781224
20250703,001530,DI동일,KOSPI,,42000,1100,2.69,41300,42000,40500,50219,20.8,8281.0,19715567
20250703,015590,DKME,KOSPI,,515,0,0.0,0,0,0,0,0.0,1220.0,236981544
20250703,000210,DL,KOSPI,,51400,4200,8.9,49650,53500,48850,519860,268.4,10771.0,20955884
20250703,375500,DL이앤씨,KOSPI,,51300,-1100,-2.1,52800,52800,50000,545776,279.5,19850.0,38693623
20250703,37550L,DL이앤씨2우(전환),KOSPI,,34800,-150,-0.43,34950,35250,34400,5885,2.0,735.0,2111951
20250703,007340,DN오토모티브,KOSPI,,23750,550,2.37,23450,23950,23250,98870,23.4,13896.0,58510865
20250703,004840,DRB동일,KOSPI,,5430,-60,-1.09,5480,5520,5350,76618,4.2,1082.0,19930000
20250703,241520,DSC인베스트먼트,KOSDAQ,중견기업부,7290,50,0.69,7260,7790,7200,945496,70.5,1968.0,27000000
20250703,155660,DSR,KOSPI,,4075,40,0.99,4040,4085,4035,22729,0.9,652.0,16000000
20250703,069730,DSR제강,KOSPI,,3760,45,1.21,3705,3790,3695,28887,1.1,541.0,14400000
20250703,017860,DS단석,KOSPI,,27650,2100,8.22,26400,28000,26150,550489,150.7,4862.0,17584212
20250703,092780,DYP,KOSPI,,4355,15,0.35,4350,4375,4320,45239,2.0,573.0,13168460
20250703,017940,E1,KOSPI,,88000,3300,3.9,85400,92500,85400,50207,44.5,6037.0,6860000
20250703,418620,E8,KOSDAQ,기술성장기업부,4645,-255,-5.2,4900,5210,4635,692707,34.0,597.0,12850477
20250703,037370,EG,KOSDAQ,벤처기업부,6020,70,1.18,5960,6080,5910,19306,1.2,519.0,8624972
20250703,365550,ESR켄달스퀘어리츠,KOSPI,,4240,5,0.12,4235,4270,4180,765024,32.3,9035.0,213089000
20250703,050120,ES큐브,KOSDAQ,중견기업부,2785,15,0.54,2750,2795,2735,6515,0.2,378.0,13564086
20250703,383220,F&F,KOSPI,,82300,100,0.12,82500,83300,80600,86670,71.0,31527.0,38307075
20250703,007700,F&F홀딩스,KOSPI,,21150,-1450,-6.42,22600,22950,21050,166576,35.9,8273.0,39114367
20250703,214270,FSN,KOSDAQ,중견기업부,3150,-115,-3.52,3285,3405,3140,654081,21.4,1294.0,41069167
20250703,130500,GH신소재,KOSDAQ,우량기업부,2900,-10,-0.34,2915,2920,2875,93416,2.7,422.0,14545052
20250703,114090,GKL,KOSPI,,16180,770,5.0,15740,16630,15460,822835,133.0,10008.0,61855670
20250703,900290,GRT,KOSDAQ,외국기업(소속부없음),3105,160,5.43,2925,3130,2915,352867,10.7,2510.0,80850000
20250703,078930,GS,KOSPI,,49550,750,1.54,49600,50500,48850,670496,333.3,46040.0,92915378
20250703,083450,GST,KOSDAQ,우량기업부,19990,860,4.5,19260,20350,19220,275522,54.7,3684.0,18430000
20250703,006360,GS건설,KOSPI,,21300,200,0.95,21300,21400,20950,443066,93.9,18229.0,85581490
20250703,001250,GS글로벌,KOSPI,,2755,25,0.92,2735,2770,2725,1019787,28.0,2274.0,82533764
20250703,007070,GS리테일,KOSPI,,17360,40,0.23,17350,17500,17070,270596,46.7,14514.0,83607415
20250703,499790,GS피앤엘,KOSPI,,37350,1850,5.21,36200,38250,36100,304913,114.7,7407.0,19830841
20250703,297890,HB솔루션,KOSDAQ,우량기업부,2435,65,2.74,2370,2435,2365,239406,5.7,1781.0,73140914
20250703,440290,HB인베스트먼트,KOSDAQ,중견기업부,2165,0,0.0,2160,2220,2155,127341,2.8,587.0,27107010
20250703,078150,HB테크놀러지,KOSDAQ,우량기업부,1919,33,1.75,1891,1920,1881,545254,10.4,1779.0,92715916
20250703,012630,HDC,KOSPI,,23050,150,0.66,22900,23650,22800,202515,46.9,13770.0,59741721
20250703,039570,HDC랩스,KOSPI,,9780,-60,-0.61,9940,10100,9770,43973,4.4,2539.0,25957601
20250703,089470,HDC현대EP,KOSPI,,4030,45,1.13,3985,4045,3985,49118,2.0,1286.0,31900000
20250703,294870,HDC현대산업개발,KOSPI,,23150,400,1.76,22550,23150,22550,345693,78.8,15258.0,65907330
20250703,009540,HD한국조선해양,KOSPI,,330500,-13500,-3.92,341000,343000,325500,473475,1570.5,233905.0,70773116
20250703,267250,HD현대,KOSPI,,126900,1500,1.2,126700,130700,125400,386578,494.1,100242.0,78993085
20250703,267270,HD현대건설기계,KOSPI,,83800,-3200,-3.68,84400,85200,82900,414925,347.8,14801.0,17661789
20250703,443060,HD현대마린솔루션,KOSPI,,199000,-3000,-1.49,203000,204000,198900,75616,151.2,89210.0,44829210
20250703,071970,HD현대마린엔진,KOSPI,,44550,-4200,-8.62,48750,49150,43800,1036013,470.0,15112.0,33921495
20250703,010620,HD현대미포,KOSPI,,183400,-10100,-5.22,193000,193100,181600,497654,923.0,73254.0,39942149
20250703,322000,HD현대에너지솔루션,KOSPI,,45050,250,0.56,44900,45900,44200,126836,57.3,5046.0,11200000
20250703,042670,HD현대인프라코어,KOSPI,,12040,-1150,-8.72,13070,13080,11950,3456746,427.6,23188.0,192591032
20250703,267260,HD현대일렉트릭,KOSPI,,454500,-33000,-6.77,485000,487000,452500,516978,2381.6,163834.0,36047135
20250703,329180,HD현대중공업,KOSPI,,394000,-13500,-3.31,408000,409000,390000,321007,1268.2,349766.0,88773116
20250703,097230,HJ중공업,KOSPI,,7480,-130,-1.71,7630,7760,7470,587460,44.4,6229.0,83274281
20250703,195940,HK이노엔,KOSDAQ GLOBAL,우량기업부,43950,1150,2.69,43450,44350,43350,190644,83.6,12451.0,28329891
20250703,014790,HL D&I,KOSPI,,2800,90,3.32,2720,2820,2705,105267,2.9,1060.0,37858601
20250703,028300,HLB,KOSDAQ,중견기업부,50000,100,0.2,49800,50200,49250,305413,151.7,65715.0,131430465
20250703,003580,HLB글로벌,KOSPI,,2680,65,2.49,2645,2680,2595,94451,2.5,1348.0,50316578
20250703,278650,HLB바이오스텝,KOSDAQ,중견기업부,1474,-1,-0.07,1499,1499,1473,141782,2.1,1282.0,87005539
20250703,067630,HLB생명과학,KOSDAQ,투자주의환기종목(소속부없음),4995,50,1.01,4950,4995,4920,207877,10.3,6090.0,121917058
20250703,024850,HLB이노베이션,KOSDAQ,중견기업부,1872,15,0.81,1840,1879,1830,183749,3.4,2701.0,144304123
20250703,187420,HLB제넥스,KOSDAQ,기술성장기업부,3230,55,1.73,3180,3285,3155,25191,0.8,941.0,29135882
20250703,047920,HLB제약,KOSDAQ,기술성장기업부,17430,-20,-0.11,17400,17450,17140,87640,15.2,5716.0,32791356
20250703,115450,HLB테라퓨틱스,KOSDAQ,중견기업부,4800,50,1.05,4750,4815,4685,491258,23.3,4050.0,84370902
