기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,비중
20250613,158430,아톤,KOSDAQ,벤처기업부,8400,330,4.09,8400,9200,8200,18812113,1630.9,2083.0,24798851,2083.0,100.0,78.3
20250613,003280,흥아해운,KOSPI,,2200,505,29.79,1694,2200,1648,146467877,3005.8,5289.0,240424899,5289.0,100.0,56.8
20250613,032820,우리기술,KOSDAQ,벤처기업부,2725,105,4.01,2670,2970,2620,67470421,1861.1,4511.0,165530656,4511.0,100.0,41.3
20250613,024060,흥구석유,KOSDAQ,중견기업부,15960,3680,29.97,12440,15960,12430,6455992,971.8,2394.0,15000000,2394.0,100.0,40.6
20250613,005880,대한해운,KOSPI,,1796,147,8.91,1653,1942,1640,126614599,2312.9,5797.0,322747340,5797.0,100.0,39.9
20250613,004090,한국석유,KOSPI,,17160,3960,30.0,13330,17160,13100,5168782,842.7,2178.0,12694120,2178.0,100.0,38.7
20250613,117580,대성에너지,KOSPI,,10170,1970,24.02,8110,10500,8090,7289540,705.6,2797.0,27500000,2797.0,100.0,25.2
20250613,161580,필옵틱스,KOSDAQ,중견기업부,41650,3650,9.61,39150,44500,36600,4139273,1699.2,9532.0,22885732,9532.0,100.0,17.8
20250613,010820,퍼스텍,KOSPI,,4300,180,4.37,4190,4430,4125,8340575,357.9,2097.0,48771938,2097.0,100.0,17.1
20250613,462860,더즌,KOSDAQ,중견기업부,3650,15,0.41,3845,3960,3645,11751849,443.3,2607.0,71413257,2607.0,100.0,17.0
20250613,064260,다날,KOSDAQ,중견기업부,6040,250,4.32,6080,6250,5850,10552076,637.1,4165.0,68949040,4165.0,100.0,15.3
20250613,103140,풍산,KOSPI,,107000,19400,22.15,93800,110500,93500,4404748,4564.8,29986.0,28024278,29986.0,100.0,15.2
20250613,025980,아난티,KOSDAQ,우량기업부,10600,730,7.4,10620,10760,10040,13448205,1406.0,9395.0,88629478,9395.0,100.0,15.0
20250613,052690,한전기술,KOSPI,,104100,14400,16.05,90700,107100,86200,5886250,5665.5,39787.0,38220000,39787.0,100.0,14.2
20250613,005810,풍산홀딩스,KOSPI,,43200,3450,8.68,41150,49200,40800,1869554,829.7,6228.0,14417292,6228.0,100.0,13.3
20250613,046440,KG모빌리언스,KOSDAQ,우량기업부,5970,700,13.28,5350,6200,5020,5170862,300.4,2269.0,38010802,2269.0,100.0,13.2
20250613,138610,나이벡,KOSDAQ,기술성장기업부,28100,1800,6.84,29900,31450,27500,1304489,386.9,3177.0,11305659,3900.0,81.5,12.2
20250613,130660,한전산업,KOSPI,,14710,20,0.14,15090,15110,13760,3923995,573.2,4795.0,32600000,4795.0,100.0,12.0
20250613,225570,넥슨게임즈,KOSDAQ,우량기업부,16840,1600,10.5,18400,18420,16120,6964097,1182.7,11091.0,65860174,11091.0,100.0,10.7
20250613,045390,대아티아이,KOSDAQ,우량기업부,5860,520,9.74,5870,6000,5610,7234106,420.2,4130.0,70473377,4130.0,100.0,10.2
20250613,136150,원일티엔아이,KOSDAQ,벤처기업부,27650,1750,6.76,27500,28850,27100,718801,200.5,2317.0,8381030,3009.0,77.0,8.7
20250613,119850,지엔씨에너지,KOSDAQ,우량기업부,29650,1050,3.67,30600,31850,28450,1349639,410.0,4877.0,16448909,4926.0,99.0,8.4
20250613,234340,헥토파이낸셜,KOSDAQ,우량기업부,23450,1800,8.31,22400,23450,20650,800175,176.7,2217.0,9453000,2217.0,100.0,8.0
20250613,064400,LG씨엔에스,KOSPI,,63900,4900,8.31,59700,64300,58200,7959500,4915.5,61910.0,96885948,61910.0,100.0,7.9
20250613,052400,코나아이,KOSDAQ,우량기업부,69800,1300,1.9,69800,70900,65100,975202,668.8,10165.0,14563291,10893.0,93.3,6.6
20250613,476060,온코닉테라퓨틱스,KOSDAQ,기술성장기업부,24700,1050,4.44,24000,24950,23600,702704,172.1,2718.0,11002310,2718.0,100.0,6.3
20250613,096250,와이즈넛,KOSDAQ,기술성장기업부,17800,680,3.97,17300,18360,16550,835148,146.3,2331.0,13096536,2521.0,92.5,6.3
20250613,105840,우진,KOSPI,,10460,210,2.05,10400,10560,9740,1095831,112.0,2113.0,20197670,2113.0,100.0,5.3
