기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가,신고가_비율
20250226,145020,휴젤,KOSDAQ GLOBAL,우량기업부,323500,7000,2.21,316500,328500,316500,96651,312.6,40774.0,12604033,40774.0,True,100.0
20250226,035900,JYP Ent.,KOSDAQ GLOBAL,우량기업부,84100,0,0.0,83600,85200,83200,411760,346.6,29883.0,35532492,29883.0,True,100.0
20250226,036530,SNT홀딩스,KOSPI,,33350,1850,5.87,31500,33950,31350,63317,20.7,5437.0,16303886,5437.0,True,100.0
20250226,030610,교보증권,KOSPI,,6650,40,0.61,6600,6700,6540,107440,7.1,7579.0,113962961,7579.0,True,100.0
20250226,029780,삼성카드,KOSPI,,45450,50,0.11,45500,45800,45050,64925,29.5,52658.0,115858891,52658.0,True,100.0
20250226,003030,세아제강지주,KOSPI,,243500,5000,2.1,238500,248500,238000,12208,29.6,10085.0,4141657,10085.0,True,100.0
20250226,226950,올릭스,KOSDAQ,기술성장기업부,55600,3400,6.51,53700,57500,50100,2807336,1501.6,10264.0,18459573,10264.0,True,100.0
20250226,082270,젬백스,KOSDAQ,벤처기업부,37250,1300,3.62,35800,37450,34300,912685,329.3,14898.0,39994174,14898.0,True,100.0
20250226,358570,지아이이노베이션,KOSDAQ,기술성장기업부,16930,1510,9.79,15490,17040,15200,2197892,361.1,7501.0,44304799,7501.0,True,100.0
20250226,030190,NICE평가정보,KOSPI,,13020,630,5.08,12350,13200,12350,174372,22.6,7748.0,59506593,7748.0,True,100.0
20250226,042000,카페24,KOSDAQ,기술성장기업부,68500,14700,27.32,62100,69700,59400,5084248,3360.6,16613.0,24253054,16613.0,True,100.0
20250226,017810,풀무원,KOSPI,,18310,1520,9.05,17300,19320,17190,2760540,511.7,6980.0,38120542,6980.0,True,100.0
20250226,012630,HDC,KOSPI,,13790,160,1.17,13680,13840,13530,103080,14.1,8238.0,59741721,8238.0,True,100.0
20250226,352820,하이브,KOSPI,,253000,2000,0.8,248000,261500,247500,289435,738.7,105380.0,41652097,105380.0,True,100.0
20250226,069960,현대백화점,KOSPI,,58400,600,1.04,58000,58700,57200,74913,43.4,13215.0,22628813,13215.0,True,100.0
20250226,375500,DL이앤씨,KOSPI,,42000,1400,3.45,40500,42400,40300,259310,107.9,16251.0,38693623,16251.0,True,100.0
20250226,005940,NH투자증권,KOSPI,,15280,120,0.79,15200,15340,15160,431228,65.9,50041.0,327492299,50041.0,True,100.0
20250226,001720,신영증권,KOSPI,,86700,-100,-0.12,86500,87400,86200,3764,3.3,14253.0,16440000,14270.0,False,99.9
20250226,214450,파마리서치,KOSDAQ GLOBAL,우량기업부,294000,7500,2.62,289500,299500,287500,93392,272.7,30898.0,10509600,30951.0,False,99.8
20250226,035420,NAVER,KOSPI,,231500,3000,1.31,228500,232000,227500,708250,1631.6,366782.0,158437008,367574.0,False,99.8
