기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수
20250508,378800,샤페론,KOSDAQ,기술성장기업부,2980,40,1.36,3000,3000,2935,214071,6.3,898.0,30143031,1010.0,88.9
20250508,294630,서남,KOSDAQ,기술성장기업부,2760,15,0.55,2720,2795,2720,78500,2.2,662.0,23979459,723.0,91.6
20250508,038070,서린바이오,KOSDAQ,우량기업부,7330,30,0.41,7340,7470,7250,50144,3.7,667.0,9100676,683.0,97.7
20250508,006730,서부T&D,KOSDAQ,우량기업부,5940,0,0.0,5940,5970,5880,67792,4.0,3916.0,65926923,3916.0,100.0
20250508,079650,서산,KOSDAQ,중견기업부,1368,9,0.66,1353,1369,1344,25315,0.3,274.0,20000000,274.0,100.0
20250508,100660,서암기계공업,KOSDAQ,중견기업부,3550,5,0.14,3540,3570,3530,11722,0.4,447.0,12600000,465.0,96.1
20250508,007860,서연,KOSPI,,7380,150,2.07,7180,7380,7180,52499,3.8,1733.0,23479844,1993.0,87.0
20250508,200880,서연이화,KOSPI,,11760,40,0.34,11630,11840,11630,67677,7.9,3179.0,27028437,3730.0,85.2
20250508,019770,서연탑메탈,KOSDAQ,우량기업부,3655,0,0.0,3670,3675,3645,18998,0.7,426.0,11650000,445.0,95.7
20250508,017390,서울가스,KOSPI,,51500,300,0.59,51200,51600,51100,2706,1.4,2575.0,5000000,2575.0,100.0
20250508,043710,서울리거,KOSDAQ,중견기업부,690,18,2.68,700,700,677,29297,0.2,597.0,86562510,608.0,98.2
20250508,092190,서울바이오시스,KOSDAQ,중견기업부,3325,-15,-0.45,3340,3390,3315,12661,0.4,1525.0,45868383,1571.0,97.1
20250508,046890,서울반도체,KOSDAQ GLOBAL,중견기업부,6850,180,2.7,6680,6850,6680,142345,9.7,3994.0,58305400,3994.0,100.0
20250508,031210,서울보증보험,KOSPI,,36250,550,1.54,35850,36500,35500,155840,56.2,25310.0,69821598,26113.0,96.9
20250508,004410,서울식품,KOSPI,,165,1,0.61,164,166,161,3187025,5.2,618.0,374755559,678.0,91.2
20250508,063170,서울옥션,KOSDAQ,중견기업부,8960,-230,-2.5,8920,9100,8680,1428045,126.6,1593.0,17774267,1633.0,97.6
