기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20250814,060310,3S,KOSDAQ,벤처기업부,1865,-11,-0.59,1876,1888,1865,110741,2.1,990.0,53059040
20250814,095570,AJ네트웍스,KOSPI,,4225,-15,-0.35,4225,4250,4190,136082,5.7,1912.0,45252759
20250814,006840,AK홀딩스,KOSPI,,11470,-240,-2.05,11730,11750,11420,7867,0.9,1519.0,13247561
20250814,054620,APS,KOSDAQ,중견기업부,4830,10,0.21,4840,4840,4765,12044,0.6,961.0,19894221
20250814,265520,AP시스템,KOSDAQ,우량기업부,18770,-340,-1.78,19110,19120,18660,238958,45.0,2868.0,15281421
20250814,211270,AP위성,KOSDAQ,우량기업부,12200,90,0.74,12240,12300,12070,17236,2.1,1840.0,15082304
20250814,109960,AP헬스케어,KOSDAQ,투자주의환기종목(소속부없음),408,-45,-9.93,440,461,407,6690797,28.6,901.0,220789269
20250814,027410,BGF,KOSPI,,3910,0,0.0,3910,3955,3900,74671,2.9,3743.0,95716791
20250814,282330,BGF리테일,KOSPI,,119000,-200,-0.17,119700,119900,117800,37432,44.4,20568.0,17283906
20250814,126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,3135,-85,-2.64,3230,3230,3100,84863,2.7,1968.0,62766899
20250814,138930,BNK금융지주,KOSPI,,14650,10,0.07,14600,14940,14600,869561,128.2,46643.0,318383519
20250814,001460,BYC,KOSPI,,37500,-350,-0.92,38500,38600,37000,30862,11.5,2342.0,6246150
20250814,083790,CG인바이츠,KOSDAQ,벤처기업부,1814,14,0.78,1800,1833,1779,249080,4.5,1395.0,76894182
20250814,001040,CJ,KOSPI,,144500,-16100,-10.02,159600,161500,142600,403525,605.2,42161.0,29176998
20250814,079160,CJ CGV,KOSPI,,4710,-10,-0.21,4750,4775,4705,155277,7.3,7799.0,165580776
20250814,035760,CJ ENM,KOSDAQ GLOBAL,중견기업부,72600,-200,-0.27,72900,74100,72100,52499,38.3,15921.0,21929154
20250814,311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,9950,50,0.51,9810,10180,9810,30107,3.0,1300.0,13065462
20250814,00104K,CJ4우(전환),KOSPI,,125500,-9900,-7.31,135400,136000,122400,15593,19.9,5304.0,4226512
20250814,000120,CJ대한통운,KOSPI,,83100,-300,-0.36,83700,83900,82700,69678,58.0,18957.0,22812344
20250814,011150,CJ씨푸드,KOSPI,,2920,15,0.52,2895,2925,2895,132184,3.8,1049.0,35930773
20250814,097950,CJ제일제당,KOSPI,,236000,3000,1.29,234500,236500,233000,70392,165.4,35528.0,15054186
20250814,051500,CJ프레시웨이,KOSDAQ,우량기업부,29900,-600,-1.97,30500,30500,29850,12416,3.7,3550.0,11871586
20250814,058820,CMG제약,KOSDAQ,중견기업부,1975,-6,-0.3,1967,2005,1967,336560,6.7,2908.0,147220822
20250814,056730,CNT85,KOSDAQ,벤처기업부,775,15,1.97,760,786,752,3009,0.0,574.0,74111186
20250814,000480,CR홀딩스,KOSPI,,5240,10,0.19,5200,5250,5200,5938,0.3,2457.0,46890490
20250814,065770,CS,KOSDAQ,벤처기업부,1020,26,2.62,994,1092,994,251522,2.6,198.0,19411130
20250814,083660,CSA 코스믹,KOSDAQ,중견기업부,1970,34,1.76,1920,2005,1822,705694,13.5,1207.0,61247181
20250814,000590,CS홀딩스,KOSPI,,84800,-1600,-1.85,86100,86500,84500,168,0.1,979.0,1154482
20250814,012030,DB,KOSPI,,1337,-12,-0.89,1349,1357,1331,189607,2.5,2690.0,201173933
20250814,005830,DB손해보험,KOSPI,,128900,1000,0.78,130000,130400,127300,198285,256.0,91261.0,70800000
20250814,016610,DB증권,KOSPI,,8910,10,0.11,8930,8980,8840,38047,3.4,3782.0,42446389
20250814,000990,DB하이텍,KOSPI,,46600,-700,-1.48,47150,47200,46350,117061,54.6,20690.0,44398588
20250814,060900,DGP,KOSDAQ,중견기업부,1075,6,0.56,1068,1089,1051,15550,0.2,281.0,26124029
20250814,000300,DH오토넥스,KOSPI,,1984,0,0.0,0,0,0,0,0.0,1629.0,82129188
20250814,290120,DH오토리드,KOSDAQ,우량기업부,2400,-60,-2.44,2465,2465,2350,28210,0.7,380.0,15824249
20250814,025440,DH오토웨어,KOSDAQ,중견기업부,798,-7,-0.87,819,825,796,123988,1.0,389.0,48781224
20250814,001530,DI동일,KOSPI,,43150,500,1.17,42500,43700,42500,61445,26.4,8507.0,19715567
20250814,015590,DKME,KOSPI,,515,0,0.0,0,0,0,0,0.0,1220.0,236981544
20250814,000210,DL,KOSPI,,38850,-100,-0.26,39500,39850,38550,93199,36.2,8141.0,20955884
20250814,375500,DL이앤씨,KOSPI,,42600,1200,2.9,41250,42600,40850,299029,125.2,16483.0,38693623
20250814,37550L,DL이앤씨2우(전환),KOSPI,,29750,750,2.59,28800,29900,28300,2624,0.8,628.0,2111951
20250814,007340,DN오토모티브,KOSPI,,24850,-700,-2.74,25500,25550,24800,103429,25.9,14540.0,58510865
20250814,004840,DRB동일,KOSPI,,5230,10,0.19,5220,5270,5220,2267,0.1,1042.0,19930000
20250814,241520,DSC인베스트먼트,KOSDAQ,중견기업부,6240,-10,-0.16,6180,6370,6180,139416,8.7,1685.0,27000000
20250814,155660,DSR,KOSPI,,3780,-30,-0.79,3820,3820,3765,16895,0.6,605.0,16000000
20250814,069730,DSR제강,KOSPI,,3515,-10,-0.28,3525,3555,3500,23596,0.8,506.0,14400000
20250814,017860,DS단석,KOSPI,,24400,50,0.21,24450,24800,24000,59184,14.4,4291.0,17584212
20250814,092780,DYP,KOSPI,,4145,-10,-0.24,4165,4200,4130,5705,0.2,546.0,13168460
20250814,017940,E1,KOSPI,,79400,-1100,-1.37,80500,81400,78800,13151,10.5,5447.0,6860000
20250814,418620,E8,KOSDAQ,기술성장기업부,3870,-25,-0.64,3850,3980,3845,33003,1.3,497.0,12850477
20250814,037370,EG,KOSDAQ,벤처기업부,5950,-100,-1.65,6020,6040,5900,8124,0.5,513.0,8624972
20250814,365550,ESR켄달스퀘어리츠,KOSPI,,4340,-90,-2.03,4435,4455,4260,3026056,130.4,10680.0,246089000
