기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수
20250415,060310,3S,KOSDAQ,중견기업부,2210,-40,-1.78,2230,2260,2190,550751,12.2,1173.0,53059040,1594.0,73.6
20250415,095570,AJ네트웍스,KOSPI,,3795,20,0.53,3790,3815,3750,38198,1.4,1717.0,45252759,2308.0,74.4
20250415,006840,AK홀딩스,KOSPI,,10250,70,0.69,10120,10480,10120,946,0.1,1358.0,13247561,2053.0,66.1
20250415,054620,APS,KOSDAQ,중견기업부,6000,-20,-0.33,6020,6120,5850,28991,1.7,1194.0,19894221,1639.0,72.8
20250415,265520,AP시스템,KOSDAQ,우량기업부,16780,170,1.02,16660,16990,16570,24541,4.1,2564.0,15281421,5387.0,47.6
20250415,211270,AP위성,KOSDAQ,벤처기업부,11720,330,2.9,11400,11870,11300,87310,10.2,1768.0,15082304,3062.0,57.7
20250415,109960,AP헬스케어,KOSDAQ,투자주의환기종목(소속부없음),390,3,0.78,401,401,379,174104,0.7,783.0,200789269,1285.0,60.9
20250415,027410,BGF,KOSPI,,3435,30,0.88,3410,3450,3395,48796,1.7,3288.0,95716791,3613.0,91.0
20250415,282330,BGF리테일,KOSPI,,104600,-1300,-1.23,105500,105900,103800,26891,28.1,18079.0,17283906,23541.0,76.8
20250415,126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,2600,20,0.78,2555,2615,2555,16362,0.4,1632.0,62766899,2608.0,62.6
20250415,138930,BNK금융지주,KOSPI,,9970,170,1.73,9790,10000,9790,765828,75.8,31743.0,318383519,38965.0,81.5
20250415,001460,BYC,KOSPI,,26350,100,0.38,26250,26700,26200,831,0.2,1646.0,6246150,3057.0,53.8
20250415,013720,CBI,KOSDAQ,중견기업부,970,187,23.88,785,993,785,2804220,25.6,496.0,51128143,765.0,64.8
20250415,083790,CG인바이츠,KOSDAQ,벤처기업부,2030,5,0.25,2030,2050,1988,105010,2.1,1561.0,76894182,2488.0,62.7
20250415,001040,CJ,KOSPI,,115400,-800,-0.69,115400,120100,114500,184797,216.5,33670.0,29176998,44553.0,75.6
20250415,079160,CJ CGV,KOSPI,,4455,5,0.11,4415,4455,4400,84674,3.8,7377.0,165580269,11922.0,61.9
20250415,035760,CJ ENM,KOSDAQ GLOBAL,중견기업부,56600,200,0.35,56200,56700,55800,49850,28.0,12412.0,21929154,19977.0,62.1
20250415,311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,10050,-40,-0.4,10110,10110,9920,8775,0.9,1313.0,13065462,1531.0,85.8
20250415,00104K,CJ4우(전환),KOSPI,,93100,700,0.76,90800,94500,90800,9162,8.6,3935.0,4226512,4412.0,89.2
20250415,000120,CJ대한통운,KOSPI,,82600,500,0.61,82200,83300,81700,43652,36.1,18843.0,22812344,29633.0,63.6
20250415,011150,CJ씨푸드,KOSPI,,3200,25,0.79,3175,3225,3140,410468,13.1,1150.0,35930773,2271.0,50.6
20250415,097950,CJ제일제당,KOSPI,,237500,5500,2.37,232000,238000,232000,31918,75.5,35754.0,15054186,59916.0,59.7
20250415,051500,CJ프레시웨이,KOSDAQ,우량기업부,23000,1000,4.55,22100,23100,21400,40056,9.1,2730.0,11871586,2855.0,95.6
20250415,058820,CMG제약,KOSDAQ,우량기업부,2070,-35,-1.66,2105,2120,1999,946507,19.4,2875.0,138892244,3368.0,85.4
20250415,056730,CNT85,KOSDAQ,중견기업부,670,1,0.15,673,673,666,6391,0.0,497.0,74111186,913.0,54.4
20250415,000480,CR홀딩스,KOSPI,,5000,15,0.3,4975,5200,4975,15831,0.8,2345.0,46890490,2949.0,79.5
20250415,065770,CS,KOSDAQ,벤처기업부,2005,38,1.93,1967,2085,1931,697410,13.9,389.0,19411130,507.0,76.7
20250415,083660,CSA 코스믹,KOSDAQ,중견기업부,843,16,1.93,820,843,791,350081,2.9,516.0,61247181,827.0,62.4
20250415,000590,CS홀딩스,KOSPI,,72200,500,0.7,71600,72200,71600,639,0.5,834.0,1154482,870.0,95.9
20250415,012030,DB,KOSPI,,1249,1,0.08,1248,1251,1215,120767,1.5,2513.0,201173933,3291.0,76.4
