기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,비중
20250804,307930,컴퍼니케이,KOSDAQ,중견기업부,7400,310,4.37,7230,9190,6700,15485701,1263.4,1155.0,15610000,1155.0,100.0,109.4
20250804,408900,스튜디오미르,KOSDAQ,중견기업부,4520,570,14.43,4015,4865,4005,25007685,1159.9,1479.0,32729532,1718.0,86.1,78.4
20250804,468530,프로티나,KOSDAQ,기술성장기업부,17110,3310,23.99,13650,17940,13560,8024762,1326.9,1845.0,10784365,1893.0,97.5,71.9
20250804,033340,좋은사람들,KOSDAQ,중견기업부,1957,118,6.42,1828,2025,1779,38269943,734.7,1897.0,96950558,1897.0,100.0,38.7
20250804,474170,루미르,KOSDAQ,기술성장기업부,8250,680,8.98,7480,8960,7130,6250763,527.7,1463.0,17727696,1463.0,100.0,36.1
20250804,362320,청담글로벌,KOSDAQ,중견기업부,10050,860,9.36,9810,11280,9760,6821629,717.6,2116.0,21051290,2160.0,98.0,33.9
20250804,402490,그린리소스,KOSDAQ,기술성장기업부,16560,2810,20.44,13750,17750,13510,2327540,385.2,1371.0,8279444,1371.0,100.0,28.1
20250804,038880,아이에이,KOSDAQ,중견기업부,295,31,11.74,266,322,263,85872691,255.7,1108.0,375721175,1108.0,100.0,23.1
20250804,380550,뉴로핏,KOSDAQ,기술성장기업부,15010,530,3.66,14320,15660,14210,2264945,341.0,1723.0,11476035,2330.0,73.9,19.8
20250804,097230,HJ중공업,KOSPI,,10200,1480,16.97,9110,10950,8920,15969398,1625.8,8494.0,83274281,8494.0,100.0,19.1
20250804,347700,스피어,KOSDAQ,기술성장기업부,14170,0,0.0,17280,17280,13700,6770413,1024.7,5559.0,39228419,5559.0,100.0,18.4
20250804,008970,동양철관,KOSPI,,1658,82,5.2,1551,1722,1551,26494152,440.9,2650.0,159801815,3276.0,80.9,16.6
20250804,107600,새빗켐,KOSDAQ,벤처기업부,23850,2400,11.19,21900,25400,21700,890464,212.8,1343.0,5630054,1343.0,100.0,15.8
20250804,014970,삼륭물산,KOSDAQ,중견기업부,8410,470,5.92,8100,9230,8070,2141758,188.6,1272.0,15125000,1720.0,74.0,14.8
20250804,102370,케이옥션,KOSDAQ,기술성장기업부,5010,390,8.44,4630,5200,4630,3680233,184.9,1364.0,27229210,1465.0,93.1,13.6
20250804,030530,원익홀딩스,KOSDAQ,중견기업부,6350,660,11.6,5820,6690,5780,10148445,650.5,4905.0,77237981,4905.0,100.0,13.3
20250804,333430,일승,KOSDAQ,중견기업부,4705,0,0.0,4655,4820,4510,4095107,192.2,1446.0,30726747,1518.0,95.3,13.3
20250804,331740,아우토크립트,KOSDAQ,기술성장기업부,19030,670,3.65,18530,20400,18480,1228020,240.7,1832.0,9629132,2952.0,62.1,13.1
20250804,047560,이스트소프트,KOSDAQ,중견기업부,21350,800,3.89,20400,23850,20100,1412564,317.1,2493.0,11675192,2879.0,86.6,12.7
20250804,214270,FSN,KOSDAQ,중견기업부,3100,435,16.32,2665,3170,2635,5285469,159.5,1315.0,42423440,1462.0,89.9,12.1
20250804,201490,미투온,KOSDAQ,중견기업부,5700,130,2.33,5450,5930,5400,3629160,207.4,1732.0,30390092,2212.0,78.3,12.0
