기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가,신고가_비율
20250221,003230,삼양식품,KOSPI,,906000,26000,2.95,880000,919000,870000,72153,652.2,68249.0,7533015,68249.0,True,100.0
20250221,388720,유일로보틱스,KOSDAQ,벤처기업부,71100,4400,6.6,68000,72600,68000,494984,350.9,8143.0,11453434,8143.0,True,100.0
20250221,003570,SNT다이내믹스,KOSPI,,31850,2400,8.15,29000,31900,28600,294076,90.6,10591.0,33252697,10591.0,True,100.0
20250221,071050,한국금융지주,KOSPI,,81600,200,0.25,81400,82900,81300,122598,100.9,45472.0,55725992,45472.0,True,100.0
20250221,036530,SNT홀딩스,KOSPI,,31400,1150,3.8,30200,31450,29900,29858,9.2,5119.0,16303886,5119.0,True,100.0
20250221,082270,젬백스,KOSDAQ,벤처기업부,32500,1700,5.52,30300,33700,30250,928175,305.7,12998.0,39994174,12998.0,True,100.0
20250221,030610,교보증권,KOSPI,,6560,200,3.14,6360,6650,6360,238905,15.6,7476.0,113962961,7476.0,True,100.0
20250221,139480,이마트,KOSPI,,78100,3000,3.99,75100,78500,74600,464248,360.3,21771.0,27875819,21771.0,True,100.0
20250221,079550,LIG넥스원,KOSPI,,312500,6500,2.12,303500,314000,297000,372725,1152.6,68750.0,22000000,68750.0,True,100.0
20250221,012450,한화에어로스페이스,KOSPI,,660000,15000,2.33,635000,668000,615000,562770,3667.8,300836.0,45581161,300836.0,True,100.0
20250221,096770,SK이노베이션,KOSPI,,132400,1000,0.76,132500,133400,130900,243030,321.6,199970.0,151034776,199970.0,True,100.0
20250221,000150,두산,KOSPI,,376000,33500,9.78,348500,380000,345500,232910,851.2,62130.0,16523835,62130.0,True,100.0
20250221,064350,현대로템,KOSPI,,91000,4000,4.6,86200,94500,83600,4015507,3680.6,99319.0,109142293,99319.0,True,100.0
20250221,069960,현대백화점,KOSPI,,57600,1600,2.86,56300,58000,55600,157036,89.7,13034.0,22628813,13034.0,True,100.0
20250221,012630,HDC,KOSPI,,13450,170,1.28,13180,13470,13180,120245,16.1,8035.0,59741721,8035.0,True,100.0
20250221,005440,현대지에프홀딩스,KOSPI,,5480,260,4.98,5310,5500,5240,332358,17.9,8544.0,155904301,8544.0,True,100.0
