기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,비중
20250715,331740,아우토크립트,KOSDAQ,기술성장기업부,30850,8850,40.23,31750,37000,29300,20875363,7039.4,2952.0,9569672,2952.0,100.0,238.5
20250715,463020,뉴엔AI,KOSDAQ,기술성장기업부,44450,2100,4.96,42300,48950,40550,6694773,3048.1,3947.0,8879200,4005.0,98.6,77.2
20250715,064260,다날,KOSDAQ,중견기업부,8520,300,3.65,8250,9200,7910,24296687,2094.7,5874.0,68949040,6695.0,87.7,35.7
20250715,060720,KH바텍,KOSDAQ,벤처기업부,13020,1100,9.23,11930,14190,11780,7601680,1005.6,3083.0,23677442,3083.0,100.0,32.6
20250715,441270,파인엠텍,KOSDAQ,중견기업부,9280,2140,29.97,7240,9280,7010,10854098,965.7,3432.0,36987901,3432.0,100.0,28.1
20250715,114190,강원에너지,KOSDAQ,우량기업부,12910,210,1.65,13010,15070,12700,5096230,712.8,3372.0,26123038,3372.0,100.0,21.1
20250715,199820,제일일렉트릭,KOSDAQ,우량기업부,11430,830,7.83,11230,11850,11090,3374344,387.5,2540.0,22220000,2540.0,100.0,15.3
20250715,108490,로보티즈,KOSDAQ,기술성장기업부,89600,16400,22.4,73900,94900,72000,2068505,1776.6,11840.0,13213934,11840.0,100.0,15.0
20250715,061970,LB세미콘,KOSDAQ,중견기업부,4015,460,12.94,3560,4310,3560,8234941,334.5,2332.0,58083006,2332.0,100.0,14.3
20250715,205500,넥써쓰,KOSDAQ,중견기업부,3880,490,14.45,3380,4150,3215,7470608,286.6,2295.0,59154032,2692.0,85.3,12.5
