기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20250310,060310,3S,KOSDAQ,중견기업부,1826,-50,-2.67,1880,1895,1815,246304,4.5,969.0,53059040
20250310,095570,AJ네트웍스,KOSPI,,3940,30,0.77,3920,4040,3880,170803,6.7,1783.0,45252759
20250310,006840,AK홀딩스,KOSPI,,10480,-60,-0.57,10540,10630,10480,4799,0.5,1388.0,13247561
20250310,054620,APS,KOSDAQ,중견기업부,6150,50,0.82,6100,6210,6050,25373,1.6,1223.0,19894221
20250310,265520,AP시스템,KOSDAQ,우량기업부,16900,-160,-0.94,17020,17120,16880,37687,6.4,2583.0,15281421
20250310,211270,AP위성,KOSDAQ,벤처기업부,13080,-80,-0.61,13160,13530,12960,100275,13.2,1973.0,15082304
20250310,109960,AP헬스케어,KOSDAQ,중견기업부,480,0,0.0,480,483,474,419387,2.0,964.0,200789269
20250310,027410,BGF,KOSPI,,3445,45,1.32,3420,3445,3365,86644,2.9,3297.0,95716791
20250310,282330,BGF리테일,KOSPI,,103600,400,0.39,103200,104300,102300,38025,39.5,17906.0,17283906
20250310,126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,2825,-50,-1.74,2840,2870,2825,14636,0.4,1773.0,62766899
20250310,138930,BNK금융지주,KOSPI,,10340,-160,-1.52,10440,10500,10100,938902,96.3,32921.0,318383519
20250310,001460,BYC,KOSPI,,27050,50,0.19,27050,27300,26650,1602,0.4,1690.0,6246150
20250310,013720,CBI,KOSDAQ,중견기업부,695,14,2.06,681,702,670,196750,1.4,310.0,44628136
20250310,083790,CG인바이츠,KOSDAQ,벤처기업부,2295,-105,-4.38,2410,2410,2295,109339,2.5,1765.0,76894182
20250310,001040,CJ,KOSPI,,107700,5200,5.07,102500,111200,102500,86103,92.5,31424.0,29176998
20250310,079160,CJ CGV,KOSPI,,5030,-100,-1.95,5080,5120,5000,360042,18.1,8329.0,165580249
20250310,035760,CJ ENM,KOSDAQ GLOBAL,중견기업부,57600,-2000,-3.36,59100,59100,57100,61604,35.7,12631.0,21929154
20250310,311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,11140,-320,-2.79,11440,11610,11020,96078,10.8,1455.0,13065462
20250310,00104K,CJ4우(전환),KOSPI,,86000,2700,3.24,83000,86700,83000,9984,8.5,3635.0,4226512
20250310,000120,CJ대한통운,KOSPI,,96800,1900,2.0,94400,98200,94400,69807,67.7,22082.0,22812344
20250310,011150,CJ씨푸드,KOSPI,,3010,-25,-0.82,3035,3070,3005,267043,8.1,1082.0,35930773
20250310,097950,CJ제일제당,KOSPI,,259000,-3000,-1.15,260000,265000,257500,62437,162.3,38990.0,15054186
20250310,051500,CJ프레시웨이,KOSDAQ,우량기업부,21500,-850,-3.8,22600,22600,21500,34264,7.5,2552.0,11871586
20250310,058820,CMG제약,KOSDAQ,우량기업부,1886,-34,-1.77,1916,1918,1880,272219,5.1,2620.0,138892244
20250310,056730,CNT85,KOSDAQ,중견기업부,672,8,1.2,662,680,662,10055,0.1,498.0,74111186
20250310,000480,CR홀딩스,KOSPI,,5410,30,0.56,5380,5450,5380,1731,0.1,2537.0,46890490
20250310,065770,CS,KOSDAQ,벤처기업부,1795,-39,-2.13,1780,1825,1701,246074,4.4,348.0,19411130
20250310,083660,CSA 코스믹,KOSDAQ,중견기업부,666,-6,-0.89,677,677,660,67353,0.4,408.0,61247181
20250310,000590,CS홀딩스,KOSPI,,72400,-500,-0.69,72200,72400,71500,578,0.4,836.0,1154482
20250310,012030,DB,KOSPI,,1278,15,1.19,1263,1292,1246,368773,4.7,2571.0,201173933
20250310,016610,DB금융투자,KOSPI,,5790,40,0.7,5740,5790,5700,37435,2.2,2458.0,42446389
20250310,005830,DB손해보험,KOSPI,,93600,2100,2.3,91600,94200,91200,186867,174.3,66269.0,70800000
20250310,000990,DB하이텍,KOSPI,,45400,3800,9.13,41400,47150,41350,718180,325.1,20157.0,44398588
20250310,139130,DGB금융지주,KOSPI,,8910,60,0.68,8830,8940,8760,310316,27.6,15071.0,169145833
20250310,060900,DGP,KOSDAQ,중견기업부,879,-21,-2.33,900,900,872,65668,0.6,222.0,25258229
20250310,000300,DH오토넥스,KOSPI,,1984,0,0.0,0,0,0,0,0.0,1616.0,81451691
20250310,290120,DH오토리드,KOSDAQ,우량기업부,2325,-50,-2.11,2375,2375,2325,10274,0.2,361.0,15515138
20250310,025440,DH오토웨어,KOSDAQ,중견기업부,717,0,0.0,729,730,701,400425,2.8,350.0,48781224
20250310,001530,DI동일,KOSPI,,46350,600,1.31,45750,46500,45250,26975,12.4,8978.0,19370819
20250310,000210,DL,KOSPI,,36000,300,0.84,35950,36250,34950,52748,18.8,7544.0,20955884
20250310,375500,DL이앤씨,KOSPI,,44900,800,1.81,45650,46950,44200,394895,178.7,17373.0,38693623
20250310,37550L,DL이앤씨2우(전환),KOSPI,,26900,300,1.13,26800,27650,26650,11388,3.1,568.0,2111951
20250310,068790,DMS,KOSDAQ,우량기업부,6240,160,2.63,6070,6390,6050,100294,6.2,1497.0,23987123
20250310,007340,DN오토모티브,KOSPI,,21850,300,1.39,21550,22150,21400,54386,11.9,12785.0,58510865
20250310,004840,DRB동일,KOSPI,,4285,-15,-0.35,4245,4285,4245,2572,0.1,854.0,19930000
20250310,241520,DSC인베스트먼트,KOSDAQ,중견기업부,5050,110,2.23,5000,5240,4905,2740305,139.5,1389.0,27496125
20250310,155660,DSR,KOSPI,,4010,10,0.25,3975,4020,3965,21180,0.8,642.0,16000000
20250310,069730,DSR제강,KOSPI,,3625,5,0.14,3665,3770,3590,105502,3.9,522.0,14400000
20250310,017860,DS단석,KOSPI,,27200,400,1.49,27100,27600,26950,186883,50.9,4783.0,17584212
20250310,180400,DXVX,KOSDAQ,중견기업부,1640,-16,-0.97,1737,1739,1640,299205,5.0,807.0,49219432
20250310,017940,E1,KOSPI,,61000,800,1.33,60500,61400,59900,11507,7.0,4185.0,6860000
20250310,037370,EG,KOSDAQ,중견기업부,6250,260,4.34,5920,6280,5900,47675,3.0,539.0,8624972
20250310,365550,ESR켄달스퀘어리츠,KOSPI,,4925,35,0.72,4965,4970,4800,118672,5.8,10495.0,213089000
20250310,050120,ES큐브,KOSDAQ,중견기업부,2140,15,0.71,2105,2145,2055,12436,0.3,290.0,13564086
20250310,383220,F&F,KOSPI,,71500,-1400,-1.92,72400,73000,70500,46297,33.1,27390.0,38307075
20250310,007700,F&F홀딩스,KOSPI,,13150,140,1.08,13010,13790,13010,14292,1.9,5144.0,39114367
20250310,214270,FSN,KOSDAQ,중견기업부,1220,80,7.02,1162,1269,1140,345217,4.2,406.0,33250463
20250310,130500,GH신소재,KOSDAQ,우량기업부,2610,0,0.0,2580,2655,2555,34672,0.9,380.0,14545052
20250310,114090,GKL,KOSPI,,11210,-100,-0.88,11290,11290,11150,84247,9.4,6934.0,61855670
20250310,900290,GRT,KOSDAQ,외국기업(소속부없음),3685,-35,-0.94,3775,3790,3595,281280,10.4,2979.0,80850000
20250310,078930,GS,KOSPI,,37250,650,1.78,36350,37350,36350,304493,112.9,34611.0,92915378
20250310,083450,GST,KOSDAQ,우량기업부,20850,950,4.77,19910,21200,19800,607318,125.8,3843.0,18430000
20250310,006360,GS건설,KOSPI,,18610,220,1.2,18400,18860,18110,329199,61.1,15927.0,85581490
20250310,001250,GS글로벌,KOSPI,,2735,15,0.55,2715,2765,2685,721283,19.7,2257.0,82533764
20250310,007070,GS리테일,KOSPI,,15200,270,1.81,14930,15290,14840,151831,23.0,12708.0,83607415
20250310,499790,GS피앤엘,KOSPI,,20000,0,0.0,20100,20250,19780,45494,9.1,3966.0,19830841
20250310,297890,HB솔루션,KOSDAQ,우량기업부,2735,-20,-0.73,2760,2785,2710,211843,5.8,2000.0,73140914
20250310,440290,HB인베스트먼트,KOSDAQ,중견기업부,1772,-15,-0.84,1769,1788,1760,43427,0.8,480.0,27107010
20250310,078150,HB테크놀러지,KOSDAQ,우량기업부,2410,5,0.21,2445,2500,2410,931790,22.8,2234.0,92715916
20250310,012630,HDC,KOSPI,,14390,350,2.49,13990,14430,13980,151678,21.8,8597.0,59741721
20250310,039570,HDC랩스,KOSPI,,8800,0,0.0,8850,8850,8730,15661,1.4,2284.0,25957601
20250310,089470,HDC현대EP,KOSPI,,3555,-20,-0.56,3585,3585,3515,19934,0.7,1134.0,31900000
20250310,294870,HDC현대산업개발,KOSPI,,21300,650,3.15,20550,21600,20500,579811,122.6,14038.0,65907330
20250310,009540,HD한국조선해양,KOSPI,,233000,-500,-0.21,233500,239500,228000,295671,691.4,164901.0,70773116
20250310,267250,HD현대,KOSPI,,76400,2500,3.38,74000,76800,73900,158784,120.9,60351.0,78993085
20250310,267270,HD현대건설기계,KOSPI,,76800,-1600,-2.04,79600,80500,76800,203109,157.9,14059.0,18305586
20250310,443060,HD현대마린솔루션,KOSPI,,145000,1100,0.76,142400,148100,138500,194857,280.8,65002.0,44829210
20250310,071970,HD현대마린엔진,KOSPI,,29750,3900,15.09,27200,30850,26900,9804881,2885.2,10092.0,33921495
20250310,010620,HD현대미포,KOSPI,,108400,-1900,-1.72,109200,110600,106600,230725,250.6,43297.0,39942149
20250310,322000,HD현대에너지솔루션,KOSPI,,26200,-900,-3.32,26950,27150,25500,132424,34.8,2934.0,11200000
20250310,042670,HD현대인프라코어,KOSPI,,9640,80,0.84,9870,9940,9430,5261598,509.6,18572.0,192655867
20250310,267260,HD현대일렉트릭,KOSPI,,342000,4500,1.33,332500,348000,328000,183723,628.5,123281.0,36047135
20250310,329180,HD현대중공업,KOSPI,,308500,-7000,-2.22,313000,315000,301000,233677,720.7,273865.0,88773116
20250310,097230,HJ중공업,KOSPI,,8850,50,0.57,8800,9290,8360,5448648,483.9,7370.0,83274281
20250310,195940,HK이노엔,KOSDAQ GLOBAL,중견기업부,36150,-250,-0.69,36400,36850,36100,90207,32.8,10241.0,28329891
20250310,014790,HL D&I,KOSPI,,2280,10,0.44,2270,2305,2240,49579,1.1,863.0,37858601
20250310,028300,HLB,KOSDAQ,중견기업부,79800,-6000,-6.99,85800,85800,67600,2982122,2393.6,104847.0,131387433
20250310,003580,HLB글로벌,KOSPI,,3960,-170,-4.12,4165,4165,3400,302923,11.8,1989.0,50218121
20250310,278650,HLB바이오스텝,KOSDAQ,우량기업부,2195,-125,-5.39,2375,2375,1910,633876,13.9,1904.0,86730589
20250310,067630,HLB생명과학,KOSDAQ,중견기업부,9720,-770,-7.34,10600,10600,8130,1432816,141.0,11848.0,121889448
20250310,024850,HLB이노베이션,KOSDAQ,중견기업부,2470,-145,-5.54,2615,2635,2080,1114774,27.6,3564.0,144304123
20250310,187420,HLB제넥스,KOSDAQ,기술성장기업부,4010,-90,-2.2,4050,4090,3825,192545,7.6,1168.0,29135882
20250310,047920,HLB제약,KOSDAQ,기술성장기업부,26650,-2600,-8.89,29250,29250,20500,1294154,350.4,8479.0,31814994
20250310,115450,HLB테라퓨틱스,KOSDAQ,중견기업부,8800,-1130,-11.38,9930,9930,7060,1646210,149.2,7404.0,84132321
20250310,046210,HLB파나진,KOSDAQ,벤처기업부,2620,-190,-6.76,2810,2820,1987,439367,11.5,1144.0,43657588
20250310,204320,HL만도,KOSPI,,42250,350,0.84,41650,42350,40900,165802,69.3,19839.0,46957120
20250310,060980,HL홀딩스,KOSPI,,37050,450,1.23,36600,37150,36600,11829,4.4,3484.0,9403877
20250310,011200,HMM,KOSPI,,22150,500,2.31,21750,22650,21150,4804741,1062.7,195150.0,881039496
20250310,403870,HPSP,KOSDAQ GLOBAL,중견기업부,25600,-450,-1.73,26000,26300,25550,367874,94.9,21376.0,83498568
20250310,036640,HRS,KOSDAQ,우량기업부,4980,-10,-0.2,4980,5010,4965,14008,0.7,814.0,16354800
20250310,035000,HS애드,KOSPI,,7340,40,0.55,7310,7350,7270,121257,8.8,1216.0,16567409
20250310,002460,HS화성,KOSPI,,9390,40,0.43,9350,9450,9340,1773,0.2,953.0,10150000
20250310,487570,HS효성,KOSPI,,30550,-200,-0.65,30600,30900,30250,4321,1.3,1138.0,3725927
20250310,298050,HS효성첨단소재,KOSPI,,189700,-5000,-2.57,190600,192700,188000,14887,28.2,8498.0,4479948
20250310,003560,IHQ,KOSPI,,10760,0,0.0,0,0,0,0,0.0,647.0,6010174
20250310,095340,ISC,KOSDAQ,우량기업부,61200,-2000,-3.16,62400,63800,60800,144804,89.3,12973.0,21197058
20250310,175330,JB금융지주,KOSPI,,16660,-270,-1.59,16830,16950,16400,414612,69.2,32305.0,193907972
20250310,950170,JTC,KOSDAQ,외국기업(소속부없음),5100,10,0.2,5120,5170,5000,46500,2.4,2639.0,51746348
20250310,234080,JW생명과학,KOSPI,,10550,60,0.57,10460,10605,10420,22203,2.3,1671.0,15834554
20250310,067290,JW신약,KOSDAQ,중견기업부,1422,1,0.07,1440,1442,1407,37157,0.5,759.0,53376126
20250310,001060,JW중외제약,KOSPI,,21950,0,0.0,22000,22050,21550,62718,13.7,5111.0,23285930
20250310,096760,JW홀딩스,KOSPI,,3070,0,0.0,3040,3085,3040,92848,2.9,2269.0,73924942
