기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,비중
20250521,476040,오가노이드사이언스,KOSDAQ,기술성장기업부,48150,7650,18.89,42300,52000,41350,8896970,4266.0,3133.0,6505950,3133.0,100.0,136.2
20250521,459510,나우로보틱스,KOSDAQ,기술성장기업부,28500,2750,10.68,25250,30750,25200,15364425,4402.9,3576.0,12547732,3576.0,100.0,123.1
20250521,136480,하림,KOSDAQ,중견기업부,3385,15,0.45,3410,3665,3330,28373636,989.8,3595.0,106209702,4036.0,89.1,27.5
20250521,424870,이뮨온시아,KOSDAQ,기술성장기업부,7130,250,3.63,7200,7460,6760,16775760,1180.0,5205.0,73004309,5475.0,95.1,22.7
20250521,075580,세진중공업,KOSPI,,12030,2770,29.91,9680,12030,9600,13354919,1512.2,6839.0,56849456,6839.0,100.0,22.1
20250521,108490,로보티즈,KOSDAQ,기술성장기업부,55500,-6200,-10.05,61500,61500,55500,1459372,839.5,7333.0,13212660,8152.0,90.0,11.4
