기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,비중
20250618,462860,더즌,KOSDAQ,중견기업부,4995,675,15.63,4310,5590,4290,63241621,3121.8,3567.0,71413257,3567.0,100.0,87.5
20250618,376900,로킷헬스케어,KOSDAQ,기술성장기업부,14210,440,3.2,14850,16390,14170,11132946,1736.2,2191.0,15417639,2656.0,82.5,79.2
20250618,003280,흥아해운,KOSPI,,2290,10,0.44,2385,2520,2265,129001514,3081.7,5506.0,240424899,5506.0,100.0,56.0
20250618,032820,우리기술,KOSDAQ,벤처기업부,3850,250,6.94,3620,3895,3525,87227023,3287.3,6373.0,165530656,6373.0,100.0,51.6
20250618,053580,웹케시,KOSDAQ,우량기업부,21400,2480,13.11,19240,21900,19240,6502708,1376.1,2918.0,13636248,3007.0,97.0,47.2
20250618,096250,와이즈넛,KOSDAQ,기술성장기업부,18760,1010,5.69,17680,20200,17220,5865254,1117.3,2457.0,13096536,2521.0,97.5,45.5
20250618,024720,콜마홀딩스,KOSPI,,15950,3680,29.99,12250,15950,12150,9479432,1415.8,5470.0,34296259,5470.0,100.0,25.9
20250618,024060,흥구석유,KOSDAQ,중견기업부,19190,780,4.24,21000,21050,19020,3557941,703.5,2878.0,15000000,2878.0,100.0,24.4
20250618,094480,갤럭시아머니트리,KOSDAQ,중견기업부,14460,680,4.93,14240,15880,14110,9328206,1383.8,5673.0,39229838,5673.0,100.0,24.4
20250618,335890,비올,KOSDAQ,벤처기업부,12380,1180,10.54,12400,12400,12340,10276628,1270.9,7232.0,58419125,7232.0,100.0,17.6
20250618,004090,한국석유,KOSPI,,20300,1020,5.29,21500,21500,20000,2165964,448.5,2577.0,12694120,2577.0,100.0,17.4
20250618,060250,NHN KCP,KOSDAQ,우량기업부,10730,1590,17.4,9370,10860,9350,6851567,705.8,4309.0,40160611,4309.0,100.0,16.4
20250618,389140,포바이포,KOSDAQ,벤처기업부,18680,940,5.3,17740,19320,17480,1818356,337.7,2087.0,11169735,3167.0,65.9,16.2
20250618,304100,솔트룩스,KOSDAQ,기술성장기업부,50200,3650,7.84,46300,51400,45000,1922547,949.9,6090.0,12130568,6793.0,89.7,15.6
20250618,053300,한국정보인증,KOSDAQ,우량기업부,8420,110,1.32,8350,8690,8030,5303010,444.6,3574.0,42441361,3799.0,94.1,12.4
20250618,030520,한글과컴퓨터,KOSDAQ GLOBAL,우량기업부,34500,4250,14.05,29600,34600,29400,3096090,1014.9,8342.0,24179744,8342.0,100.0,12.2
20250618,064260,다날,KOSDAQ,중견기업부,6240,220,3.65,6080,6470,5800,7390759,455.1,4302.0,68949040,4309.0,99.8,10.6
20250618,234340,헥토파이낸셜,KOSDAQ,우량기업부,26250,950,3.75,26800,26800,24550,1002619,257.8,2481.0,9453000,2704.0,91.8,10.4
20250618,047560,이스트소프트,KOSDAQ,중견기업부,24200,2500,11.52,21800,24350,21500,1217411,283.0,2819.0,11646892,2819.0,100.0,10.0
