기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,비중
20250730,396300,세아메카닉스,KOSDAQ,우량기업부,4030,455,12.73,3530,4475,3530,28214093,1180.0,1068.0,26489500,1068.0,100.0,110.5
20250730,170030,현대공업,KOSDAQ,우량기업부,6830,550,8.76,6240,7200,6220,10692293,731.8,1048.0,15340000,1048.0,100.0,69.8
20250730,419050,삼기에너지솔루션즈,KOSDAQ,우량기업부,2320,534,29.9,1787,2320,1786,29844837,646.7,1327.0,57196240,1327.0,100.0,48.7
20250730,101670,하이드로리튬,KOSDAQ,투자주의환기종목(소속부없음),2375,335,16.42,2650,2650,2250,24418625,616.2,1287.0,54169970,1389.0,92.7,47.9
20250730,353810,이지바이오,KOSDAQ,우량기업부,6300,670,11.9,5880,6900,5740,13749852,896.5,2084.0,33081920,2084.0,100.0,43.0
20250730,093520,매커스,KOSDAQ,우량기업부,25350,1550,6.51,23300,27100,23200,4631627,1190.9,4097.0,16163092,4097.0,100.0,29.1
20250730,131400,이브이첨단소재,KOSDAQ,벤처기업부,2160,65,3.1,2230,2470,2150,15811980,367.6,1287.0,59589882,1365.0,94.3,28.6
20250730,077360,덕산하이메탈,KOSDAQ,우량기업부,5460,1260,30.0,4200,5460,4200,11558190,585.5,2481.0,45437002,2481.0,100.0,23.6
20250730,377480,마음AI,KOSDAQ,기술성장기업부,21300,1950,10.08,22700,24250,20750,1355451,308.1,1511.0,7091768,1827.0,82.7,20.4
20250730,049470,SGA,KOSDAQ,중견기업부,2380,260,12.26,2150,2435,2120,12136339,279.7,1401.0,58862249,1401.0,100.0,20.0
20250730,253840,수젠텍,KOSDAQ,벤처기업부,6780,110,1.65,6670,7310,6580,2919564,204.1,1135.0,16743200,1386.0,81.9,18.0
20250730,051980,중앙첨단소재,KOSDAQ,중견기업부,3030,5,0.17,3085,3300,3010,15928448,505.5,3085.0,101802299,3655.0,84.4,16.4
20250730,067310,하나마이크론,KOSDAQ,중견기업부,12670,1480,13.23,12050,13180,11970,10394477,1330.7,8397.0,66271949,8397.0,100.0,15.8
20250730,200710,에이디테크놀로지,KOSDAQ,중견기업부,26150,1250,5.02,25450,27800,25200,1960166,525.7,3515.0,13440822,3515.0,100.0,15.0
20250730,353200,대덕전자,KOSPI,,23800,3450,16.95,20700,24750,20700,7101824,1668.6,11761.0,49416925,11761.0,100.0,14.2
20250730,463480,모티브링크,KOSDAQ,중견기업부,11670,960,8.96,10690,11670,10610,1743000,196.8,1446.0,12390358,1446.0,100.0,13.6
20250730,396470,워트,KOSDAQ,중견기업부,8800,200,2.33,8720,9440,8600,1966287,177.6,1419.0,16120000,1435.0,98.9,12.5
20250730,389140,포바이포,KOSDAQ,벤처기업부,15380,330,2.19,15820,16470,15300,1349222,215.6,1718.0,11169735,2177.0,78.9,12.5
20250730,260930,씨티케이,KOSDAQ,중견기업부,5810,10,0.17,5930,6360,5680,2157606,129.7,1124.0,19341591,1367.0,82.2,11.5
