기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,비중
20250811,131400,이브이첨단소재,KOSDAQ,벤처기업부,2580,340,15.18,2295,2820,2260,56022316,1450.5,1537.0,59589882,1537.0,100.0,94.4
20250811,017510,세명전기,KOSDAQ,중견기업부,11170,1550,16.11,9740,11870,9590,11719290,1304.7,1703.0,15246000,1703.0,100.0,76.6
20250811,419050,삼기에너지솔루션즈,KOSDAQ,우량기업부,2370,140,6.28,2330,2575,2325,29653707,735.5,1356.0,57196240,1356.0,100.0,54.2
20250811,101670,하이드로리튬,KOSDAQ,투자주의환기종목(소속부없음),3055,705,30.0,2445,3055,2375,30281957,871.1,1655.0,54169970,1655.0,100.0,52.6
20250811,010660,화천기계,KOSPI,,5210,265,5.36,5070,5640,4990,10267885,555.1,1146.0,22000000,1302.0,88.0,48.4
20250811,408900,스튜디오미르,KOSDAQ,중견기업부,5050,300,6.32,4925,5370,4760,14705269,749.3,1653.0,32729532,1718.0,96.2,45.3
20250811,227950,엔투텍,KOSDAQ,중견기업부,623,83,15.37,541,690,528,62754576,392.9,1075.0,172541047,1075.0,100.0,36.5
20250811,243840,신흥에스이씨,KOSDAQ,우량기업부,5080,210,4.31,4860,5480,4825,12047997,626.6,1959.0,38558235,1959.0,100.0,32.0
20250811,147830,제룡산업,KOSDAQ,벤처기업부,7470,670,9.85,6900,8060,6730,5287817,402.0,1494.0,20000000,1494.0,100.0,26.9
20250811,033340,좋은사람들,KOSDAQ,중견기업부,2300,105,4.78,2340,2470,2220,25005555,579.9,2230.0,96950558,2230.0,100.0,26.0
20250811,051980,중앙첨단소재,KOSDAQ,중견기업부,3265,265,8.83,3050,3525,3050,24371572,813.9,3324.0,101802299,3655.0,90.9,24.5
20250811,008970,동양철관,KOSPI,,1702,95,5.91,1637,1758,1637,34363948,588.2,2720.0,159801815,3276.0,83.0,21.6
20250811,043610,KT지니뮤직,KOSDAQ,우량기업부,2165,50,2.36,2105,2555,1984,11097755,261.3,1258.0,58115438,1363.0,92.3,20.8
20250811,082850,우리바이오,KOSDAQ,벤처기업부,2335,25,1.08,2440,2670,2325,8837765,220.7,1131.0,48456578,1185.0,95.4,19.5
20250811,439580,블루엠텍,KOSDAQ,기술성장기업부,5410,210,4.04,5220,5540,5050,4984331,267.4,1813.0,33510663,1846.0,98.2,14.7
20250811,107600,새빗켐,KOSDAQ,벤처기업부,34750,150,0.43,34250,37650,33300,747976,267.5,1956.0,5630054,1956.0,100.0,13.7
20250811,332570,PS일렉트로닉스,KOSDAQ,벤처기업부,4015,70,1.77,3960,4130,3910,5626579,227.3,1734.0,43199758,1734.0,100.0,13.1
20250811,309710,아이티켐,KOSDAQ,기술성장기업부,29700,950,3.3,28750,31600,26150,1429037,424.4,3737.0,12583001,3907.0,95.6,11.4
20250811,036200,유니셈,KOSDAQ,우량기업부,7900,210,2.73,7980,8500,7680,3321402,268.3,2422.0,30664223,2422.0,100.0,11.1
20250811,037270,YG PLUS,KOSPI,,10300,140,1.38,10140,10810,9860,6565359,681.1,6545.0,63541460,6583.0,99.4,10.4
