기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,비중
20250723,071090,하이스틸,KOSPI,,5780,1330,29.89,4670,5780,4620,41826776,2237.3,1167.0,20191471,1167.0,100.0,191.7
20250723,008970,동양철관,KOSPI,,1978,219,12.45,1849,2065,1832,275971931,5430.6,3161.0,159801815,3161.0,100.0,171.8
20250723,484120,도우인시스,KOSDAQ,중견기업부,44350,12350,38.59,54400,59000,42150,13015112,6615.4,4771.0,10757022,4771.0,100.0,138.7
20250723,004310,현대약품,KOSPI,,4225,240,6.02,3950,4890,3855,35838097,1629.8,1352.0,32000000,1408.0,96.0,120.5
20250723,131030,옵투스제약,KOSDAQ,우량기업부,8300,1730,26.33,6690,8540,6690,11346264,939.6,1341.0,16153162,1341.0,100.0,70.1
20250723,126880,제이엔케이글로벌,KOSDAQ,우량기업부,4855,845,21.07,4045,5210,4005,15707711,769.5,1127.0,23204903,1127.0,100.0,68.3
20250723,123420,위메이드플레이,KOSDAQ,우량기업부,10720,260,2.49,10460,12630,10020,4409468,510.3,1230.0,11469842,1332.0,92.3,41.5
20250723,463480,모티브링크,KOSDAQ,중견기업부,10170,980,10.66,9470,11200,9390,3988342,420.5,1260.0,12390358,1382.0,91.2,33.4
20250723,038110,에코플라스틱,KOSDAQ,우량기업부,4000,220,5.82,3800,4230,3790,12120304,491.9,1647.0,41169370,1688.0,97.6,29.9
20250723,411080,샌즈랩,KOSDAQ,기술성장기업부,9830,340,3.58,9990,10460,9580,3099433,308.0,1501.0,15267638,1501.0,100.0,20.5
20250723,004140,동방,KOSPI,,3580,130,3.77,3575,3715,3455,9458627,340.0,1717.0,47971766,1821.0,94.3,19.8
20250723,092790,넥스틸,KOSPI,,16100,1860,13.06,14990,16120,14720,4992374,772.0,4186.0,26002000,4186.0,100.0,18.4
20250723,017810,풀무원,KOSPI,,15050,2560,20.5,14600,15880,13890,5692434,859.4,5737.0,38120542,5737.0,100.0,15.0
20250723,010690,화신,KOSPI,,9040,770,9.31,8620,9590,8600,5022262,465.3,3157.0,34920410,3157.0,100.0,14.7
20250723,078130,국일제지,KOSDAQ,중견기업부,789,63,8.68,828,917,730,146497967,1201.2,8895.0,1127405871,8895.0,100.0,13.5
20250723,234030,싸이닉솔루션,KOSDAQ,중견기업부,11000,0,0.0,10880,11450,10560,2976859,327.1,2597.0,23605000,3198.0,81.2,12.6
20250723,009520,포스코엠텍,KOSDAQ GLOBAL,우량기업부,14750,730,5.21,15090,16190,14620,4553736,700.1,6142.0,41642703,6142.0,100.0,11.4
20250723,009070,KCTC,KOSPI,,6700,40,0.6,6820,7080,6530,3292202,223.5,2010.0,30000000,2265.0,88.7,11.1
20250723,419120,산돌,KOSDAQ,중견기업부,14720,260,1.8,14460,15080,14240,794002,116.4,1144.0,7774326,1144.0,100.0,10.2
