기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20250728,060310,3S,KOSDAQ,벤처기업부,1984,-16,-0.8,2000,2085,1981,837443,16.9,1053.0,53059040
20250728,095570,AJ네트웍스,KOSPI,,4215,-15,-0.35,4230,4240,4150,254969,10.7,1907.0,45252759
20250728,006840,AK홀딩스,KOSPI,,11710,-460,-3.78,12180,12270,11650,13630,1.6,1551.0,13247561
20250728,054620,APS,KOSDAQ,중견기업부,4655,-50,-1.06,4705,4785,4610,12305,0.6,926.0,19894221
20250728,265520,AP시스템,KOSDAQ,우량기업부,18450,350,1.93,18150,18480,18060,93586,17.1,2819.0,15281421
20250728,211270,AP위성,KOSDAQ,우량기업부,12130,20,0.17,12240,12240,12060,12950,1.6,1829.0,15082304
20250728,109960,AP헬스케어,KOSDAQ,투자주의환기종목(소속부없음),324,-5,-1.52,326,329,322,243608,0.8,715.0,220789269
20250728,027410,BGF,KOSPI,,3990,-100,-2.44,4100,4105,3980,222310,8.9,3819.0,95716791
20250728,282330,BGF리테일,KOSPI,,112600,-3200,-2.76,115300,115300,111500,51429,57.9,19462.0,17283906
20250728,126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,3035,-40,-1.3,3045,3075,3015,47222,1.4,1905.0,62766899
20250728,138930,BNK금융지주,KOSPI,,14430,-750,-4.94,15090,15090,14280,1546346,224.2,45943.0,318383519
20250728,001460,BYC,KOSPI,,39900,-450,-1.12,40100,41100,39450,5427,2.2,2492.0,6246150
20250728,083790,CG인바이츠,KOSDAQ,벤처기업부,1733,-36,-2.04,1769,1775,1707,161218,2.8,1333.0,76894182
20250728,001040,CJ,KOSPI,,149500,-3700,-2.42,152400,154400,148200,169926,253.8,43620.0,29176998
20250728,079160,CJ CGV,KOSPI,,5180,-90,-1.71,5340,5360,5150,286359,15.0,8577.0,165580680
20250728,035760,CJ ENM,KOSDAQ GLOBAL,중견기업부,64300,-900,-1.38,65000,65000,63100,55668,35.5,14100.0,21929154
20250728,311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,10180,150,1.5,10030,10180,9920,17012,1.7,1330.0,13065462
20250728,00104K,CJ4우(전환),KOSPI,,123400,-6000,-4.64,128900,128900,122600,15347,19.0,5216.0,4226512
20250728,000120,CJ대한통운,KOSPI,,88700,-1300,-1.44,89700,90900,87700,54068,47.9,20235.0,22812344
20250728,011150,CJ씨푸드,KOSPI,,2920,-30,-1.02,2965,2965,2910,174049,5.1,1049.0,35930773
20250728,097950,CJ제일제당,KOSPI,,247500,-1500,-0.6,248000,251000,246000,45051,111.3,37259.0,15054186
20250728,051500,CJ프레시웨이,KOSDAQ,우량기업부,28450,0,0.0,28400,28500,27750,53514,15.1,3377.0,11871586
20250728,058820,CMG제약,KOSDAQ,중견기업부,1990,-20,-1.0,2015,2035,1986,610890,12.2,2930.0,147220822
20250728,056730,CNT85,KOSDAQ,벤처기업부,778,-13,-1.64,791,791,770,76367,0.6,577.0,74111186
20250728,000480,CR홀딩스,KOSPI,,5470,50,0.92,5420,5480,5400,24269,1.3,2565.0,46890490
20250728,065770,CS,KOSDAQ,벤처기업부,1019,-1,-0.1,1020,1023,1010,58159,0.6,198.0,19411130
20250728,083660,CSA 코스믹,KOSDAQ,중견기업부,2150,-35,-1.6,2260,2335,1934,2027686,43.9,1317.0,61247181
20250728,000590,CS홀딩스,KOSPI,,86300,-2800,-3.14,89100,89100,85100,1030,0.9,996.0,1154482
20250728,012030,DB,KOSPI,,1335,-35,-2.55,1385,1385,1332,326575,4.4,2686.0,201173933
