기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,비중
20250801,253840,수젠텍,KOSDAQ,벤처기업부,7250,450,6.62,6800,7920,6700,12421695,928.4,1214.0,16743200,1386.0,87.6,76.5
20250801,033230,인성정보,KOSDAQ,중견기업부,2235,60,2.76,2145,2435,2145,29642747,689.1,1129.0,50515380,1142.0,98.9,61.0
20250801,225190,LK삼양,KOSDAQ,중견기업부,2025,87,4.49,2065,2425,2005,21735862,494.5,1028.0,50748440,1403.0,73.3,48.1
20250801,439260,대한조선,KOSPI,,92400,42400,84.8,89100,99400,85500,14738911,13568.7,35598.0,38526312,35598.0,100.0,38.1
20250801,017810,풀무원,KOSPI,,17670,2810,18.91,14450,18490,14450,13684477,2317.4,6736.0,38120542,6736.0,100.0,34.4
20250801,452400,이닉스,KOSDAQ,벤처기업부,12640,820,6.94,11810,13820,11360,2641361,345.0,1147.0,9071428,1186.0,96.7,30.1
20250801,362320,청담글로벌,KOSDAQ,중견기업부,9190,520,6.0,9410,10170,8930,5061301,489.5,1935.0,21051290,2160.0,89.6,25.3
20250801,299660,셀리드,KOSDAQ,기술성장기업부,4190,205,5.14,3975,4500,3900,7033896,300.6,1236.0,29502977,1374.0,90.0,24.3
20250801,014990,인디에프,KOSPI,,1469,37,2.58,1400,1599,1400,17575912,264.6,1103.0,75112995,1128.0,97.8,24.0
20250801,474170,루미르,KOSDAQ,기술성장기업부,7570,330,4.56,7930,8500,7500,3049527,247.2,1342.0,17727696,1463.0,91.7,18.4
20250801,260930,씨티케이,KOSDAQ,중견기업부,5650,180,3.29,5490,6140,5340,2848706,166.1,1093.0,19341591,1367.0,80.0,15.2
20250801,393210,토마토시스템,KOSDAQ,기술성장기업부,6700,90,1.36,6620,7200,6600,1980038,137.2,1046.0,15614544,1190.0,87.9,13.1
20250801,114190,강원에너지,KOSDAQ,우량기업부,13720,660,5.05,13000,14180,12730,3243723,443.4,3584.0,26123038,3631.0,98.7,12.4
20250801,389140,포바이포,KOSDAQ,벤처기업부,16630,580,3.61,16330,17410,15750,1323328,219.7,1858.0,11169735,2110.0,88.1,11.8
20250801,295310,에이치브이엠,KOSDAQ,기술성장기업부,35850,8250,29.89,35100,35850,33000,1423092,498.1,4267.0,11901931,4267.0,100.0,11.7
20250801,115310,인포바인,KOSDAQ,벤처기업부,71300,7900,12.46,62900,80000,61200,357735,263.3,2277.0,3192883,2360.0,96.5,11.6
20250801,475230,엔알비,KOSDAQ,벤처기업부,14350,20,0.14,14270,15320,14230,1178900,174.2,1496.0,10427139,1737.0,86.1,11.6
20250801,007110,일신석재,KOSPI,,2350,40,1.73,2310,2410,2300,8460620,199.6,1820.0,77456610,2118.0,85.9,11.0
