기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,ㄴ
20250507,39030,이오테크닉스,KOSDAQ GLOBAL,우량기업부,116800,-1700,-1.43,119700,119900,116300,74874,88.1,14389,12319550,18935,76,1%
20250507,361610,SK아이이테크놀로지,KOSPI,,22950,250,1.1,23100,23200,22550,75467,17.2,16363,71297592,18823,86.9,0%
20250507,42670,HD현대인프라코어,KOSPI,,8480,50,0.59,8410,8540,8260,936833,79.3,16337,192655867,18784,87,0%
20250507,65350,신성델타테크,KOSDAQ,우량기업부,58700,-900,-1.51,60000,60800,58200,78169,46.1,16133,27483948,18689,86.3,0%
20250507,348370,엔켐,KOSDAQ,벤처기업부,68300,-10100,-12.88,77800,78400,66900,432379,302.7,14476,21194303,18545,78.1,2%
20250507,5850,에스엘,KOSPI,,31800,-1100,-3.34,33050,33050,31350,154892,49.2,14771,46448520,18440,80.1,0%
20250507,9420,한올바이오파마,KOSPI,,26650,-1550,-5.5,27500,27600,26450,180311,48.3,13922,52240638,18336,75.9,0%
20250507,2790,아모레퍼시픽홀딩스,KOSPI,,22650,-300,-1.31,23250,23250,22550,73491,16.7,17997,79458180,18236,98.7,0%
20250507,161890,한국콜마,KOSPI,,75500,-100,-0.13,76400,76500,74500,94220,71,17822,23605077,17916,99.5,0%
20250507,375500,DL이앤씨,KOSPI,,44950,2850,6.77,42350,45000,41350,268554,119.6,17393,38693623,17393,100,1%
20250507,139130,iM금융지주,KOSPI,,10430,230,2.25,10400,10470,10270,659180,68.5,17355,166392833,17355,100,0%
20250507,8770,호텔신라,KOSPI,,44200,300,0.68,44450,45200,44100,251425,112.3,17348,39248121,17348,100,1%
20250507,328130,루닛,KOSDAQ,기술성장기업부,52000,-900,-1.7,53100,53500,51200,146633,76.1,15078,28995240,17310,87.1,1%
20250507,457190,이수스페셜티케미컬,KOSPI,,42100,-1250,-2.88,43450,43800,41350,205356,86.2,12718,30208280,17219,73.9,1%
20250507,6040,동원산업,KOSPI,,42900,1150,2.75,41800,43100,41550,56259,24,16999,39624084,17137,99.2,0%
20250507,7310,오뚜기,KOSPI,,400000,-2000,-0.5,408000,410000,400000,3427,13.8,16031,4007830,17093,93.8,0%
20250507,294870,HDC현대산업개발,KOSPI,,25600,200,0.79,25150,25800,24850,144533,36.8,16872,65907330,16872,100,0%
20250507,5290,동진쎄미켐,KOSDAQ,우량기업부,29950,0,0,30200,30350,29750,174959,52.4,15399,51414494,16633,92.6,0%
20250507,69620,대웅제약,KOSPI,,136400,-6500,-4.55,140600,140600,134000,48170,65.7,15804,11586575,16557,95.5,0%
20250507,78600,대주전자재료,KOSDAQ,우량기업부,81700,-800,-0.97,83400,83400,80800,57291,46.6,12648,15480593,16471,76.8,0%
20250507,112610,씨에스윈드,KOSPI,,38650,350,0.91,38750,38900,37100,194675,74.7,16299,42171403,16363,99.6,0%
20250507,357780,솔브레인,KOSDAQ,우량기업부,175600,-2400,-1.35,180000,180900,174900,17450,31,13659,7778566,16063,85,0%
20250507,3690,코리안리,KOSPI,,8140,-10,-0.12,8180,8180,8060,205636,16.7,15858,194821031,16053,98.8,0%
20250507,1720,신영증권,KOSPI,,97600,2800,2.95,96800,98400,94200,31277,30.3,16045,16440000,16045,100,0%
20250507,5070,코스모신소재,KOSPI,,37400,-1400,-3.61,39400,39450,37000,210524,79.1,12159,32510756,16012,75.9,1%
20250507,82270,젬백스,KOSDAQ,벤처기업부,36150,650,1.83,34800,37750,33100,681928,246.9,14968,41406061,15998,93.6,2%
20250507,14680,한솔케미칼,KOSPI,,112400,-2800,-2.43,116300,116400,112100,66502,75.2,12741,11335195,15983,79.7,1%
20250507,237690,에스티팜,KOSDAQ GLOBAL,우량기업부,75000,-3900,-4.94,78300,78300,74700,106130,79.9,15115,20152888,15981,94.6,1%
20250507,6280,녹십자,KOSPI,,119500,-6300,-5.01,126800,126800,119500,59196,71.5,13965,11686538,15917,87.7,1%
20250507,240,한국앤컴퍼니,KOSPI,,15320,220,1.46,15230,15400,15050,93628,14.3,14544,94935240,15740,92.4,0%
20250507,253450,스튜디오드래곤,KOSDAQ GLOBAL,우량기업부,51300,-900,-1.72,51100,52300,50900,133030,68.5,15420,30058498,15691,98.3,0%
20250507,6360,GS건설,KOSPI,,18200,460,2.59,17850,18430,17680,443723,80.8,15576,85581490,15619,99.7,1%
20250507,4170,신세계,KOSPI,,158300,0,0,161500,161700,157600,37080,59.2,15268,9645181,15268,100,0%
20250507,42000,카페24,KOSDAQ,기술성장기업부,62400,0,0,63500,63500,58900,233058,142.3,15134,24253054,15134,100,1%
20250507,10060,OCI홀딩스,KOSPI,,64600,0,0,64600,65300,63800,96235,61.9,12154,18814917,15127,80.3,1%
20250507,140860,파크시스템스,KOSDAQ,우량기업부,202500,500,0.25,205000,205500,200000,11173,22.5,14155,6989977,15098,93.8,0%
20250507,47040,대우건설,KOSPI,,3480,-120,-3.33,3410,3545,3410,1593579,55.6,14464,415622638,14962,96.7,0%
