기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,비중
20250509,476040,오가노이드사이언스,KOSDAQ,기술성장기업부,32000,11000,52.38,25400,39650,23000,24040480,7950.5,2082,6505950,382%
20250509,136150,원일티엔아이,KOSDAQ,벤처기업부,35900,22400,165.93,23600,41800,23600,24475337,7755,3009,8381030,258%
20250509,42940,상지건설,KOSDAQ,중견기업부,46750,2450,5.53,51000,56000,45350,6604312,3392.5,1861,3981814,182%
20250509,90080,평화산업,KOSPI,,1604,128,8.67,1533,1782,1465,74334264,1223.1,881,54902259,139%
20250509,289010,아이스크림에듀,KOSDAQ,중견기업부,3800,-985,-20.59,4730,5360,3710,13902036,636.1,514,13523317,124%
20250509,10770,평화홀딩스,KOSPI,,8900,1290,16.95,8490,9890,8400,16420403,1506.8,1302,14625466,116%
20250509,459510,나우로보틱스,KOSDAQ,기술성장기업부,15570,170,1.1,16420,18050,14930,13248012,2209.3,1954,12547732,113%
20250509,20710,시공테크,KOSDAQ,우량기업부,5710,-820,-12.56,6410,7440,5500,19391355,1255.3,1145,20047970,110%
20250509,448280,에코아이,KOSDAQ,중견기업부,14130,740,5.53,17400,17400,13870,8393102,1323.5,1396,9877043,95%
20250509,46970,우리로,KOSDAQ,벤처기업부,1492,129,9.46,1429,1646,1403,37729480,584.6,654,43824999,89%
20250509,355390,크라우드웍스,KOSDAQ,기술성장기업부,13920,1830,15.14,12090,15500,11850,6856466,966.4,1296,9307914,75%
20250509,225190,LK삼양,KOSDAQ,중견기업부,2315,385,19.95,1957,2390,1935,37067434,835,1175,50748440,71%
20250509,430690,한싹,KOSDAQ,벤처기업부,6230,-180,-2.81,6350,6920,6060,7255906,479.9,679,10895327,71%
20250509,21040,대호특수강,KOSDAQ,중견기업부,1961,-74,-3.64,2645,2645,1931,12621669,280.1,426,21704774,66%
20250509,417180,핑거스토리,KOSDAQ,중견기업부,2900,-240,-7.64,3195,3500,2865,9755059,316.8,488,16816209,65%
20250509,8500,일정실업,KOSPI,,22350,-3700,-14.2,25300,29150,22350,672309,172.7,268,1200000,64%
20250509,389140,포바이포,KOSDAQ,벤처기업부,26350,-550,-2.04,26300,29700,24500,6722695,1843.3,2928,11112735,63%
20250509,53300,한국정보인증,KOSDAQ,우량기업부,4930,470,10.54,4485,5430,4465,24814582,1259.3,2092,42441361,60%
