기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,비중
20250808,388610,지에프씨생명과학,KOSDAQ,기술성장기업부,21400,2980,16.18,18420,22900,18260,4665731,989.6,1118.0,5225709,1701.0,65.7,88.5
20250808,033340,좋은사람들,KOSDAQ,중견기업부,2195,231,11.76,2020,2380,2015,62871005,1391.9,2128.0,96950558,2128.0,100.0,65.4
20250808,107600,새빗켐,KOSDAQ,벤처기업부,34600,6100,21.4,28900,36700,27300,2823481,953.9,1948.0,5630054,1948.0,100.0,49.0
20250808,017510,세명전기,KOSDAQ,중견기업부,9620,240,2.56,9160,10400,9060,6334200,619.8,1467.0,15246000,1467.0,100.0,42.2
20250808,009270,신원,KOSPI,,1899,167,9.64,1780,2050,1754,40030096,770.4,2101.0,110625832,2101.0,100.0,36.7
20250808,408900,스튜디오미르,KOSDAQ,중견기업부,4750,205,4.51,4640,5090,4585,11140323,538.0,1555.0,32729532,1718.0,90.5,34.6
20250808,380550,뉴로핏,KOSDAQ,기술성장기업부,16180,830,5.41,15350,17530,15350,3688420,620.4,1857.0,11476035,2330.0,79.7,33.4
20250808,468530,프로티나,KOSDAQ,기술성장기업부,19000,950,5.26,18450,20000,18390,3483389,674.0,2049.0,10784365,2049.0,100.0,32.9
20250808,452400,이닉스,KOSDAQ,벤처기업부,13010,1010,8.42,12140,14060,11910,2867927,383.4,1180.0,9071428,1186.0,99.5,32.5
20250808,253840,수젠텍,KOSDAQ,벤처기업부,7450,480,6.89,6970,7740,6820,5295263,394.7,1247.0,16743200,1339.0,93.1,31.7
20250808,131970,두산테스나,KOSDAQ GLOBAL,우량기업부,36650,2750,8.11,36000,39500,35900,4644852,1749.5,7083.0,19327238,7083.0,100.0,24.7
20250808,365330,에스와이스틸텍,KOSDAQ,중견기업부,5660,1035,22.38,5300,5730,5010,7739301,421.6,1733.0,30610000,1913.0,90.6,24.3
20250808,073010,케이에스피,KOSDAQ,우량기업부,5550,565,11.33,5000,6070,4930,8157478,459.7,2231.0,40191250,2231.0,100.0,20.6
20250808,037270,YG PLUS,KOSPI,,10160,610,6.39,9510,10590,9440,11544378,1172.6,6456.0,63541460,6583.0,98.1,18.2
20250808,101670,하이드로리튬,KOSDAQ,투자주의환기종목(소속부없음),2350,55,2.4,2330,2665,2305,8831000,219.3,1273.0,54169970,1389.0,91.6,17.2
20250808,475230,엔알비,KOSDAQ,벤처기업부,16280,990,6.47,16140,16700,15570,1811947,292.0,1698.0,10427139,1737.0,97.8,17.2
20250808,222800,심텍,KOSDAQ GLOBAL,우량기업부,27850,4250,18.01,25500,28350,25000,5398665,1477.8,8913.0,32005041,8913.0,100.0,16.6
20250808,131400,이브이첨단소재,KOSDAQ,벤처기업부,2240,0,0.0,2220,2460,2190,8796477,206.8,1335.0,59589882,1365.0,97.8,15.5
20250808,014940,오리엔탈정공,KOSDAQ,우량기업부,8140,80,0.99,7850,8310,7630,6866132,550.6,3710.0,45573661,3710.0,100.0,14.8
20250808,332570,PS일렉트로닉스,KOSDAQ,벤처기업부,3945,25,0.64,3930,4055,3855,6332830,249.9,1704.0,43199758,1704.0,100.0,14.7
20250808,333430,일승,KOSDAQ,중견기업부,5240,90,1.75,5120,5340,4985,4507950,235.1,1610.0,30726747,1610.0,100.0,14.6
20250808,255220,SG,KOSDAQ,중견기업부,2495,80,3.31,2630,2710,2430,12874056,325.3,2462.0,98675394,2462.0,100.0,13.2
20250808,025980,아난티,KOSDAQ,우량기업부,10030,40,0.4,10300,10840,9950,10274074,1068.5,8890.0,88629478,10042.0,88.5,12.0
20250808,450140,코오롱모빌리티그룹,KOSPI,,3970,645,19.4,3970,4060,3965,7153421,284.3,2492.0,62777250,2492.0,100.0,11.4
20250808,294570,쿠콘,KOSDAQ,우량기업부,39850,3250,8.88,36600,41650,36000,1045095,413.0,4086.0,10254685,5004.0,81.7,10.1
