기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20250305,060310,3S,KOSDAQ,중견기업부,1853,15,0.82,1836,1870,1820,197326,3.6,983.0,53059040
20250305,095570,AJ네트웍스,KOSPI,,3935,65,1.68,3850,3945,3830,85252,3.3,1781.0,45252759
20250305,006840,AK홀딩스,KOSPI,,10390,70,0.68,10320,10440,10300,4471,0.5,1376.0,13247561
20250305,054620,APS,KOSDAQ,중견기업부,6210,130,2.14,6060,6290,6050,51748,3.2,1235.0,19894221
20250305,265520,AP시스템,KOSDAQ,우량기업부,17350,640,3.83,16760,17430,16730,79940,13.8,2651.0,15281421
20250305,211270,AP위성,KOSDAQ,벤처기업부,13300,150,1.14,13150,13300,13020,85836,11.3,2006.0,15082304
20250305,109960,AP헬스케어,KOSDAQ,중견기업부,480,-5,-1.03,479,499,468,1178776,5.6,964.0,200789269
20250305,027410,BGF,KOSPI,,3370,20,0.6,3340,3400,3340,74148,2.5,3226.0,95716791
20250305,282330,BGF리테일,KOSPI,,100000,500,0.5,100200,101200,99700,41460,41.7,17284.0,17283906
20250305,126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,2885,125,4.53,2750,2890,2750,37863,1.1,1811.0,62766899
20250305,138930,BNK금융지주,KOSPI,,10460,-290,-2.7,10750,10940,10340,1545094,162.4,33518.0,320436727
20250305,001460,BYC,KOSPI,,27400,0,0.0,27400,27550,27000,3182,0.9,1711.0,6246150
20250305,013720,CBI,KOSDAQ,중견기업부,647,15,2.37,632,656,632,207366,1.3,289.0,44628136
20250305,083790,CG인바이츠,KOSDAQ,벤처기업부,2395,5,0.21,2390,2420,2345,69477,1.7,1842.0,76894182
20250305,001040,CJ,KOSPI,,101800,800,0.79,101300,102900,100800,52237,53.1,29702.0,29176998
20250305,079160,CJ CGV,KOSPI,,5090,40,0.79,5010,5120,5010,259602,13.2,8428.0,165580249
20250305,035760,CJ ENM,KOSDAQ GLOBAL,중견기업부,57700,-2000,-3.35,60300,60700,57400,102232,59.8,12653.0,21929154
20250305,311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,10370,120,1.17,10120,10560,10120,17130,1.8,1355.0,13065462
20250305,00104K,CJ4우(전환),KOSPI,,82600,-300,-0.36,83300,83300,82400,3782,3.1,3491.0,4226512
20250305,000120,CJ대한통운,KOSPI,,93200,3500,3.9,91100,94000,89400,103675,95.8,21261.0,22812344
20250305,011150,CJ씨푸드,KOSPI,,3060,10,0.33,3025,3090,3025,269704,8.2,1099.0,35930773
20250305,097950,CJ제일제당,KOSPI,,243000,3000,1.25,240000,244500,240000,64952,157.7,36582.0,15054186
20250305,051500,CJ프레시웨이,KOSDAQ,우량기업부,21200,-100,-0.47,21100,21500,21000,21180,4.5,2517.0,11871586
20250305,058820,CMG제약,KOSDAQ,우량기업부,1936,36,1.89,1885,1936,1885,348575,6.7,2689.0,138892244
20250305,056730,CNT85,KOSDAQ,중견기업부,659,8,1.23,651,659,651,8805,0.1,488.0,74111186
20250305,000480,CR홀딩스,KOSPI,,5400,30,0.56,5330,5410,5330,5489,0.3,2532.0,46890490
20250305,065770,CS,KOSDAQ,벤처기업부,1864,137,7.93,1720,1964,1717,663236,12.3,362.0,19411130
20250305,083660,CSA 코스믹,KOSDAQ,중견기업부,666,-3,-0.45,650,676,650,58546,0.4,408.0,61247181
20250305,000590,CS홀딩스,KOSPI,,73500,100,0.14,73200,73900,72800,299,0.2,849.0,1154482
20250305,012030,DB,KOSPI,,1310,25,1.95,1302,1310,1280,425121,5.5,2635.0,201173933
20250305,016610,DB금융투자,KOSPI,,5810,-50,-0.85,5860,5880,5760,54074,3.1,2466.0,42446389
20250305,005830,DB손해보험,KOSPI,,92700,1000,1.09,92300,94600,91900,208647,193.9,65632.0,70800000
20250305,000990,DB하이텍,KOSPI,,44500,-250,-0.56,44400,45250,43900,247696,110.3,19757.0,44398588
20250305,139130,DGB금융지주,KOSPI,,8980,-170,-1.86,9150,9220,8910,550603,49.6,15189.0,169145833
20250305,060900,DGP,KOSDAQ,중견기업부,938,25,2.74,905,945,905,124718,1.2,237.0,25258229
20250305,000300,DH오토넥스,KOSPI,,1984,0,0.0,0,0,0,0,0.0,1616.0,81451691
20250305,290120,DH오토리드,KOSDAQ,우량기업부,2435,-85,-3.37,2500,2545,2425,8722,0.2,378.0,15515138
20250305,025440,DH오토웨어,KOSDAQ,중견기업부,971,-13,-1.32,976,996,963,60450,0.6,299.0,30781224
20250305,001530,DI동일,KOSPI,,46250,50,0.11,46000,46700,45800,33992,15.7,8959.0,19370819
20250305,000210,DL,KOSPI,,35000,2200,6.71,33100,35850,32800,130679,45.5,7335.0,20955884
20250305,375500,DL이앤씨,KOSPI,,43500,2350,5.71,41200,43950,41200,342690,147.4,16832.0,38693623
20250305,37550L,DL이앤씨2우(전환),KOSPI,,25750,1100,4.46,24750,25750,24650,10308,2.6,544.0,2111951
20250305,068790,DMS,KOSDAQ,우량기업부,6270,100,1.62,6250,6320,6120,62020,3.8,1504.0,23987123
20250305,007340,DN오토모티브,KOSPI,,22100,750,3.51,21450,22250,21350,112941,24.6,12931.0,58510865
20250305,004840,DRB동일,KOSPI,,4355,205,4.94,4150,4355,4150,35455,1.5,868.0,19930000
20250305,241520,DSC인베스트먼트,KOSDAQ,중견기업부,4700,-205,-4.18,4915,4970,4545,3719050,177.7,1292.0,27496125
20250305,155660,DSR,KOSPI,,4030,90,2.28,3940,4085,3940,44379,1.8,645.0,16000000
20250305,069730,DSR제강,KOSPI,,3710,115,3.2,3595,3950,3580,243388,9.1,534.0,14400000
20250305,017860,DS단석,KOSPI,,28200,150,0.53,28050,29650,28050,282385,80.6,4959.0,17584212
20250305,180400,DXVX,KOSDAQ,중견기업부,1581,-93,-5.56,1675,1738,1540,669125,10.9,778.0,49219432
