기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20250221,060310,3S,KOSDAQ,중견기업부,1917,-18,-0.93,1935,1938,1912,315683,6.1,1017.0,53059040
20250221,095570,AJ네트웍스,KOSPI,,4030,5,0.12,4025,4060,4000,73638,3.0,1824.0,45252759
20250221,006840,AK홀딩스,KOSPI,,10080,60,0.6,10020,10100,10010,6932,0.7,1335.0,13247561
20250221,054620,APS,KOSDAQ,중견기업부,6130,-110,-1.76,6240,6240,6110,32867,2.0,1220.0,19894221
20250221,265520,AP시스템,KOSDAQ,우량기업부,18170,-80,-0.44,18210,18240,17990,50728,9.2,2777.0,15281421
20250221,211270,AP위성,KOSDAQ,벤처기업부,13690,-60,-0.44,13790,13860,13490,157505,21.5,2065.0,15082304
20250221,109960,AP헬스케어,KOSDAQ,중견기업부,486,1,0.21,486,519,483,3197583,16.1,976.0,200789269
20250221,027410,BGF,KOSPI,,3480,15,0.43,3475,3490,3445,56811,2.0,3331.0,95716791
20250221,282330,BGF리테일,KOSPI,,106700,2300,2.2,104400,107400,103800,76376,81.3,18442.0,17283906
20250221,126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,3015,15,0.5,2990,3025,2975,30878,0.9,1892.0,62766899
20250221,138930,BNK금융지주,KOSPI,,11700,-100,-0.85,11820,11850,11650,590809,69.2,37491.0,320436727
20250221,001460,BYC,KOSPI,,27550,50,0.18,27500,27900,27350,716,0.2,1721.0,6246150
20250221,013720,CBI,KOSDAQ,중견기업부,706,11,1.58,702,742,696,359753,2.6,315.0,44628136
20250221,083790,CG인바이츠,KOSDAQ,벤처기업부,2315,75,3.35,2240,2495,2235,709749,17.1,1780.0,76894182
20250221,001040,CJ,KOSPI,,108100,4100,3.94,103800,109500,103000,144680,155.6,31540.0,29176998
20250221,079160,CJ CGV,KOSPI,,5160,10,0.19,5150,5170,5110,182326,9.4,8544.0,165580248
20250221,035760,CJ ENM,KOSDAQ GLOBAL,중견기업부,61700,1100,1.82,60900,62100,59900,187585,114.6,13530.0,21929154
20250221,311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,9880,-40,-0.4,9950,10020,9880,14808,1.5,1291.0,13065462
20250221,00104K,CJ4우(전환),KOSPI,,86400,1700,2.01,84700,87400,84200,13279,11.5,3652.0,4226512
20250221,000120,CJ대한통운,KOSPI,,97100,-400,-0.41,97500,97700,95000,58345,56.1,22151.0,22812344
20250221,011150,CJ씨푸드,KOSPI,,3145,45,1.45,3100,3165,3090,296403,9.3,1130.0,35930773
20250221,097950,CJ제일제당,KOSPI,,248000,-1500,-0.6,250000,250000,246000,57402,142.1,37334.0,15054186
20250221,051500,CJ프레시웨이,KOSDAQ,우량기업부,21250,250,1.19,21000,21600,20850,16969,3.6,2523.0,11871586
20250221,058820,CMG제약,KOSDAQ,우량기업부,1950,34,1.77,1916,1965,1903,682889,13.3,2708.0,138892244
20250221,056730,CNT85,KOSDAQ,중견기업부,654,2,0.31,652,654,646,18382,0.1,485.0,74111186
20250221,000480,CR홀딩스,KOSPI,,5460,-40,-0.73,5490,5510,5440,10900,0.6,2560.0,46890490
20250221,065770,CS,KOSDAQ,벤처기업부,1753,-10,-0.57,1763,1790,1729,87327,1.5,340.0,19411130
20250221,083660,CSA 코스믹,KOSDAQ,중견기업부,663,-12,-1.78,675,677,650,194804,1.3,406.0,61247181
20250221,000590,CS홀딩스,KOSPI,,74600,1100,1.5,73700,74800,73200,705,0.5,861.0,1154482
20250221,012030,DB,KOSPI,,1363,-5,-0.37,1373,1390,1353,292141,4.0,2742.0,201173933
20250221,016610,DB금융투자,KOSPI,,6000,-10,-0.17,6000,6100,5950,68120,4.1,2547.0,42446389
20250221,005830,DB손해보험,KOSPI,,98900,-1900,-1.88,101300,101300,98400,184220,182.5,70021.0,70800000
20250221,000990,DB하이텍,KOSPI,,46450,750,1.64,45750,46950,44700,511491,233.9,20623.0,44398588
20250221,139130,DGB금융지주,KOSPI,,9580,-30,-0.31,9610,9620,9530,573241,54.9,16204.0,169145833
20250221,060900,DGP,KOSDAQ,중견기업부,894,2,0.22,905,930,893,90749,0.8,226.0,25258229
20250221,290120,DH오토리드,KOSDAQ,우량기업부,2285,40,1.78,2245,2375,2240,10149,0.2,355.0,15515138
20250221,025440,DH오토웨어,KOSDAQ,중견기업부,1000,1,0.1,1004,1029,991,84713,0.9,308.0,30781224
20250221,001530,DI동일,KOSPI,,47000,1550,3.41,45500,47050,45500,39609,18.4,9104.0,19370819
20250221,000210,DL,KOSPI,,34050,-500,-1.45,34700,34700,33950,40785,13.9,7135.0,20955884
20250221,375500,DL이앤씨,KOSPI,,40150,750,1.9,39400,40150,39200,182903,72.8,15535.0,38693623
20250221,37550L,DL이앤씨2우(전환),KOSPI,,24350,450,1.88,24200,24350,23650,2872,0.7,514.0,2111951
20250221,068790,DMS,KOSDAQ,우량기업부,6400,-80,-1.23,6450,6460,6330,49102,3.1,1535.0,23987123
20250221,007340,DN오토모티브,KOSPI,,21650,400,1.88,21500,21900,21050,84661,18.2,12668.0,58510865
20250221,004840,DRB동일,KOSPI,,4425,25,0.57,4485,4485,4225,19942,0.9,882.0,19930000
20250221,241520,DSC인베스트먼트,KOSDAQ,중견기업부,4950,325,7.03,4580,4950,4580,1196421,57.8,1361.0,27496125
20250221,155660,DSR,KOSPI,,4040,65,1.64,3975,4040,3975,10205,0.4,646.0,16000000
20250221,069730,DSR제강,KOSPI,,3720,60,1.64,3670,3740,3670,19668,0.7,536.0,14400000
20250221,017860,DS단석,KOSPI,,31050,750,2.48,30350,31300,30150,368356,113.8,5460.0,17584212
20250221,180400,DXVX,KOSDAQ,중견기업부,1650,-17,-1.02,1670,1703,1638,614457,10.2,812.0,49219432
20250221,017940,E1,KOSPI,,66200,0,0.0,66100,66600,65900,19280,12.8,4541.0,6860000
20250221,037370,EG,KOSDAQ,중견기업부,6160,-20,-0.32,6250,6250,6110,28188,1.7,531.0,8624972
20250221,365550,ESR켄달스퀘어리츠,KOSPI,,4945,0,0.0,4950,4985,4920,174501,8.6,10537.0,213089000
20250221,050120,ES큐브,KOSDAQ,중견기업부,2010,0,0.0,1997,2030,1980,9529,0.2,273.0,13564086
20250221,383220,F&F,KOSPI,,73500,200,0.27,73600,74100,72500,55957,41.0,28156.0,38307075
20250221,007700,F&F홀딩스,KOSPI,,12650,90,0.72,12560,12790,12530,6882,0.9,4948.0,39114367
20250221,214270,FSN,KOSDAQ,중견기업부,1623,26,1.63,1609,1624,1597,75681,1.2,540.0,33250463
20250221,130500,GH신소재,KOSDAQ,우량기업부,2775,60,2.21,2715,2810,2715,75887,2.1,404.0,14545052
20250221,114090,GKL,KOSPI,,11460,60,0.53,11400,11460,11300,57557,6.6,7089.0,61855670
20250221,900290,GRT,KOSDAQ,외국기업(소속부없음),3945,115,3.0,3855,3975,3810,555507,21.7,3190.0,80850000
20250221,078930,GS,KOSPI,,41100,50,0.12,41100,41350,40850,182300,75.1,38188.0,92915378
20250221,083450,GST,KOSDAQ,우량기업부,20850,-900,-4.14,21150,21650,20650,902942,192.8,3843.0,18430000
20250221,006360,GS건설,KOSPI,,18540,-30,-0.16,18540,18720,18420,175304,32.6,15867.0,85581490
20250221,001250,GS글로벌,KOSPI,,2700,-15,-0.55,2715,2765,2695,635715,17.3,2228.0,82533764
20250221,007070,GS리테일,KOSPI,,15990,140,0.88,15860,16090,15740,189154,30.2,13369.0,83607415
20250221,499790,GS피앤엘,KOSPI,,22750,1100,5.08,21650,22900,21650,178414,40.0,4512.0,19830841
20250221,297890,HB솔루션,KOSDAQ,우량기업부,3075,10,0.33,3060,3105,3035,330429,10.1,2249.0,73140914
20250221,440290,HB인베스트먼트,KOSDAQ,중견기업부,1845,42,2.33,1785,1876,1785,177260,3.3,500.0,27107010
20250221,078150,HB테크놀러지,KOSDAQ,우량기업부,2710,15,0.56,2690,2735,2675,1269906,34.4,2513.0,92715916
20250221,012630,HDC,KOSPI,,13450,170,1.28,13180,13470,13180,120245,16.1,8035.0,59741721
20250221,039570,HDC랩스,KOSPI,,8500,-30,-0.35,8520,8860,8500,45777,4.0,2206.0,25957601
20250221,089470,HDC현대EP,KOSPI,,3535,25,0.71,3495,3550,3495,10103,0.4,1128.0,31900000
20250221,294870,HDC현대산업개발,KOSPI,,18840,430,2.34,18500,19070,18490,276018,51.9,12417.0,65907330
