기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,비중
20250623,053300,한국정보인증,KOSDAQ,우량기업부,10080,830,8.97,9140,10700,8830,25840724,2578.9,4278.0,42441361,4278.0,100.0,60.3
20250623,024060,흥구석유,KOSDAQ,중견기업부,18270,2740,17.64,19330,19700,17760,7531986,1421.3,2740.0,15000000,2878.0,95.2,51.9
20250623,457550,우진엔텍,KOSDAQ,중견기업부,33150,3150,10.5,30800,37200,30450,4686121,1591.1,3073.0,9271339,3073.0,100.0,51.8
20250623,090360,로보스타,KOSDAQ,중견기업부,30800,4700,18.01,25800,32700,25400,4665382,1431.4,3003.0,9750000,3003.0,100.0,47.7
20250623,475150,SK이터닉스,KOSPI,,28200,6100,27.6,23500,28700,22700,12613170,3392.6,9519.0,33754042,9519.0,100.0,35.6
20250623,090710,휴림로봇,KOSDAQ,중견기업부,2445,145,6.3,2305,2565,2240,31861958,777.8,2695.0,110237793,2695.0,100.0,28.9
20250623,108490,로보티즈,KOSDAQ,기술성장기업부,81900,18900,30.0,61500,81900,61300,3451800,2595.4,10822.0,13213934,10822.0,100.0,24.0
20250623,466100,클로봇,KOSDAQ,기술성장기업부,19420,1690,9.53,17540,20900,17410,5726098,1124.0,4787.0,24651339,5017.0,95.4,23.5
20250623,032820,우리기술,KOSDAQ,벤처기업부,4330,215,5.22,4035,4475,3830,36932100,1580.6,7167.0,165530656,7275.0,98.5,22.1
20250623,035510,신세계 I&C,KOSPI,,23900,2250,10.39,21750,25450,21750,3007493,710.1,3341.0,13980900,3341.0,100.0,21.3
20250623,205500,넥써쓰,KOSDAQ,중견기업부,4210,970,29.94,3365,4210,3335,12691296,517.4,2472.0,58717699,2472.0,100.0,20.9
20250623,005880,대한해운,KOSPI,,1730,59,3.53,1800,1920,1724,57657595,1046.5,5584.0,322747340,5797.0,96.3,18.7
20250623,064260,다날,KOSDAQ,중견기업부,6170,30,0.49,6000,6550,5940,10307975,641.6,4254.0,68949040,4309.0,98.7,15.1
20250623,234340,헥토파이낸셜,KOSDAQ,우량기업부,26500,750,2.91,27250,27800,25500,1345990,359.8,2505.0,9453000,2704.0,92.6,14.4
20250623,287840,인투셀,KOSDAQ,기술성장기업부,39050,1200,3.17,35950,39450,34600,2190297,795.2,5798.0,14847600,6955.0,83.4,13.7
20250623,004710,한솔테크닉스,KOSPI,,6250,700,12.61,5630,6680,5630,3839871,242.5,2007.0,32109878,2007.0,100.0,12.1
20250623,448280,에코아이,KOSDAQ,중견기업부,15500,2040,15.16,13280,15990,12940,3223062,489.6,4593.0,29631129,4593.0,100.0,10.7
20250623,304100,솔트룩스,KOSDAQ,기술성장기업부,52300,900,1.75,50300,53950,48700,1244857,639.1,6344.0,12130568,6793.0,93.4,10.1
