기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가,신고가_비율
20250227,145020,휴젤,KOSDAQ GLOBAL,우량기업부,329500,6000,1.85,322000,332000,320000,81386,267.5,41530.0,12604033,41530.0,True,100.0
20250227,069960,현대백화점,KOSPI,,58600,200,0.34,57800,59000,57800,81958,48.0,13260.0,22628813,13260.0,True,100.0
20250227,111770,영원무역,KOSPI,,47400,900,1.94,46050,47400,45950,47521,22.3,21004.0,44311468,21004.0,True,100.0
20250227,001720,신영증권,KOSPI,,87000,300,0.35,86100,87900,85800,2135,1.8,14303.0,16440000,14303.0,True,100.0
20250227,253450,스튜디오드래곤,KOSDAQ GLOBAL,우량기업부,51100,2450,5.04,48650,51400,48400,392299,197.7,15360.0,30058498,15360.0,True,100.0
20250227,226950,올릭스,KOSDAQ,기술성장기업부,55700,100,0.18,53900,56800,52600,1141616,624.6,10282.0,18459573,10282.0,True,100.0
20250227,122870,와이지엔터테인먼트,KOSDAQ GLOBAL,우량기업부,61800,2700,4.57,59100,62800,58500,659875,402.6,11551.0,18691049,11551.0,True,100.0
20250227,214150,클래시스,KOSDAQ GLOBAL,우량기업부,69100,11100,19.14,58000,71000,57000,6250231,4088.0,45264.0,65505659,45264.0,True,100.0
20250227,214450,파마리서치,KOSDAQ GLOBAL,우량기업부,301000,7000,2.38,295000,301500,289500,78100,231.8,31634.0,10509600,31634.0,True,100.0
20250227,352820,하이브,KOSPI,,262500,9500,3.75,252500,262500,251000,237104,614.1,109337.0,41652097,109337.0,True,100.0
20250227,005940,NH투자증권,KOSPI,,15320,40,0.26,15210,15320,15080,346623,52.7,50172.0,327492299,50172.0,True,100.0
20250227,030610,교보증권,KOSPI,,6750,100,1.5,6640,6800,6590,176575,11.9,7692.0,113962961,7692.0,True,100.0
20250227,041510,에스엠,KOSDAQ,우량기업부,102000,2600,2.62,99400,103200,98600,183825,186.6,23821.0,23353627,23821.0,True,100.0
20250227,012630,HDC,KOSPI,,13840,50,0.36,13790,13870,13670,71516,9.9,8268.0,59741721,8268.0,True,100.0
20250227,035900,JYP Ent.,KOSDAQ GLOBAL,우량기업부,85100,1000,1.19,84200,85400,83200,549941,464.6,30238.0,35532492,30238.0,True,100.0
20250227,375500,DL이앤씨,KOSPI,,41900,-100,-0.24,42050,42100,41300,92821,38.7,16213.0,38693623,16251.0,False,99.8
20250227,010140,삼성중공업,KOSPI,,15020,70,0.47,14920,15100,14450,14547065,2135.1,132176.0,880000000,132440.0,False,99.8
20250227,030190,NICE평가정보,KOSPI,,13000,-20,-0.15,13000,13090,12860,39837,5.2,7736.0,59506593,7748.0,False,99.8
20250227,024110,기업은행,KOSPI,,15620,100,0.64,15510,15620,15370,927522,143.9,124558.0,797425869,125196.0,False,99.5
20250227,029780,삼성카드,KOSPI,,45150,-300,-0.66,45200,45550,43250,48824,21.9,52310.0,115858891,52658.0,False,99.3
20250227,358570,지아이이노베이션,KOSDAQ,기술성장기업부,16790,-140,-0.83,16840,17250,16520,1605048,262.7,7439.0,44304799,7501.0,False,99.2
20250227,139480,이마트,KOSPI,,77300,2100,2.79,75500,77600,74500,206287,158.1,21548.0,27875819,21771.0,False,99.0
20250227,007340,DN오토모티브,KOSPI,,21800,-150,-0.68,21800,21900,21400,82858,18.0,12755.0,58510865,12902.0,False,98.9
20250227,020560,아시아나항공,KOSPI,,10890,30,0.28,10950,10990,10820,116783,12.7,22432.0,205990711,22700.0,False,98.8
20250227,023160,태광,KOSDAQ,우량기업부,23450,600,2.63,22950,25350,22650,2021809,489.3,6214.0,26500000,6294.0,False,98.7
20250227,096770,SK이노베이션,KOSPI,,132100,1300,0.99,130700,132100,129300,251609,329.0,199517.0,151034776,202236.0,False,98.7
20250227,036530,SNT홀딩스,KOSPI,,32750,-600,-1.8,33350,34450,31950,50279,16.5,5340.0,16303886,5437.0,False,98.2
20250227,011200,HMM,KOSPI,,20500,0,0.0,20450,20750,20000,2855080,579.1,180613.0,881039496,184137.0,False,98.1
20250227,082270,젬백스,KOSDAQ,벤처기업부,36550,-700,-1.88,37700,37900,36050,583289,215.9,14618.0,39994174,14898.0,False,98.1
20250227,207940,삼성바이오로직스,KOSPI,,1159000,-9000,-0.77,1166000,1172000,1151000,36118,418.2,824907.0,71174000,843412.0,False,97.8
20250227,316140,우리금융지주,KOSPI,,17000,-260,-1.51,16890,17000,16680,2694852,454.4,126241.0,742591501,129359.0,False,97.6
20250227,018670,SK가스,KOSPI,,242000,2000,0.83,240500,242000,237000,2546,6.1,22337.0,9230244,22891.0,False,97.6
20250227,003230,삼양식품,KOSPI,,884000,8000,0.91,873000,887000,867000,33779,296.5,66592.0,7533015,68249.0,False,97.6
20250227,030200,KT,KOSPI,,47650,-400,-0.83,47900,48050,46900,784894,377.6,120088.0,252021685,123491.0,False,97.2
20250227,475830,오름테라퓨틱,KOSDAQ,기술성장기업부,35750,1850,5.46,35250,36400,34050,3545087,1251.0,7482.0,20929118,7712.0,False,97.0
20250227,033500,동성화인텍,KOSDAQ,우량기업부,23150,0,0.0,23000,24050,22700,829483,194.0,6943.0,29989494,7167.0,False,96.9
