기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수
20250411,017670,SK텔레콤,KOSPI,,56500,600,1.07,55400,56500,55200,412082,230.5,121356.0,214790053,132096.0,91.9
20250411,000660,SK하이닉스,KOSPI,,180800,-2400,-1.31,177800,181800,176100,3223735,5763.6,1316228.0,728002365,1754486.0,75.0
20250411,048550,SM C&C,KOSDAQ,중견기업부,1408,99,7.56,1298,1570,1296,7582030,111.5,1362.0,96714620,2161.0,63.0
20250411,063440,SM Life Design,KOSDAQ,중견기업부,1532,138,9.9,1394,1698,1375,14566943,229.3,705.0,46029154,805.0,87.6
20250411,003570,SNT다이내믹스,KOSPI,,31550,1400,4.64,29700,31850,29600,96374,30.0,10491.0,33252697,12137.0,86.4
20250411,064960,SNT모티브,KOSPI,,25500,250,0.99,25050,25500,24850,33348,8.4,6768.0,26540272,7458.0,90.7
20250411,100840,SNT에너지,KOSPI,,33800,1200,3.68,31850,34200,31800,156331,52.5,6990.0,20680783,7652.0,91.3
20250411,036530,SNT홀딩스,KOSPI,,31400,0,0.0,31400,31500,30300,13013,4.0,5119.0,16303886,5698.0,89.8
20250411,067160,SOOP,KOSDAQ GLOBAL,우량기업부,80800,-1200,-1.46,81000,81300,79400,66723,53.5,9288.0,11494767,15748.0,59.0
20250411,005610,SPC삼립,KOSPI,,62400,-1600,-2.5,63000,64400,61400,40379,25.2,5385.0,8629009,5945.0,90.6
20250411,011810,STX,KOSPI,,3365,25,0.75,3320,3400,3100,53886,1.8,1044.0,31017927,2559.0,40.8
20250411,465770,STX그린로지스,KOSPI,,8780,110,1.27,8670,9080,8500,494917,43.5,630.0,7171032,1090.0,57.8
20250411,077970,STX엔진,KOSPI,,21550,1200,5.9,21150,22200,21000,445500,96.1,4958.0,23008904,6903.0,71.8
20250411,002820,SUN&L,KOSPI,,2920,-50,-1.68,2945,2970,2920,475,0.0,368.0,12607989,460.0,80.0
20250411,289080,SV인베스트먼트,KOSDAQ,중견기업부,1387,27,1.99,1361,1399,1349,289775,4.0,747.0,53873095,1278.0,58.5
20250411,084870,TBH글로벌,KOSPI,,1102,20,1.85,1091,1102,1082,26550,0.3,230.0,20856819,383.0,60.1
20250411,002710,TCC스틸,KOSPI,,20700,-150,-0.72,20350,20800,19660,141434,28.6,5426.0,26213697,15990.0,33.9
20250411,089230,THE E&M,KOSDAQ,중견기업부,919,-71,-7.17,990,1087,893,896038,8.6,224.0,24332953,429.0,52.2
20250411,032540,TJ미디어,KOSDAQ,우량기업부,4660,30,0.65,4600,4675,4600,35235,1.6,649.0,13931609,825.0,78.7
20250411,022220,TKG애강,KOSDAQ,우량기업부,904,28,3.2,877,907,877,136214,1.2,468.0,51794579,655.0,71.5
20250411,069260,TKG휴켐스,KOSPI,,15170,-210,-1.37,15060,15230,14920,44658,6.7,6201.0,40878588,8421.0,73.6
20250411,007980,TP,KOSPI,,1361,-30,-2.16,1391,1400,1345,266647,3.6,696.0,51175130,935.0,74.4
20250411,048770,TPC,KOSDAQ,벤처기업부,1980,70,3.66,1910,1985,1910,13613,0.3,311.0,15697991,549.0,56.6
20250411,246690,TS인베스트먼트,KOSDAQ,중견기업부,1485,95,6.83,1650,1720,1451,25454897,406.7,616.0,41477862,616.0,100.0
20250411,317240,TS트릴리온,KOSDAQ,중견기업부,280,-15,-5.08,285,287,267,3915573,10.9,300.0,107240922,458.0,65.5
20250411,002900,TYM,KOSPI,,4350,120,2.84,4200,4350,4160,72446,3.1,1960.0,45050956,2545.0,77.0
20250411,024070,WISCOM,KOSPI,,2070,-60,-2.82,2130,2145,2020,15695,0.3,317.0,15326438,386.0,82.1
20250411,057030,YBM넷,KOSDAQ,중견기업부,4460,-10,-0.22,4475,4610,4440,296781,13.4,728.0,16312697,796.0,91.5
20250411,037270,YG PLUS,KOSPI,,5100,230,4.72,4850,5280,4825,1985398,100.9,3235.0,63429410,4383.0,73.8
20250411,040300,YTN,KOSDAQ,우량기업부,3135,-5,-0.16,3115,3150,3090,90294,2.8,1317.0,42000000,1840.0,71.6
20250411,051390,YW,KOSDAQ,벤처기업부,3590,10,0.28,3595,3600,3570,1227,0.0,408.0,11355368,442.0,92.3
20250411,052220,iMBC,KOSDAQ,중견기업부,4410,-135,-2.97,4565,4650,4350,828348,36.9,1014.0,23000000,1293.0,78.4
